id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
deb090b4-8fd1-11eb-924d-9cd76263cbd0,genus,Abolboda,,,Bonpl.,0,1813,,"Pl. Aequinoct. 2: 25 (1809)",,,,,,urn:lsid:ipni.org:names:30012922-2,wfo-4000000047,2692513,,
1d05fdd2-8fcc-11eb-924d-9cd76263cbd0,species,abbreviata,Abolboda,,Malme,0,1925,,"Ark. Bot. 19(13): 5 (1925)",,,,,,urn:lsid:ipni.org:names:309897-2,wfo-0000336930,2692546,,
1d0617d6-8fcc-11eb-924d-9cd76263cbd0,species,acaulis,Abolboda,,Maguire,0,1848,,"Bull. Torrey Bot. Club 75: 191 (1848)",,,Q13548538,,,urn:lsid:ipni.org:names:2-2,wfo-0000336931,2692514,,
9cd2f5e2-1d48-11ec-82c2-f14daa6f2d93,variety,acaulis,Abolboda,acaulis,,,,,Unknown,,,,,,urn:lsid:ipni.org:names:77169163-1,wfo-0000336932,,,
1d064efe-8fcc-11eb-924d-9cd76263cbd0,species,acicularis,Abolboda,,"Idrobo & L.B.Sm.",0,1954,,"Caldasia 6: 250 (1954)",,Q95145479,,,,urn:lsid:ipni.org:names:3-2,wfo-0000336933,2692542,,
655e4998-1d4a-11ec-82c2-f14daa6f2d93,variety,acicularis,Abolboda,acicularis,,,,,Unknown,,,,,,urn:lsid:ipni.org:names:77168885-1,wfo-0000915432,,,
1d0685ae-8fcc-11eb-924d-9cd76263cbd0,variety,granularis,Abolboda,acicularis,Maguire,0,1958,,"Mem. New York Bot. Gard. 10: 17 (1958)",,,Q2843475,,,urn:lsid:ipni.org:names:4-2,wfo-0000336935,2692518,,
1d06a0a2-8fcc-11eb-924d-9cd76263cbd0,species,americana,Abolboda,,"(Aubl.) Lanj.",0,1937,,"Meded. Bot. Mus. Herb. Rijks Univ. Utrecht 41: 492 (1937)",,Q100443399,,,,urn:lsid:ipni.org:names:5-2,wfo-0000336936,2692521,,
7c02c7e8-1d4d-11ec-82c2-f14daa6f2d93,variety,americana,Abolboda,americana,Maguire,,1948,,"Bull. Torrey Bot. Club 75: 193. 1948",,,Q13548538,,,urn:lsid:ipni.org:names:7-2,wfo-0001399693,,,
1d06ba60-8fcc-11eb-924d-9cd76263cbd0,variety,imberbis,Abolboda,americana,"(Kunth) Maguire",0,1948,,"Bull. Torrey Bot. Club 75: 193 (1948)",,,Q13548538,,,urn:lsid:ipni.org:names:6-2,wfo-0000336937,2692526,,
1d06d586-8fcc-11eb-924d-9cd76263cbd0,species,aubletii,Abolboda,,Kunth,0,1843,,"Enum. Pl. 4: 28 (1843)",,,,,,urn:lsid:ipni.org:names:871255-1,wfo-0000336938,2692530,,
1d06f44e-8fcc-11eb-924d-9cd76263cbd0,species,bella,Abolboda,,Maguire,0,1958,,"Mem. New York Bot. Gard. 10: 15 (1958)",,,Q2843475,,,urn:lsid:ipni.org:names:8-2,wfo-0000336939,2692519,,
