id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
dec24f66-8fd1-11eb-924d-9cd76263cbd0,genus,Achyropappus,,,Kunth,Q77074,,,,,,,,,30018786-2,wfo-4000000261,3139779,,
edbc973e-8fb2-11eb-924d-9cd76263cbd0,species,acaulis,Achyropappus,,J.Rémy,Q783425,,,,,,,,,2582-2,wfo-0000037681,4213595,,
ef4229f2-8fb2-11eb-924d-9cd76263cbd0,species,ambiguus,Achyropappus,,Steud.,Q62821,1840,,"Nomencl. Bot., ed. 2 (Steudel) 1: 437, in syn. 1840",,,,,,174423-1,wfo-0000037824,4213589,,
043a55e4-8fba-11eb-924d-9cd76263cbd0,species,anthemoides,Achyropappus,,Kunth,Q77074,,,,,,,,,,wfo-0000123285,3139780,,
678c2c68-8fb4-11eb-924d-9cd76263cbd0,species,arenarius,Achyropappus,,DC.,Q123057,,,,,,,,,2584-2,wfo-0000064554,4213577,,
5839b538-8fb3-11eb-924d-9cd76263cbd0,species,barbatus,Achyropappus,,Sch.Bip.,Q65685,,,,,,,,,2585-2,wfo-0000046445,4213576,,
2e1b2e82-8fbb-11eb-924d-9cd76263cbd0,species,chondrilloides,Achyropappus,,A.Gray,Q347356,,,,,,,,,2586-2,wfo-0000132338,4213572,,
ef0dd40e-8fb2-11eb-924d-9cd76263cbd0,species,chrysanthus,Achyropappus,,DC.,Q123057,,,,,,,,,2587-2,wfo-0000037804,4213570,,
1c78de6c-8fb7-11eb-924d-9cd76263cbd0,species,coronopifolius,Achyropappus,,Sch.Bip.,Q65685,,,,,,,,,2589-2,wfo-0000096478,4213565,,
ae6cf9dc-8fcd-11eb-924d-9cd76263cbd0,species,depauperatus,Achyropappus,,B.L.Turner,Q4468157,2010,,"Phytologia 92(3): 345 2010",,,,,,60455017-2,wfo-0001040142,7781295,,
523dd822-8fb2-11eb-924d-9cd76263cbd0,species,maritimus,Achyropappus,,"Poepp. ex DC.","Q61501,Q123057",1836,,"657 1836",,,,,,174425-1,wfo-0000020443,3095501,,
ad545492-8fb3-11eb-924d-9cd76263cbd0,species,neo-mexicana,Achyropappus,,"(A.Gray) Rydb.","Q347356,Q1905130",,,,,,,5bd4fa00-8fb2-11eb-924d-9cd76263cbd0,,,wfo-0000052741,,,
31029328-8fb2-11eb-924d-9cd76263cbd0,species,neomexicanus,Achyropappus,,"(A.Gray) A.Gray ex Rydb.","Q347356,Q1905130",1840,,"London J. Bot. 3: 322 (1840)",,,,,,,wfo-0000015276,3101253,,
7c4ab2ac-8fb2-11eb-924d-9cd76263cbd0,species,pedatus,Achyropappus,,"(Cav.) Less.","Q545430,Q76352",1832,,"239 1832",,,,,,174426-1,wfo-0000025888,3139784,,
35b7bf86-8fb4-11eb-924d-9cd76263cbd0,species,schkuhrioides,Achyropappus,,"D.Don ex Hook. & Arn.","Q1174244,Q472639,Q730292",1840,,1840,,,,,,,wfo-0000061577,7379699,,
8192d5de-8fb5-11eb-924d-9cd76263cbd0,species,schkuhrioides,Achyropappus,,"Link & Otto","Q215466,Q77650",,,,,,,,,2580-2,wfo-0000078907,3101257,,
0a7c0978-8fb2-11eb-924d-9cd76263cbd0,species,woodhousei,Achyropappus,,A.Gray,Q347356,1865,,"546 1865",,,,,,,wfo-0000007085,3110802,,
