id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
dec2a970-8fd1-11eb-924d-9cd76263cbd0,genus,Achyropsis,,,"Benth. & Hook.f.",0,1880,,"Gen. Pl. 3: 36 (1880)",,,,,,urn:lsid:ipni.org:names:1112-1,wfo-4000000264,7323499,,
9328f848-8fcc-11eb-924d-9cd76263cbd0,species,alba,Achyropsis,,"(Eckl. & Zeyh. ex Moq.) Benth. & Hook.f. ex B.D.Jacks.",0,1893,,"Index Kew. 1(1): 27. 1893 [6 Sep 1893]",,,,92e7366a-8fcc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:77160356-1,wfo-0000516560,,,
93292d04-8fcc-11eb-924d-9cd76263cbd0,species,avicularis,Achyropsis,,"(E.Mey. ex Moq.) Benth. & Hook.f. ex B.D.Jacks.",0,1893,,"Index Kew. 1: 27 (1893)",,,,92efc97e-8fcc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:60473809-2,wfo-0000516561,7913845,,
b12108ee-8fcd-11eb-924d-9cd76263cbd0,species,avicularis,Achyropsis,,Hook.f.,0,,,"Gen. Pl. [Bentham & Hooker f.] 3(1): 36. 1880 [7 Feb 1880]",,,,,,urn:lsid:ipni.org:names:58969-1,wfo-0001046206,7913845,,
9329a4e6-8fcc-11eb-924d-9cd76263cbd0,species,conferta,Achyropsis,,"(Schinz) Schinz",0,1934,,"Nat. Pflanzenfam. ed. 2 , 16c: 63 (1934)",,,,92f81f16-8fcc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:58972-1,wfo-0000516562,3674516,,
9329c188-8fcc-11eb-924d-9cd76263cbd0,species,filifolia,Achyropsis,,C.C.Towns.,0,1980,,"Kew Bull. 34: 431 (1980)",,Q55779797,,,,urn:lsid:ipni.org:names:58973-1,wfo-0000516563,3674510,,
d42f3960-8fd1-11eb-924d-9cd76263cbd0,species,fischeri,Achyropsis,,R.E.Fr.,0,,,,,,,,,,wfo-0001285696,8359942,,
9329df10-8fcc-11eb-924d-9cd76263cbd0,species,fruticulosa,Achyropsis,,C.B.Clarke,0,1909,,"Fl. Trop. Afr. 6(1): 66 (1909)",,,,,,urn:lsid:ipni.org:names:58974-1,wfo-0000516564,3674504,,
9329fbee-8fcc-11eb-924d-9cd76263cbd0,species,gracilis,Achyropsis,,C.C.Towns.,0,1980,,"Kew Bull. 34: 432 (1980)",,Q55779797,,,,urn:lsid:ipni.org:names:58975-1,wfo-0000516565,3674497,,
932a1584-8fcc-11eb-924d-9cd76263cbd0,species,graminea,Achyropsis,,"Suess. & Overkott",0,1940,,"Bot. Arch. 41: 72 (1940)",,,,,,urn:lsid:ipni.org:names:58976-1,wfo-0000516566,3674489,,
932a4cfc-8fcc-11eb-924d-9cd76263cbd0,species,greenwayi,Achyropsis,,Suess.,0,1949,,"Kew Bull. 4: 475 (1949 publ. 1950)",,Q43262109,,,,urn:lsid:ipni.org:names:58977-1,wfo-0000516568,3674483,,
932a6750-8fcc-11eb-924d-9cd76263cbd0,species,laniceps,Achyropsis,,C.B.Clarke,0,1909,,"Fl. Trop. Afr. 6(1): 66 (1909)",,,,,,urn:lsid:ipni.org:names:58978-1,wfo-0000516569,3674475,,
d42fbcfa-8fd1-11eb-924d-9cd76263cbd0,species,laricifolia,Achyropsis,,"Schinz ex Peter",0,,,"Repert. Spec. Nov. Regni Veg. Beih. 40(2): 240, nomen. 1938",,,,,,urn:lsid:ipni.org:names:58980-1,wfo-0001285700,3674465,,
932a80be-8fcc-11eb-924d-9cd76263cbd0,species,leptostachya,Achyropsis,,"(E.Mey.) Benth. & Hook.f. ex B.D.Jacks.",0,1893,,"Index Kew. 1: 27 (1893)",,,,,,urn:lsid:ipni.org:names:77160357-1,wfo-0000516570,7414608,,
b1212e3c-8fcd-11eb-924d-9cd76263cbd0,species,leptostachya,Achyropsis,,"Benth. & Hook.f.",0,,,"Gen. Pl. [Bentham & Hooker f.] 3(1): 36. 1880 [7 Feb 1880]",,,,,,urn:lsid:ipni.org:names:58981-1,wfo-0001046208,7414608,,
932aa256-8fcc-11eb-924d-9cd76263cbd0,species,longipedunculata,Achyropsis,,"(Peter) Suess.",0,1940,,"Bot. Arch. 41: 85 (1940)",,,,42a478c0-8fcc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:58983-1,wfo-0000516571,8172221,,
932ac592-8fcc-11eb-924d-9cd76263cbd0,species,minutissima,Achyropsis,,Lambinon,0,1977,,"Bull. Jard. Bot. Natl. Belg. 47: 248 (1977)",,Q55776489,,,,urn:lsid:ipni.org:names:58984-1,wfo-0000516572,3674440,,
932b0d5e-8fcc-11eb-924d-9cd76263cbd0,species,oxyuris,Achyropsis,,"Suess. & Overkott",0,1940,,"Bot. Arch. 41: 74 (1940)",,,,,,urn:lsid:ipni.org:names:58985-1,wfo-0000516573,3674436,,
932b33e2-8fcc-11eb-924d-9cd76263cbd0,species,robynsii,Achyropsis,,Schinz,0,1931,,"Vierteljahrsschr. Naturf. Ges. Zürich 76: 143 (1931)",,,,,,urn:lsid:ipni.org:names:58986-1,wfo-0000516574,3674428,,
1da48c0a-8fb2-11eb-924d-9cd76263cbd0,species,alaica,Achyroseris,,"(Lipsch.) Kamelin & Tagaev",0,1993,,"Opred. Rast. Sred. Azii 10: 197 (1993): (1993)",,,,584d840e-8fb4-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:986106-1,wfo-0000012002,3110942,,
c782b3a2-8fb5-11eb-924d-9cd76263cbd0,species,albertoregelia,Achyroseris,,"(C.Winkl.) Kamelin & Tagaev",0,1993,,"Opred. Rast. Sred. Azii 10: 197 (1993): (1993)",,,,,,urn:lsid:ipni.org:names:986107-1,wfo-0000082059,3111083,,
ce17a9cc-8fb3-11eb-924d-9cd76263cbd0,species,albicaulis,Achyroseris,,"(Bunge) Kamelin & Tagaev",0,1993,,"Opred. Rast. Sred. Azii 10: 631 (1993): (1993)",,,,,,urn:lsid:ipni.org:names:986169-1,wfo-0000054882,3103531,,
56e9ac5c-8fb2-11eb-924d-9cd76263cbd0,species,bracteosa,Achyroseris,,"(C.Winkl.) Kamelin & Tagaev",0,1993,,"Opred. Rast. Sred. Azii 10: 196 (1993): (1993)",,,,03b30402-8fb2-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:986105-1,wfo-0000021156,3110983,,
bf9332cc-8fb3-11eb-924d-9cd76263cbd0,species,macrosperma,Achyroseris,,Sch.Bip.,0,1845,,"Schultz, Carl(Karl) Heinrich `Bipontinus' in Nov. Actorum Acad. Caes. Leop.-Carol. Nat. Cur. 21. 1845 166 1845",,,,,,,wfo-0000053912,,,
97615944-8fb5-11eb-924d-9cd76263cbd0,species,macrospermum,Achyroseris,,Sch.Bip.,0,1845,,"Nov. Actorum Acad. Caes. Leop.-Carol. Nat. Cur. 21(1): 165 (1845)",,,,,,urn:lsid:ipni.org:names:174520-1,wfo-0000079872,3111009,,
80383170-8fba-11eb-924d-9cd76263cbd0,species,petrovii,Achyroseris,,"(Lipsch.) Kamelin & Tagaev",0,1993,,"Opred. Rast. Sred. Azii 10: 198 (1993): (1993)",,,,,,urn:lsid:ipni.org:names:986109-1,wfo-0000127146,3111096,,
e98a67ea-8fb2-11eb-924d-9cd76263cbd0,species,tragopogonoides,Achyroseris,,"(Regel & Schmalh.) Kamelin & Tagaev",0,1993,,"Opred. Rast. Sred. Azii 10: 197 (1993): (1993)",,,,48637604-8fb2-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:986108-1,wfo-0000037294,3111060,,
dcdf44fc-8fb7-11eb-924d-9cd76263cbd0,subspecies,baldshuanica,Achyroseris,tragopogonoides,"(Lipsch.) Kamelin & Tagaev",0,1993,,"Opred. Rast. Sred. Azii 10: 631 (1993): (1993)",,,,467fb380-8fb6-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:986170-1,wfo-0000103898,4212869,,
b5869284-1d47-11ec-82c2-f14daa6f2d93,subspecies,tragopogonoides,Achyroseris,tragopogonoides,,,,,,,,,,,,wfo-0000052326,,,
