id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
dec863f6-8fd1-11eb-924d-9cd76263cbd0,genus,Acokanthera,,,G.Don,1837,"Gen. Hist. 4: 485. 1837.",,,,,2171-1,wfo-4000000325,7317124,
1c18b860-8fcc-11eb-924d-9cd76263cbd0,species,abyssinica,Acokanthera,,K.Schum.,1895,"Pflanzenw. Ost-Afrikas C: 315 1895",,,,,76340-1,wfo-0000335325,3619651,
1c286990-8fcc-11eb-924d-9cd76263cbd0,species,deflersii,Acokanthera,,"Schweinf. ex Lewin",1893,"Bot. Jahrb. Syst. 17(41): 44 1893",,,,,76341-1,wfo-0000335431,8084938,
1c37d060-8fcc-11eb-924d-9cd76263cbd0,species,friesiorum,Acokanthera,,Markgr.,1923,"Notizbl. Bot. Gart. Berlin-Dahlem 8: 466 1923",,,,,76343-1,wfo-0000335535,3619621,
1c445902-8fcc-11eb-924d-9cd76263cbd0,species,laevigata,Acokanthera,,Kupicha,1982,"Kew Bull. 37: 58 1982",,,,,899079-1,wfo-0000335622,3619612,
1c53ab32-8fcc-11eb-924d-9cd76263cbd0,species,lamarckii,Acokanthera,,G.Don,1838,"Gen. Hist. 4: 485 1838",,,,,76344-1,wfo-0000335725,8381029,
1c64de2a-8fcc-11eb-924d-9cd76263cbd0,species,longiflora,Acokanthera,,Stapf,1922,"Bull. Misc. Inform. Kew 1922: 28 1922",,,,,76345-1,wfo-0000335830,3619590,
1c74314a-8fcc-11eb-924d-9cd76263cbd0,species,lycioides,Acokanthera,,"(Licht. ex Roem. & Schult.) G.Don",1837,"Gen. Hist. 4: 485 1837",,,,,76346-1,wfo-0000335925,3619579,
bca2d97c-8fcd-11eb-924d-9cd76263cbd0,species,oblongifolia,Acokanthera,,"(Hochst.) Codd",1961,"Bothalia 7: 449 1961",,,,,76348-1,wfo-0001072537,3619558,
1c818368-8fcc-11eb-924d-9cd76263cbd0,species,oblongifolia,Acokanthera,,"(Hochst.) Benth. & Hook.f. ex B.D.Jacks.",,"Index Kew. 2: 1262 1895",,,,,,wfo-0000336026,,
1c90846c-8fcc-11eb-924d-9cd76263cbd0,species,oppositifolia,Acokanthera,,"(Lam.) Codd",1961,"Bothalia 7: 448 1961",,,,,76349-1,wfo-0000336130,3619546,
1c9fc0a8-8fcc-11eb-924d-9cd76263cbd0,species,ouabaio,Acokanthera,,"Cathelineau ex Lewin",1893,"Bot. Jahrb. Syst. 17(41): 44 1893",,,,,76350-1,wfo-0000336234,,
1cb159f8-8fcc-11eb-924d-9cd76263cbd0,species,pubescens,Acokanthera,,"(Licht. ex Roem. & Schult.) G.Don",1838,"Gen. Hist. 4: 486 1838",,,,,76351-1,wfo-0000336339,3619524,
1cbfb476-8fcc-11eb-924d-9cd76263cbd0,species,rhodesica,Acokanthera,,Merxm.,1953,"Mitt. Bot. Staatssamml. München 6: 201 1953",,,,,76352-1,wfo-0000336439,3619512,
1cce55bc-8fcc-11eb-924d-9cd76263cbd0,species,rotundata,Acokanthera,,"(Codd) Kupicha",1982,"Kew Bull. 37: 60 1982",,,,1cf9dbe2-8fcc-11eb-924d-9cd76263cbd0,909903-1,wfo-0000336536,3619502,
1cdd76d2-8fcc-11eb-924d-9cd76263cbd0,species,scabra,Acokanthera,,"Schweinf. ex Markgr.",1923,"Notizbl. Bot. Gart. Berlin-Dahlem 8: 464 1923",,,,,76353-1,wfo-0000336640,3619493,
bca9473a-8fcd-11eb-924d-9cd76263cbd0,species,schimperi,Acokanthera,,"(A.DC.) Benth. & Hook.f.",1873,"Gen. Pl. 2: 696 1873",,,,,76354-1,wfo-0001072599,8091332,
1cead9e4-8fcc-11eb-924d-9cd76263cbd0,species,schimperi,Acokanthera,,"(A.DC.) Schweinf.",1891,"Bol. Soc. Afr. Ital. 10(11-12): 11 1891",,,,,60447729-2,wfo-0000336741,7576345,
29011710-8fcd-11eb-924d-9cd76263cbd0,variety,ouabaio,Acokanthera,schimperi,"(Cathelineau ex Lewin) Cufod.",1969,"Enum. Pl. Afr. Nachtr. 2: 30 1969",,,,1c9fc0a8-8fcc-11eb-924d-9cd76263cbd0,,wfo-0000778361,7423494,
1cf9dbe2-8fcc-11eb-924d-9cd76263cbd0,variety,rotundata,Acokanthera,schimperi,Codd,1961,"Bothalia 7: 449 1961",,,,,,wfo-0000336839,6712893,
1d07c5fe-8fcc-11eb-924d-9cd76263cbd0,species,spectabilis,Acokanthera,,"(Sond.) Hook.f.",,"Bot. Mag. 104: t. 6359 1878",,,,1722b66c-8fcc-11eb-924d-9cd76263cbd0,76356-1,wfo-0000336944,4940129,
1d16d92c-8fcc-11eb-924d-9cd76263cbd0,species,venenata,Acokanthera,,"(Burm.f.) G.Don",1838,"Gen. Hist. 4: 485 1838",,,,,76357-1,wfo-0000337048,,
6c2d1fde-8fcd-11eb-924d-9cd76263cbd0,variety,spectabilis,Acokanthera,venenata,"(Sond.) Sim",1907,"Forest Fl. Cape 270 1907",,,,1722b66c-8fcc-11eb-924d-9cd76263cbd0,,wfo-0000908709,8131834,
bca73a9e-8fcd-11eb-924d-9cd76263cbd0,species,wabajo,Acokanthera,,Markgr.,1923,"Notizbl. Bot. Gart. Berlin-Dahlem 8: 465, f. 4 1923",,,,,,wfo-0001072580,7582514,
