id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
dec98bf0-8fd1-11eb-924d-9cd76263cbd0,genus,Aconitum,,,L.,0,1753,,"Sp. Pl. : 532 (1753)",,,,,,urn:lsid:ipni.org:names:326013-2,wfo-4000000341,3033663,,
93732c9c-8fcc-11eb-924d-9cd76263cbd0,variety,beskidense,Aconitum,×cammarum,Zapał.,0,1908,,"Consp. Fl. Gallic. Crit. 2: 215 1908",,,,,,,wfo-0000517030,7362936,,
93734b1e-8fcc-11eb-924d-9cd76263cbd0,variety,cynbulatum,Aconitum,×cammarum,Schmalh.,0,,,,,,,,,,wfo-0000517031,7593039,,
9373677a-8fcc-11eb-924d-9cd76263cbd0,variety,gracile,Aconitum,×cammarum,Rchb.,0,,,,,,,,,,wfo-0000517032,8228594,,
9373a758-8fcc-11eb-924d-9cd76263cbd0,variety,judenbergense,Aconitum,×cammarum,Rchb.,0,,,,,,,,,,wfo-0000517034,7907669,,
9373c27e-8fcc-11eb-924d-9cd76263cbd0,variety,koscieliskanum,Aconitum,×cammarum,Zapał.,0,1908,,"Consp. Fl. Gallic. Crit. 2: 215 1908",,,,,,,wfo-0000517035,7787241,,
9373df5c-8fcc-11eb-924d-9cd76263cbd0,subspecies,paniculatum,Aconitum,×cammarum,Arcang.,0,1882,,"Comp. Fl. Ital. 21 1882",,,,,,,wfo-0000517036,6710372,,
9373f9e2-8fcc-11eb-924d-9cd76263cbd0,variety,tricoronense,Aconitum,×cammarum,Zapał.,0,1908,,"Consp. Fl. Gallic. Crit. 2: 215 1908",,,,,,,wfo-0000517037,7407053,,
93925874-8fcc-11eb-924d-9cd76263cbd0,variety,hamatum,Aconitum,×exaltatum,Rchb.,0,1827,,"Ill. Sp. Acon. Gen. t. LXXII 1827",,,,,,,wfo-0000517228,8192335,,
93569500-8fcc-11eb-924d-9cd76263cbd0,species,abbreviatum,Aconitum,,"Langsd. ex DC.",0,1824,,"Prodr. 1: 61 (1824)",,,Q2712448,,,urn:lsid:ipni.org:names:707118-1,wfo-0000516856,3928067,,
9356e0d2-8fcc-11eb-924d-9cd76263cbd0,species,aberratum,Aconitum,,Grinț.,,1853,,"Fl. Republ. Popul. Român. 2: 681 (1853)",,,,,,urn:lsid:ipni.org:names:707119-1,wfo-0000516857,3928059,,
9356fe32-8fcc-11eb-924d-9cd76263cbd0,species,abietetorum,Aconitum,,"W.T.Wang & L.Q.Li",0,1987,,"Acta Phytotax. Sin. 25: 32 (1987)",,,,,,urn:lsid:ipni.org:names:931759-1,wfo-0000516858,3928051,,
93571926-8fcc-11eb-924d-9cd76263cbd0,species,abnorme,Aconitum,,Grinț.,,1953,,"Fl. Republ. Popul. Român. 2: 685 (1953)",,,,,,urn:lsid:ipni.org:names:707120-1,wfo-0000516859,3928044,,
935736b8-8fcc-11eb-924d-9cd76263cbd0,species,acaule,Aconitum,,Diels,0,1912,,"Notes Roy. Bot. Gard. Edinburgh 5: 270 (1912)",,Q102419149,,93d9dd16-8fcc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:707121-1,wfo-0000516860,3928039,,
93575364-8fcc-11eb-924d-9cd76263cbd0,species,achranthum,Aconitum,,C.A.Mey.,0,1830,,"Fl. Altaic. 2: 285 (1830)",,,,,,urn:lsid:ipni.org:names:707122-1,wfo-0000516861,3928034,,
93578bcc-8fcc-11eb-924d-9cd76263cbd0,species,acuminatum,Aconitum,,Rchb.,0,1819,,"Ill. Sp. Acon. Gen. : t. LXVIII (1827)",,,,,,urn:lsid:ipni.org:names:707124-1,wfo-0000516864,3928018,,
9357ab7a-8fcc-11eb-924d-9cd76263cbd0,species,acutiusculum,Aconitum,,"H.R.Fletcher & Lauener",0,1950,,"Notes Roy. Bot. Gard. Edinburgh 20: 198 (1950)",,Q102419349,,,,urn:lsid:ipni.org:names:707125-1,wfo-0000516865,3927592,,
042f7fe0-1d4d-11ec-82c2-f14daa6f2d93,variety,acutiusculum,Aconitum,acutiusculum,,,,,,,,,,,,wfo-0001225055,,,
9357c6b4-8fcc-11eb-924d-9cd76263cbd0,variety,aureopilosum,Aconitum,acutiusculum,W.T.Wang,0,1965,,"Acta Phytotax. Sin., Addit. 1: 85 1965",,,,,,,wfo-0000516866,8142649,,
9357e342-8fcc-11eb-924d-9cd76263cbd0,species,acutum,Aconitum,,Rchb.,0,1819,,"Uebers. Aconitum : 21 (1819)",,,,,,urn:lsid:ipni.org:names:707126-1,wfo-0000516867,3927585,,
9357ffb2-8fcc-11eb-924d-9cd76263cbd0,species,adenocarpum,Aconitum,,Gáyer,0,1907,,"Magyar Bot. Lapok 6: 290 (1907)",,,,,,urn:lsid:ipni.org:names:707127-1,wfo-0000516868,3927577,,
93581a06-8fcc-11eb-924d-9cd76263cbd0,species,adriaticum,Aconitum,,Gáyer,0,1909,,"Magyar Bot. Lapok 8: 161 (1909)",,,,,,urn:lsid:ipni.org:names:707128-1,wfo-0000516869,3927571,,
93583428-8fcc-11eb-924d-9cd76263cbd0,species,aegophonum,Aconitum,,Rchb.,0,1819,,"Uebers. Aconitum : 69 (1819)",,,,,,urn:lsid:ipni.org:names:707129-1,wfo-0000516870,3927565,,
9358514c-8fcc-11eb-924d-9cd76263cbd0,species,aggregatifolium,Aconitum,,"Chang ex W.T.Wang",0,1965,,"Acta Phytotax. Sin., Addit. 1: 60 (1965)",,,,,,urn:lsid:ipni.org:names:707130-1,wfo-0000516871,,,
