id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
ded57a14-8fd1-11eb-924d-9cd76263cbd0,genus,Actinella,,,,,,,,,,,,,,wfo-4000000498,,,
38ebb38c-8fba-11eb-924d-9cd76263cbd0,species,acaulis,Actinella,,"(Pursh) Nutt.",,1818,,"173 1818",,,,,,3972-2,wfo-0000124887,6063519,,
f43f923e-8fba-11eb-924d-9cd76263cbd0,species,acaulis,Actinella,,A.Nelson,,1909,,"New Man. Bot. Centr. Rocky Mt. 558. 1909",,,,,,,wfo-0000130655,6063519,,
457e33b4-8fb9-11eb-924d-9cd76263cbd0,species,anthemidoides,Actinella,,"(Juss.) Malme",,1932,,"Ark. Bot. 24A(6) 73 1932",,,,210cb988-8fb4-11eb-924d-9cd76263cbd0,,174864-1,wfo-0000116921,5692230,,
f1b782b6-8fb4-11eb-924d-9cd76263cbd0,species,anthemoides,Actinella,,"(Juss.) Malme",,,,,,,,,,1058077-2,wfo-0000071938,7366295,,
90873da8-8fb2-11eb-924d-9cd76263cbd0,species,anthemoides,Actinella,,"(Juss.) A.Gray",,1878,,"373 1878",,,,,,,wfo-0000028282,7623979,,
a51a523a-8fb9-11eb-924d-9cd76263cbd0,species,anthemoides,Actinella,,Herter,,1937,,"206 1937",,,,,,174865-1,wfo-0000120154,5405790,,
3d3f7a18-8fb5-11eb-924d-9cd76263cbd0,species,argentea,Actinella,,A.Gray,,1849,,"100 1849",,,,,,,wfo-0000075626,5393496,,
c67065ac-8fb2-11eb-924d-9cd76263cbd0,species,biennis,Actinella,,A.Gray,,1878,,"Proc. Amer. Acad. Arts 13 373 1878",,,,,,3977-2,wfo-0000034174,5405809,,
9493161a-8fb2-11eb-924d-9cd76263cbd0,species,bigelovii,Actinella,,A.Gray,,1853,,1853,,,,,,,wfo-0000028752,5405814,,
0a5bb6d0-8fb4-11eb-924d-9cd76263cbd0,species,brandegeei,Actinella,,"Porter ex A.Gray",,1878,,"Proc. Amer. Acad. Arts 13 373 1878",,,,,,3979-2,wfo-0000058986,,,
4cf0e53a-8fb2-11eb-924d-9cd76263cbd0,species,californica,Actinella,,"Benth. & Hook.f.",,,,"Gen. ii. 415, in nota.",,,,,,174870-1,wfo-0000019610,5692217,,
b53baeae-8fb2-11eb-924d-9cd76263cbd0,species,carnosa,Actinella,,"(Eastw.) A.Nelson",,1909,,"559 1909",,,,,,3980-2,wfo-0000032406,5406064,,
e6271aa8-8fb2-11eb-924d-9cd76263cbd0,species,chrysanthemoides,Actinella,,A.Gray,,1883,,"32 1883",,,,,,174872-1,wfo-0000037026,5692214,,
f5db18d2-8fb7-11eb-924d-9cd76263cbd0,species,cooperi,Actinella,,A.Gray,,1868,,"Proc. Amer. Acad. Arts 7 359 1868",,,,,,3981-2,wfo-0000104848,5405803,,
1671962a-8fb3-11eb-924d-9cd76263cbd0,species,depressa,Actinella,,"Harv. & Gray ex Gray",,1849,,1849,,,,,,174874-1,wfo-0000041298,5393490,,
feddd5c4-8fb1-11eb-924d-9cd76263cbd0,species,depressa,Actinella,,"Torr. & A.Gray ex Torr. & A.Gray",,1849,,"Mem. Amer. Acad. Arts ser. 2, 4: 100. 1849",,,,,,,wfo-0000002005,5393490,,
2ee233fe-8fb8-11eb-924d-9cd76263cbd0,variety,pygmaea,Actinella,depressa,A.Gray,,1849,,"100 1849",,,,,,,wfo-0000106996,5692208,,
9b0be4a2-8fb4-11eb-924d-9cd76263cbd0,species,epunctata,Actinella,,"(A.Nelson) A.Nelson",,1909,,"New Man. Bot. Centr. Rocky Mt. 560. 1909",,,,ef07645a-8fb4-11eb-924d-9cd76263cbd0,,1199434-2,wfo-0000067433,5692204,,
3d8e6064-8fb6-11eb-924d-9cd76263cbd0,species,eradiata,Actinella,,"(A.Nelson) A.Nelson",,1909,,"559 1909",,,,f4a1c7c2-8fb2-11eb-924d-9cd76263cbd0,,3985-2,wfo-0000087263,5393478,,
3b334b28-8fb5-11eb-924d-9cd76263cbd0,species,fastigiata,Actinella,,"(Greene) A.Nelson",,1909,,"560 1909",,,,,,3986-2,wfo-0000075525,5393481,,
c5dba136-8fb9-11eb-924d-9cd76263cbd0,species,glabra,Actinella,,Nutt.,,1841,,"379 1841",,,,,,,wfo-0000121251,5393484,,
0df24232-8fb9-11eb-924d-9cd76263cbd0,species,glabra,Actinella,,A.Nelson,,1896,,1896,,,,,,,wfo-0000114993,7864894,,
36ecf2be-8fb3-11eb-924d-9cd76263cbd0,species,grandiflora,Actinella,,"Torr. & A.Gray",,1845,,"Boston J. Nat. Hist. 5 110 1845",,,,,,3988-2,wfo-0000044005,5405798,,
0a57acfc-8fb4-11eb-924d-9cd76263cbd0,variety,glabrata,Actinella,grandiflora,Porter,,1874,,"76 1874",,,,,,3989-2,wfo-0000058985,5692194,,
0f19aaa6-8fb9-11eb-924d-9cd76263cbd0,species,heterophylla,Actinella,,"(Juss.) Pers.",,1807,,"469 1807",,,,53547366-8fbb-11eb-924d-9cd76263cbd0,,174881-1,wfo-0000115035,5401906,,
bf291710-8fb9-11eb-924d-9cd76263cbd0,species,incana,Actinella,,"(A.Nelson) A.Nelson",,1909,,"559 1909",,,,6cae808a-8fb2-11eb-924d-9cd76263cbd0,,3990-2,wfo-0000121025,5393475,,
fee9a9c6-8fb1-11eb-924d-9cd76263cbd0,species,insignis,Actinella,,"A.Gray ex S.Watson",,,,109,,,,,,,wfo-0000002048,5405793,,
7a4c579a-8fb6-11eb-924d-9cd76263cbd0,species,insignis,Actinella,,A.Gray,,,,,,,,,,3991-2,wfo-0000089896,8145907,,
a375c21a-8fb5-11eb-924d-9cd76263cbd0,species,lanata,Actinella,,Pursh,,1813,,"560 1813",,,,,,317384-2,wfo-0000080415,5399508,,
77e1304c-8fb2-11eb-924d-9cd76263cbd0,species,lanata,Actinella,,Nutt.,,1841,,"Trans. Amer. Philos. Soc. ser. 2, 7: 379 1841",,,,,,,wfo-0000025383,7547734,,
85ac71c4-8fbb-11eb-924d-9cd76263cbd0,species,lanuginosa,Actinella,,Buckley,,1862,,1862,,,,,,174886-1,wfo-0000134816,5393480,,
a3fd6d4c-8fb9-11eb-924d-9cd76263cbd0,species,leptoclada,Actinella,,A.Gray,,1857,,"107 1857",,,,,,,wfo-0000120115,5692187,,
11d6494a-8fb2-11eb-924d-9cd76263cbd0,species,linearifolia,Actinella,,Hook.,,,,,,,,,,,wfo-0000009407,8309294,,
8e1f71ca-8fb2-11eb-924d-9cd76263cbd0,species,linearifolia,Actinella,,"(Hook.) Torr. & A.Gray",,1842,,"383 1842",,,,,,174888-1,wfo-0000027992,8309294,,
712dc510-8fb4-11eb-924d-9cd76263cbd0,species,linearis,Actinella,,"(Nutt.) A.Nelson",,1909,,"560 1909",,,,,,3995-2,wfo-0000065119,5393487,,
