id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
dee948dc-8fd1-11eb-924d-9cd76263cbd0,genus,Aegiceras,,,Gaertn.,0,1788,,"Fruct. Sem. Pl. 1: 216 (1788)",,,,,,urn:lsid:ipni.org:names:27258-1,wfo-4000000746,6437789,,
9600dc84-8fcc-11eb-924d-9cd76263cbd0,species,corniculatum,Aegiceras,,"(L.) Blanco",0,1837,,"Flora de Filipinas 1837",,,,,,urn:lsid:ipni.org:names:92812-3,wfo-0000521489,3721362,,
9600fa20-8fcc-11eb-924d-9cd76263cbd0,species,ferreum,Aegiceras,,Blume,0,1826,,"Bijdr. Fl. Ned. Ind. : 693 (1826)",,,,,,urn:lsid:ipni.org:names:586619-1,wfo-0000521490,3721357,,
9601171c-8fcc-11eb-924d-9cd76263cbd0,species,floridum,Aegiceras,,"Roem. & Schult.",0,1819,,"Syst. Veg., ed. 15 bis 4: 512 (1819)",,,,,,urn:lsid:ipni.org:names:586620-1,wfo-0000521491,3721351,,
9601327e-8fcc-11eb-924d-9cd76263cbd0,species,fragrans,Aegiceras,,K.D.Koenig,0,1804,,"Ann. Bot. (König & Sims) 1: 131 (1804)",,,,,,urn:lsid:ipni.org:names:586621-1,wfo-0000521492,7543133,,
96014e9e-8fcc-11eb-924d-9cd76263cbd0,species,majus,Aegiceras,,Gaertn.,0,1788,,"Fruct. Sem. Pl. 1: 216 (1788)",,,,,,urn:lsid:ipni.org:names:586622-1,wfo-0000521493,3721327,,
96016c80-8fcc-11eb-924d-9cd76263cbd0,species,malaspinaea,Aegiceras,,A.DC.,0,1844,,"Prodr. 8: 13 (1844)",,,Q2712448,,,urn:lsid:ipni.org:names:586623-1,wfo-0000521494,3721322,,
d433d376-8fd1-11eb-924d-9cd76263cbd0,species,minor,Aegiceras,,Gaertn.,0,,,,,,,,,,wfo-0001285723,7847999,,
9601892c-8fcc-11eb-924d-9cd76263cbd0,species,minus,Aegiceras,,Gaertn.,0,1788,,"Fruct. Sem. Pl. 1: 216 (1788)",,,,,,urn:lsid:ipni.org:names:586625-1,wfo-0000521495,3721310,,
9601c040-8fcc-11eb-924d-9cd76263cbd0,species,minus,Aegiceras,,A.DC.,0,1844,,"Prodr. [A. P. de Candolle] 8: 412. 1844 [mid Mar 1844]",,,Q2712448,,,urn:lsid:ipni.org:names:586624-1,wfo-0000521497,8374986,,
9601daee-8fcc-11eb-924d-9cd76263cbd0,species,nigricans,Aegiceras,,A.Rich.,0,1834,,"Voy. Astrolabe 2: 57 (1834)",,,,,,urn:lsid:ipni.org:names:586626-1,wfo-0000521498,3721305,,
9601f8d0-8fcc-11eb-924d-9cd76263cbd0,species,obcordatum,Aegiceras,,Steud.,0,1840,,"Nomencl. Bot. , ed. 2, 1: 29 (1840)",,,,,,urn:lsid:ipni.org:names:586627-1,wfo-0000521499,3721297,,
960219e6-8fcc-11eb-924d-9cd76263cbd0,species,obovatum,Aegiceras,,Blume,0,1826,,"Bijdr. Fl. Ned. Ind. : 693 (1826)",,,,,,urn:lsid:ipni.org:names:586628-1,wfo-0000521500,3721289,,
