id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
deeaaa60-8fd1-11eb-924d-9cd76263cbd0,genus,Aegonychon,,,Gray,Q540667,1821,,"Nat. Arr. Brit. Pl. 2: 346, 354. 1821.",,,,,,4440-1,wfo-4000000765,7295084,,
960a044e-8fcc-11eb-924d-9cd76263cbd0,species,arvense,Aegonychon,,"(L.) Gray","Q1043,Q540667",1821,,"Nat. Arr. Brit. Pl. 2: 354 1821",,,,,,112670-1,wfo-0000521551,7295090,,
960a2bb8-8fcc-11eb-924d-9cd76263cbd0,subspecies,sibthorpianum,Aegonychon,arvense,"(Griseb.) Dostál","Q76351,Q3506448",1984,,"Folia Mus. Rerum Nat. Bohemiae Occid., Bot. 21: 10 1984",,,,2ca63c34-8fcc-11eb-924d-9cd76263cbd0,,922909-1,wfo-0000521552,4063991,,
960a8e32-8fcc-11eb-924d-9cd76263cbd0,species,gastonii,Aegonychon,,"(Benth.) Holub","Q731808,Q328397",1973,,"Folia Geobot. Phytotax. 8: 164 1973",,Q54801145,,2c94fce4-8fcc-11eb-924d-9cd76263cbd0,,112672-1,wfo-0000521553,4063975,,
960ae224-8fcc-11eb-924d-9cd76263cbd0,species,goulandriorum,Aegonychon,,"(Rech.f.) Holub","Q78738,Q328397",1973,,"Folia Geobot. Phytotax. 8: 165 1973",,Q54801145,,c4fab172-8fd1-11eb-924d-9cd76263cbd0,,112673-1,wfo-0000521554,7295087,,
aace2612-8fd1-11eb-924d-9cd76263cbd0,species,purpurea-coeruleum,Aegonychon,,Holub.,,,,,,,,,,,wfo-0001215076,8002789,,
960b2018-8fcc-11eb-924d-9cd76263cbd0,species,purpurocaeruleum,Aegonychon,,"(L.) Holub","Q1043,Q328397",1973,,"Folia Geobot. Phytotax. 8: 165 1973",,Q54801145,,2ca3cb48-8fcc-11eb-924d-9cd76263cbd0,,112674-1,wfo-0000521556,4063960,,
960b3bac-8fcc-11eb-924d-9cd76263cbd0,species,repens,Aegonychon,,Gray,Q540667,1821,,"Nat. Arr. Brit. Pl. 2: 354 1821",,,,,,112675-1,wfo-0000521557,4063954,,
960b5826-8fcc-11eb-924d-9cd76263cbd0,species,thessalicum,Aegonychon,,"(Aldén) Holub","Q21505039,Q328397",1986,,"Preslia 58: 301 1986",,,,c4fad21a-8fd1-11eb-924d-9cd76263cbd0,,943161-1,wfo-0000521558,4063948,,
960b7630-8fcc-11eb-924d-9cd76263cbd0,species,zollingeri,Aegonychon,,"(A.DC.) Holub","Q123807,Q328397",1973,,"Folia Geobot. Phytotax. 8: 165 1973",,Q54801145,,,,112676-1,wfo-0000521559,4063937,,
