id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
defa3d22-8fd1-11eb-924d-9cd76263cbd0,genus,Ageria,,,Raf.,Q364857,1838,,"Sylva Tellur. 46. 1838.",,,,,,,wfo-4000000941,,,
975bd336-8fcc-11eb-924d-9cd76263cbd0,species,acuminata,Ageria,,Raf.,Q364857,1838,,"Sylva Tellur. 46 1838",,,,,,82975-1,wfo-0000523890,5534267,,
975bedd0-8fcc-11eb-924d-9cd76263cbd0,species,cassena,Ageria,,Raf.,Q364857,1838,,"Sylva Tellur. 47 1838",,,,,,82976-1,wfo-0000523891,5534259,,
975c0ad6-8fcc-11eb-924d-9cd76263cbd0,species,geminata,Ageria,,Raf.,Q364857,1838,,"Sylva Tellur. 48 1838",,,,,,82977-1,wfo-0000523892,5534252,,
975c25c0-8fcc-11eb-924d-9cd76263cbd0,species,heterophylla,Ageria,,Raf.,Q364857,1838,,"Sylva Tellur. 48 1838",,,,,,82978-1,wfo-0000523893,5534246,,
975c5dd8-8fcc-11eb-924d-9cd76263cbd0,species,mucronata,Ageria,,Raf.,Q364857,1838,,"Sylva Tellur. 47 1838",,,,,,82979-1,wfo-0000523895,5534238,,
975c7a02-8fcc-11eb-924d-9cd76263cbd0,species,obovata,Ageria,,Raf.,Q364857,1838,,"Sylva Tellur. 48 1838",,,,,,82980-1,wfo-0000523896,5534231,,
975c942e-8fcc-11eb-924d-9cd76263cbd0,species,opaca,Ageria,,Raf.,Q364857,1838,,"Sylva Tellur. 47 1838",,,,,,82981-1,wfo-0000523897,5534226,,
975cb224-8fcc-11eb-924d-9cd76263cbd0,species,ovalis,Ageria,,Raf.,Q364857,1838,,"Sylva Tellur. 48 1838",,,,,,82982-1,wfo-0000523898,5534217,,
975cd524-8fcc-11eb-924d-9cd76263cbd0,species,palustris,Ageria,,Raf.,Q364857,1838,,"Sylva Tellur. 47 1838",,,,,,82983-1,wfo-0000523899,5534211,,
975d0bd4-8fcc-11eb-924d-9cd76263cbd0,species,retusa,Ageria,,Raf.,Q364857,1838,,"Sylva Tellur. 46 1838",,,,,,82984-1,wfo-0000523900,5534203,,
975d399c-8fcc-11eb-924d-9cd76263cbd0,species,uniflora,Ageria,,Raf.,Q364857,1838,,"Sylva Tellur. 47 1838",,,,,,82985-1,wfo-0000523901,5534196,,
6ebf9768-8fcd-11eb-924d-9cd76263cbd0,species,marchantioides,Aggeianthus,,Wight,Q1375864,1851,,"Icon. Pl. Ind. Orient. 5: 18 1851",,,,,,615399-1,wfo-0000912273,3656289,,
