id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
df22dcfa-8fd1-11eb-924d-9cd76263cbd0,genus,Alomia,,,Kunth,,,,,,,30048129-2,wfo-4000001348,3140642,
95c9835e-8fb5-11eb-924d-9cd76263cbd0,species,ageratoides,Alomia,,Kunth,1818,1818,,,,,,wfo-0000079800,3140653,
7f7cc3ca-8fb2-11eb-924d-9cd76263cbd0,species,alata,Alomia,,Hemsl.,1881,"79 1881",,,,,,wfo-0000026250,3140646,
1c2642e4-8fb5-11eb-924d-9cd76263cbd0,species,angustata,Alomia,,"Benth. ex Baker",1876,"190 1876",,,,,,wfo-0000074011,4250816,
94e629b0-8fb5-11eb-924d-9cd76263cbd0,species,angustata,Alomia,,"(Gardner) Benth.",1876,"Flora Brasiliensis 6(2): 190 1876",,,,36b2a672-8fb3-11eb-924d-9cd76263cbd0,,wfo-0000079761,7799783,
a2d46a98-8fb3-11eb-924d-9cd76263cbd0,species,armani,Alomia,,"(Balbis) Baker",1876,"Fl. Bras. 6(2): 191. 1876.",,,,f3fbad50-8fb3-11eb-924d-9cd76263cbd0,,wfo-0000052016,,
4dea9bf2-8fb2-11eb-924d-9cd76263cbd0,species,armanii,Alomia,,"(Balb.) Baker",1876,"191 1876",,,,31895cfa-8fb2-11eb-924d-9cd76263cbd0,,wfo-0000019762,3104789,
ea65c6b8-8fb3-11eb-924d-9cd76263cbd0,species,ballotaefolia,Alomia,,"Maguire, Steyerm. & Wurd.",1957,"Mem. New York Bot. Gard. 9: 425. 1957.",,,,,,wfo-0000056852,6302927,
23195730-8fb5-11eb-924d-9cd76263cbd0,species,ballotifolia,Alomia,,"Maguire, Steyerm. & Wurdack",1957,"Mem. New York Bot. Gard. 9 425 1957",,,,,9484-2,wfo-0000074338,3138657,
c16e6262-8fb6-11eb-924d-9cd76263cbd0,species,callosa,Alomia,,"(S.Watson) B.L.Rob.",1913,"Proc. Amer. Acad. Arts 49 443 1913",,,,,9485-2,wfo-0000092826,3140643,
53de291c-8fbb-11eb-924d-9cd76263cbd0,species,chiriquensis,Alomia,,B.L.Rob.,1920,"Contr. Gray Herb. 61 4 1920",,,,,9486-2,wfo-0000133393,3140647,
08e1508c-8fb2-11eb-924d-9cd76263cbd0,species,cinerea,Alomia,,"(Gardner) Benth. ex Baker",1876,"Fl. Bras. (Martius) 6(2): 191 1876",,,,,9487-2,wfo-0000006484,3094754,
658341a6-8fb2-11eb-924d-9cd76263cbd0,species,coelestina,Alomia,,"(Regel) B.L.Rob.",1930,"Contr. Gray Herb. 90: 4 1930",,,,0662fbba-8fb4-11eb-924d-9cd76263cbd0,9488-2,wfo-0000023239,3140651,
0085da52-8fb2-11eb-924d-9cd76263cbd0,species,cordata,Alomia,,S.F.Blake,1947,"Proc. Biol. Soc. Wash. 60: 41. 1947.",,,,,9489-2,wfo-0000003245,3138553,
f1bdb1a6-8fb2-11eb-924d-9cd76263cbd0,species,dubia,Alomia,,B.L.Rob.,1906,"Proc. Amer. Acad. Arts 42 33 1906",,,,,9490-2,wfo-0000038053,3094755,
642b431c-8fb2-11eb-924d-9cd76263cbd0,species,echioides,Alomia,,"(Less.) B.L.Rob.",1913,"Proc. Amer. Acad. Arts 49: 449. 1913.",,,,,9491-2,wfo-0000023058,3140645,
9625f3da-8fb2-11eb-924d-9cd76263cbd0,species,elata,Alomia,,Hemsl.,,,,,,,,wfo-0000028945,8311568,
fd64fc86-8fb1-11eb-924d-9cd76263cbd0,species,fastigiata,Alomia,,"Benth. ex Baker",1876,"192 1876",,,,,,wfo-0000000296,3138646,
0d22e3d4-8fb9-11eb-924d-9cd76263cbd0,species,fastigiata,Alomia,,Benth.,1876,"Flora Brasiliensis 6(2): 192 1876",,,,,,wfo-0000114965,8212995,
d6f3392c-8fb2-11eb-924d-9cd76263cbd0,species,foliosa,Alomia,,"(Gardner) Benth. & Hook.f.",1873,"240 1873",,,,,175942-1,wfo-0000035747,3092993,
1db7f62c-8fb3-11eb-924d-9cd76263cbd0,species,glutinosa,Alomia,,Krasch.,1922,"Bot. Mater. Gerb. Glavn. Bot. Sada RSFSR 3 161 1922",,,,,9492-2,wfo-0000041909,3101609,
1887374a-8fb7-11eb-924d-9cd76263cbd0,species,guatemalensis,Alomia,,B.L.Rob.,1913,"Proc. Amer. Acad. Arts 49: 448. 1913.",,,,,297210-2,wfo-0000096317,3140650,
fc1f74e8-8fb4-11eb-924d-9cd76263cbd0,species,heterolepis,Alomia,,"(Baker) B.L.Rob.",1913,"Proc. Amer. Acad. Arts 49 447 1913",,,,,9493-2,wfo-0000072468,3101598,
b5e2e6b6-8fbb-11eb-924d-9cd76263cbd0,species,hintonii,Alomia,,"R.M.King & H.Rob.",1972,"Phytologia 24 110 1972",,,,,9494-2,wfo-0000136137,3140655,
04ea670c-8fb2-11eb-924d-9cd76263cbd0,species,isocarphoides,Alomia,,"(DC.) B.L.Rob.",1913,"Proc. Amer. Acad. Arts 49: 449. 1913.",,,,d197b11a-8fb2-11eb-924d-9cd76263cbd0,175947-1,wfo-0000005219,3138678,
04fe010e-8fb2-11eb-924d-9cd76263cbd0,species,longifolia,Alomia,,"(Gardner) B.L.Rob.",1913,"Proc. Amer. Acad. Arts 49 447 1913",,,,,9496-2,wfo-0000005246,3101610,
d6f72048-8fb5-11eb-924d-9cd76263cbd0,species,microcarpa,Alomia,,"(Benth. ex Benth.) B.L.Rob.",1913,"Proc. Amer. Acad. Arts 49: 452. 1913.",,,,08cd6cd4-8fb2-11eb-924d-9cd76263cbd0,9497-2,wfo-0000082756,8479243,
0bb2661a-8fb3-11eb-924d-9cd76263cbd0,form,torresii,Alomia,microcarpa,Standl.,1936,"274 1936",,,,,9498-2,wfo-0000040379,4250705,
f152e66e-8fb2-11eb-924d-9cd76263cbd0,species,microcephala,Alomia,,"(Hemsl.) B.L.Rob.",1913,"Proc. Amer. Acad. Arts 49 448 1913",,,,64a0cdaa-8fba-11eb-924d-9cd76263cbd0,9499-2,wfo-0000038015,3138675,
fb6e895a-8fb2-11eb-924d-9cd76263cbd0,species,myriadenia,Alomia,,"Sch.Bip. ex Baker",1876,"Fl. Bras. (Martius) 6(2): 192 1876",,,,,9500-2,wfo-0000038936,3138664,
afc8037a-8fb5-11eb-924d-9cd76263cbd0,species,pinetorum,Alomia,,L.O.Williams,1964,"Fieldiana, Bot. 31: 25 1964",,,,,175952-1,wfo-0000080977,3138556,
25dadb04-8fb2-11eb-924d-9cd76263cbd0,species,platylepis,Alomia,,B.L.Rob.,1913,"Proc. Amer. Acad. Arts 49 448 1913",,,,,9502-2,wfo-0000013516,3140652,
b1d739ca-8fb4-11eb-924d-9cd76263cbd0,species,pohlii,Alomia,,"Sch.Bip. ex Baker",1876,"190 1876",,,,,,wfo-0000068591,3092990,
f33cffce-8fb6-11eb-924d-9cd76263cbd0,species,polyphylla,Alomia,,Baker,1876,"191 1876",,,,,,wfo-0000094869,3138644,
5ceb7444-8fb4-11eb-924d-9cd76263cbd0,species,regnellii,Alomia,,Malme,1899,"32 1899",,,,,,wfo-0000063922,3096954,
081197fc-8fb2-11eb-924d-9cd76263cbd0,species,robinsoniana,Alomia,,L.O.Williams,1964,"Fieldiana, Bot. 31: 27 1964",,,,,9505-2,wfo-0000006174,3138633,
ab5bb120-8fb9-11eb-924d-9cd76263cbd0,species,spilanthoides,Alomia,,"D.Don ex Hook. & Arn.",1835,"238 1835",,,,,,wfo-0000120364,,
4a8aa39e-8fb2-11eb-924d-9cd76263cbd0,species,stachyofolium,Alomia,,B.L.Rob.,1901,"Proceedings of the American Academy of Arts and Sciences 36: 476 1901",,,,,,wfo-0000019243,8020769,
9d4eae22-8fb2-11eb-924d-9cd76263cbd0,species,stenolepis,Alomia,,S.F.Blake,1937,"J. Wash. Acad. Sci. 27 375 1937",,,,,9506-2,wfo-0000029766,3140648,
fc1edde0-8fb8-11eb-924d-9cd76263cbd0,species,tenuifolia,Alomia,,"(Phil.) Benth. & Hook.f. ex Reiche",,,,,,,,wfo-0000114368,,
45481e76-8fb6-11eb-924d-9cd76263cbd0,species,tomentosum,Alomia,,"(Benth.) Hemsl.",,,,,,,,wfo-0000087608,7484316,
3b9934f8-8fb3-11eb-924d-9cd76263cbd0,species,wendlandii,Alomia,,B.L.Rob.,1913,"Proc. Amer. Acad. Arts 49: 452. 1913.",,,,,9507-2,wfo-0000044378,3140649,
