id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
df428aaa-8fd1-11eb-924d-9cd76263cbd0,genus,Amphoricarpos,,,Vis.,0,1844,,"Giorn. Bot. Ital. 1: 196 (1844)",,,,,,urn:lsid:ipni.org:names:7603-1,wfo-4000001754,3090710,,
a6bac91e-8fb2-11eb-924d-9cd76263cbd0,species,autariatus,Amphoricarpos,,"Blečić & E.Mayer",0,1967,,"Phyton (Horn) 12: 155 (1967)",,,,,,urn:lsid:ipni.org:names:176272-1,wfo-0000030831,3090714,,
dfec3e8e-1d47-11ec-82c2-f14daa6f2d93,subspecies,autariatus,Amphoricarpos,autariatus,"Blečić & E.Mayer",,,,Unknown,,,,,,urn:lsid:ipni.org:names:77179587-1,wfo-0000104928,,,
c09f3670-8fb8-11eb-924d-9cd76263cbd0,subspecies,bertisceus,Amphoricarpos,autariatus,,,1967,,"Phyton (Horn) 12: 156 (1967)",,,,,,urn:lsid:ipni.org:names:77180837-1,wfo-0000112278,6076764,,
e6e60bee-8fb6-11eb-924d-9cd76263cbd0,species,elegans,Amphoricarpos,,Albov,0,1894,,"Bull. Herb. Boissier 2: 247 (1894)",,,Q2378336,,,urn:lsid:ipni.org:names:176274-1,wfo-0000094371,3090712,,
d8904a7a-8fb4-11eb-924d-9cd76263cbd0,species,exsul,Amphoricarpos,,O.Schwarz,0,1970,,"Phyton (Horn) 14: 125, 132 (1970)",,,,,,urn:lsid:ipni.org:names:176273-1,wfo-0000070636,3090718,,
d5ba6150-8fb4-11eb-924d-9cd76263cbd0,species,neumayeri,Amphoricarpos,,Vis.,0,1844,,"Giorn. Bot. Ital. 1: 196 (1844)",,,,,,urn:lsid:ipni.org:names:176275-1,wfo-0000070491,3090717,,
aea713a0-8fb5-11eb-924d-9cd76263cbd0,subspecies,bertisceus,Amphoricarpos,neumayeri,"(Blečić & E.Mayer) O.Schwarz",0,1970,,"O. Schwarz in Phyton (Horn) 14. 1970. 132 1970",,,,,,,wfo-0000080925,6076765,,
e5e82b1e-8fb6-11eb-924d-9cd76263cbd0,subspecies,murbeckii,Amphoricarpos,neumayeri,Bosnjak,0,1936,,"62 1936",,,,,,,wfo-0000094330,6076767,,
b33ec9c4-1d47-11ec-82c2-f14daa6f2d93,subspecies,neumayeri,Amphoricarpos,neumayeri,,,,,,,,,,,,wfo-0000049592,,,
b3779c0c-8fb9-11eb-924d-9cd76263cbd0,species,neumayerianus,Amphoricarpos,,"(Vis.) Greuter",0,2003,,"Willdenowia 33(1): 51 (2003) (2003)",,Q54802844,,,,urn:lsid:ipni.org:names:70029029-1,wfo-0000120634,3090715,,
82eca34e-1d4d-11ec-82c2-f14daa6f2d93,subspecies,neumayerianus,Amphoricarpos,neumayerianus,,,,,Unknown,,,,,,urn:lsid:ipni.org:names:77179726-1,wfo-0001426646,,,
16d91d82-8fb2-11eb-924d-9cd76263cbd0,species,praedictus,Amphoricarpos,,"Ayasligil & Grierson",0,1984,,"Notes Roy. Bot. Gard. Edinburgh 42(1): 70 (1984)",,Q102417960,,,,urn:lsid:ipni.org:names:903507-1,wfo-0000010741,3090711,,
276318e0-8fcd-11eb-924d-9cd76263cbd0,species,uaupensis,Amphoricarpus,,"Spruce ex Miers",0,1874,,"Trans. Linn. Soc. London 30: 288 (1874)",,Q55808829,,,,urn:lsid:ipni.org:names:590616-1,wfo-0000774808,3083046,,
