id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
df78ca84-8fd1-11eb-924d-9cd76263cbd0,genus,Anisoptera,,,Korth.,0,1841,,"Verh. Nat. Gesch. Ned. Bezitt., Bot. : 65 (1839)",,,,,,urn:lsid:ipni.org:names:14351-1,wfo-4000002200,3233915,,
9f5824c2-8fcc-11eb-924d-9cd76263cbd0,species,aurea,Anisoptera,,Foxw.,0,1938,,"Philipp. J. Sci. 67: 271 (1938)",,,,,,urn:lsid:ipni.org:names:320541-1,wfo-0000537342,5669001,,
9f5844b6-8fcc-11eb-924d-9cd76263cbd0,species,bantamensis,Anisoptera,,Hassk.,0,1855,,"Retzia 1: 140 (1855)",,,,,,urn:lsid:ipni.org:names:320542-1,wfo-0000537343,5668997,,
9f586202-8fcc-11eb-924d-9cd76263cbd0,species,brunnea,Anisoptera,,Foxw.,0,1911,,"Philipp. J. Sci., C 6: 254 (1911)",,,,,,urn:lsid:ipni.org:names:320543-1,wfo-0000537344,5669018,,
9f58a5fa-8fcc-11eb-924d-9cd76263cbd0,species,calophylla,Anisoptera,,Perkins,0,1904,,"Fragm. Fl. Philipp. 1: 22 (1904)",,,,,,urn:lsid:ipni.org:names:320544-1,wfo-0000537345,5668985,,
9f58e452-8fcc-11eb-924d-9cd76263cbd0,species,cochinchinensis,Anisoptera,,Pierre,0,1886,,"Pl. Util. Col. Franç. : 298 (1886)",,,,,,urn:lsid:ipni.org:names:320545-1,wfo-0000537346,5668980,,
9f592bd8-8fcc-11eb-924d-9cd76263cbd0,species,costata,Anisoptera,,Korth.,0,1839,,"Verh. Nat. Gesch. Ned. Bezitt., Bot. : t. 6 (1840)",,,,,,urn:lsid:ipni.org:names:320546-1,wfo-0000537347,8123894,,
9f59686e-8fcc-11eb-924d-9cd76263cbd0,species,curtisii,Anisoptera,,"Dyer ex King",0,1893,,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist. 62: 100 (1893)",,,,,,urn:lsid:ipni.org:names:320548-1,wfo-0000537349,5668965,,
9f598894-8fcc-11eb-924d-9cd76263cbd0,species,forbesii,Anisoptera,,Brandis,0,1895,,"J. Linn. Soc., Bot. 31: 45 (1895)",,Q55760374,,,,urn:lsid:ipni.org:names:320549-1,wfo-0000537350,5668961,,
9f59a5ae-8fcc-11eb-924d-9cd76263cbd0,species,glabra,Anisoptera,,Kurz,0,1873,,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist. 42: 61 (1873)",,,,,,urn:lsid:ipni.org:names:320550-1,wfo-0000537351,5668955,,
9f59c228-8fcc-11eb-924d-9cd76263cbd0,species,grandiflora,Anisoptera,,Brandis,0,1895,,"J. Linn. Soc., Bot. 31: 43 (1895)",,Q55760374,,,,urn:lsid:ipni.org:names:320551-1,wfo-0000537352,5668951,,
9f59dd44-8fcc-11eb-924d-9cd76263cbd0,species,grossivenia,Anisoptera,,Slooten,,1940,,"Bull. Jard. Bot. Buitenzorg , sér. 3, 16: 431 (1940)",,,,,,urn:lsid:ipni.org:names:320552-1,wfo-0000537353,5668947,,
9f59f928-8fcc-11eb-924d-9cd76263cbd0,species,guiso,Anisoptera,,A.DC.,0,1864,,"Prodr. 16(2): 616 (1864)",,,,,,urn:lsid:ipni.org:names:320553-1,wfo-0000537354,5668944,,
9f5a1408-8fcc-11eb-924d-9cd76263cbd0,species,kostermansiana,Anisoptera,,Dilmy,0,1956,,"Reinwardtia 3: 347 (1956)",,Q94139834,,,,urn:lsid:ipni.org:names:320554-1,wfo-0000537355,5668941,,
9f5a2fe2-8fcc-11eb-924d-9cd76263cbd0,species,laevis,Anisoptera,,Ridl.,0,1922,,"Fl. Malay Penins. 1: 219 (1922)",,,,,,urn:lsid:ipni.org:names:320555-1,wfo-0000537356,5668936,,
9f5a4982-8fcc-11eb-924d-9cd76263cbd0,species,lanceolata,Anisoptera,,Walp.,0,1848,,"Ann. Bot. Syst. 1: 113 (1848)",,,,,,urn:lsid:ipni.org:names:320556-1,wfo-0000537357,5668930,,
9f5a652a-8fcc-11eb-924d-9cd76263cbd0,species,mangachapoi,Anisoptera,,A.DC.,0,1864,,"Prodr. 16(2): 616 (1864)",,,,,,urn:lsid:ipni.org:names:320557-1,wfo-0000537358,5668924,,
ce48dfce-8fd1-11eb-924d-9cd76263cbd0,species,mangachapoi,Anisoptera,,"(Blanco) DC.",0,,,,,,,,,,wfo-0001280300,5668924,,
9f5a9932-8fcc-11eb-924d-9cd76263cbd0,species,marginata,Anisoptera,,Korth.,0,1841,,"Verh. Nat. Gesch. Ned. Bezitt., Bot. : 66 (1841)",,,,,,urn:lsid:ipni.org:names:320558-1,wfo-0000537360,5668918,,
9f5ab3e0-8fcc-11eb-924d-9cd76263cbd0,species,marginatoides,Anisoptera,,F.Heim,0,1902,,"Bot. Tidsskr. 25: 44 (1902)",,,,,,urn:lsid:ipni.org:names:320559-1,wfo-0000537361,5668913,,
9f5ad122-8fcc-11eb-924d-9cd76263cbd0,species,megistocarpa,Anisoptera,,Slooten,0,1926,,"Bull. Jard. Bot. Buitenzorg , sér. 3, 8: 12 (1926)",,,,,,urn:lsid:ipni.org:names:320560-1,wfo-0000537362,5668909,,
9f5b07e6-8fcc-11eb-924d-9cd76263cbd0,species,melanoxylon,Anisoptera,,Hook.f.,0,1860,,"Trans. Linn. Soc. London 23: 160 (1860)",,Q54550673,,,,urn:lsid:ipni.org:names:320561-1,wfo-0000537363,5668905,,
9f5b73f2-8fcc-11eb-924d-9cd76263cbd0,species,mindanensis,Anisoptera,,Foxw.,0,1918,,"Philipp. J. Sci., C 13: 181 (1918)",,,,,,urn:lsid:ipni.org:names:320562-1,wfo-0000537364,5668900,,
9f5b9dfa-8fcc-11eb-924d-9cd76263cbd0,species,oblonga,Anisoptera,,Dyer,0,1874,,"Fl. Brit. India 1: 301 (1874)",,,,,,urn:lsid:ipni.org:names:320563-1,wfo-0000537365,5668896,,
9f5bbb28-8fcc-11eb-924d-9cd76263cbd0,species,odorata,Anisoptera,,Kurz,0,1872,,"Flora 55: 190 (1872)",,,,,,urn:lsid:ipni.org:names:320564-1,wfo-0000537366,5668893,,
9f5bdafe-8fcc-11eb-924d-9cd76263cbd0,species,palembanica,Anisoptera,,Miq.,0,1861,,"Fl. Ned. Ind., Eerste Bijv. : 485 (1861)",,,,,,urn:lsid:ipni.org:names:320565-1,wfo-0000537367,5669322,,
9f5bf606-8fcc-11eb-924d-9cd76263cbd0,species,parvifolia,Anisoptera,,Warb.,0,1891,,"Bot. Jahrb. Syst. 13: 362 (1891)",,,,,,urn:lsid:ipni.org:names:320566-1,wfo-0000537368,5669318,,
9f5c128a-8fcc-11eb-924d-9cd76263cbd0,species,plagata,Anisoptera,,"(Blanco) Blume",0,1856,,"Mus. Bot. 2: 42 (1856)",,,,35f1a9d6-8fcc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:320567-1,wfo-0000537369,5669313,,
9f5c4818-8fcc-11eb-924d-9cd76263cbd0,species,polyandra,Anisoptera,,Blume,0,1856,,"Mus. Bot. 2: 42 (1856)",,,,,,urn:lsid:ipni.org:names:320568-1,wfo-0000537371,5669308,,
9f5c6438-8fcc-11eb-924d-9cd76263cbd0,species,reticulata,Anisoptera,,P.S.Ashton,0,1967,,"Gard. Bull. Singapore 22: 260 (1967)",,,,,,urn:lsid:ipni.org:names:320569-1,wfo-0000537372,5669303,,
9f5c8300-8fcc-11eb-924d-9cd76263cbd0,species,robusta,Anisoptera,,Pierre,0,1890,,"Fl. Forest. Cochinch. : t. 236 (1890)",,,,,,urn:lsid:ipni.org:names:320570-1,wfo-0000537373,5669298,,
9f5c9f34-8fcc-11eb-924d-9cd76263cbd0,species,scaphula,Anisoptera,,"(Roxb.) Kurz",0,1877,,"Forest Fl. Burma 1: 547 (1877)",,,,0ed895a2-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:320572-1,wfo-0000537374,5669291,,
9f5cb9b0-8fcc-11eb-924d-9cd76263cbd0,species,thurifera,Anisoptera,,Blume,0,1856,,"Mus. Bot. 2: 42 (1856)",,,,35f0ac52-8fcc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:320573-1,wfo-0000537375,7299083,,
9f5cd3b4-8fcc-11eb-924d-9cd76263cbd0,subspecies,polyandra,Anisoptera,thurifera,"(Blume) P.S.Ashton",0,1978,,"Gard. Bull. Singapore 31: 16 (1978)",,,,,,urn:lsid:ipni.org:names:879930-1,wfo-0000537376,5669282,,
9f5cefc0-8fcc-11eb-924d-9cd76263cbd0,species,tomentosa,Anisoptera,,Brandis,0,1895,,"J. Linn. Soc., Bot. 31: 45 (1895)",,Q55760374,,,,urn:lsid:ipni.org:names:320574-1,wfo-0000537377,5669278,,
9f5d0c62-8fcc-11eb-924d-9cd76263cbd0,species,vidaliana,Anisoptera,,Brandis,0,1895,,"J. Linn. Soc., Bot. 31: 44 (1895)",,Q55760374,,,,urn:lsid:ipni.org:names:320575-1,wfo-0000537378,5669273,,
