id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
df79dd98-8fd1-11eb-924d-9cd76263cbd0,genus,Anisotes,,,Nees,0,1847,,"Prodr. 11: 424 (1847)",,,,,,urn:lsid:ipni.org:names:331350-2,wfo-4000002214,3233787,,
9f6c51d6-8fcc-11eb-924d-9cd76263cbd0,species,anomalus,Anisotes,,"(A.St.-Hil.) Lindl.",0,1836,,"Intr. Nat. Syst. Bot., ed. 2. 441. 1836",,,,,,urn:lsid:ipni.org:names:552808-1,wfo-0000537472,5635366,,
9f6c6e64-8fcc-11eb-924d-9cd76263cbd0,species,bracteatus,Anisotes,,Milne-Redh.,0,,,"Hooker's Icon. Pl. 33: t. 3268 (1935)",,,,,,urn:lsid:ipni.org:names:45332-1,wfo-0000537473,5576196,,
4fe87ec8-1d4d-11ec-82c2-f14daa6f2d93,species,comorensis,Anisotes,,"(Lindau) T.F.Daniel",,,,"Candollea 69: 50 (2014)",,,,,,urn:lsid:ipni.org:names:77141128-1,wfo-0001340134,,,
8e4c255c-8fcc-11eb-924d-9cd76263cbd0,species,divaricatus,Anisotes,,"T.F.Daniel, Mbola, Almeda & Phillipson",0,2007,,"Proc. Calif. Acad. Sci. , ser. 4, 58: 127 (2007)",,,,,,urn:lsid:ipni.org:names:77086735-1,wfo-0000508392,5576192,,
9f6c8a70-8fcc-11eb-924d-9cd76263cbd0,species,diversifolius,Anisotes,,Balf.f.,0,1884,,"Proc. Roy. Soc. Edinburgh 12: 88 (1883)",,Q95996101,,,,urn:lsid:ipni.org:names:45333-1,wfo-0000537474,5576188,,
9f6ca82a-8fcc-11eb-924d-9cd76263cbd0,variety,brevicallyx,Anisotes,diversifolius,Balf.f.,0,1884,,"Proc. Roy. Soc. Edinburgh 12: 88 1884",,,,,,,wfo-0000537475,,,
9f6d339e-8fcc-11eb-924d-9cd76263cbd0,species,dumosus,Anisotes,,Milne-Redh.,0,1936,,"Bull. Misc. Inform. Kew 1936: 487 (1936)",,Q55781907,,,,urn:lsid:ipni.org:names:45334-1,wfo-0000537476,7264414,,
9f6d5702-8fcc-11eb-924d-9cd76263cbd0,subspecies,galanae,Anisotes,dumosus,Baden,0,1981,,"Nordic J. Bot. 1: 36 (1981)",,Q55761074,,,,urn:lsid:ipni.org:names:916051-1,wfo-0000537477,5576182,,
9f6d93f2-8fcc-11eb-924d-9cd76263cbd0,species,formosissimus,Anisotes,,"(Klotzsch) Milne-Redh.",0,1954,,"Mem. New York Bot. Gard. 9: 25 (1954)",,,,,,urn:lsid:ipni.org:names:45335-1,wfo-0000537479,5576177,,
1aafa1f4-8fcd-11eb-924d-9cd76263cbd0,species,galanae,Anisotes,,"(Baden) Vollesen",0,2010,,"Fl. Trop. E. Africa , Acanth.(2): 660 (2010)",,,,9f6d5702-8fcc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:77109776-1,wfo-0000748470,7673631,,
9f6daf72-8fcc-11eb-924d-9cd76263cbd0,species,guineensis,Anisotes,,Lindau,0,1908,,"Mém. Soc. Bot. France 8: 53 (1908)",,Q55756922,,,,urn:lsid:ipni.org:names:45336-1,wfo-0000537480,5576172,,
9f6dcc0a-8fcc-11eb-924d-9cd76263cbd0,species,hilarianus,Anisotes,,Meisn.,0,1837,,"Pl. Vasc. Gen. [Meisner] 2: 84. 1838",,,,,,urn:lsid:ipni.org:names:552809-1,wfo-0000537481,5635363,,
de3710b8-8fd1-11eb-924d-9cd76263cbd0,species,hygroscopicus,Anisotes,,"T.F.Daniel, Letsara & Martín-Bravo",0,2013,,"Novon 22: 398 (2013)",,,,,,urn:lsid:ipni.org:names:77137828-1,wfo-0001315111,8311231,,
9f6de8de-8fcc-11eb-924d-9cd76263cbd0,species,involucratus,Anisotes,,Fiori,0,1915,,"Bull. Soc. Bot. Ital. 1915: 59 (1915)",,,,,,urn:lsid:ipni.org:names:45337-1,wfo-0000537482,5576169,,
51947e98-1d4d-11ec-82c2-f14daa6f2d93,species,longistrobus,Anisotes,,"(C.B.Clarke) Vollesen",,,,"Fl. Zambes. 8(6): 236 (2015)",,,,,,urn:lsid:ipni.org:names:77147174-1,wfo-0001342476,,,
9f6e03be-8fcc-11eb-924d-9cd76263cbd0,species,macrophyllus,Anisotes,,"(Lindau) Heine",0,1966,,"Fl. Gabon 13: 189 (1966)",,,,,,urn:lsid:ipni.org:names:45338-1,wfo-0000537483,5576165,,
