id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
df79fbac-8fd1-11eb-924d-9cd76263cbd0,genus,Anisothecium,,,Mitt.,0,1869,,"J. Linn. Soc., Bot. 12: 39. 1869.",,,Q5946734,,,,wfo-4000002216,2675078,,
e0b00222-8fcd-11eb-924d-9cd76263cbd0,species,brachyangium,Anisothecium,,"(Cardot) Broth.",0,1924,,"Nat. Pflanzenfam. (ed. 2) 10: 178 1924",,,Q14931236,,,,wfo-0001151214,2675101,,
e0b0209a-8fcd-11eb-924d-9cd76263cbd0,species,brachydontium,Anisothecium,,"H.A.Crum & Steere",0,1956,,"Bryologist 59: 247 1956",,,,,,,wfo-0001151215,2675120,,
e0b03aee-8fcd-11eb-924d-9cd76263cbd0,species,campylophyllum,Anisothecium,,"(Taylor) Mitt.",0,1869,,"J. Linn. Soc., Bot. 12: 40 1869",,,Q5946734,e45b011a-8fcd-11eb-924d-9cd76263cbd0,,,wfo-0001151216,2675107,,
e0b05a92-8fcd-11eb-924d-9cd76263cbd0,species,capituligerum,Anisothecium,,"(Müll.Hal.) Thér.",0,1935,,"Rev. Bryol. Lichénol. 7: 170 1935",,,,,,,wfo-0001151217,2675079,,
fa328e04-8fcd-11eb-924d-9cd76263cbd0,species,cardotii,Anisothecium,,"(R.Br.bis) Ochyra",0,1998,,"Moss Fl. King George Island Antarctica 114 1998",,,,,,,wfo-0001204454,7922642,,
e0b077b6-8fcd-11eb-924d-9cd76263cbd0,species,clathratum,Anisothecium,,"(Hook.f. & Wilson) Broth.",0,1924,,"Nat. Pflanzenfam. (ed. 2) 10: 177 1924",,,Q14931236,e45ea0ae-8fcd-11eb-924d-9cd76263cbd0,,,wfo-0001151218,2675110,,
e0b0941c-8fcd-11eb-924d-9cd76263cbd0,species,convolutum,Anisothecium,,"(Hampe) Mitt.",0,1869,,"J. Linn. Soc., Bot. 12: 40 1869",,,Q5946734,e461615e-8fcd-11eb-924d-9cd76263cbd0,,,wfo-0001151219,2675093,,
e0b0b140-8fcd-11eb-924d-9cd76263cbd0,species,crispum,Anisothecium,,Lindb.,0,1878,,"Utkast Eur. Bladmoss. 33 1878",,,,,,,wfo-0001151220,8045816,,
e0b0e96c-8fcd-11eb-924d-9cd76263cbd0,variety,atlanticum,Anisothecium,crispum,C.E.O.Jensen,0,1901,,"Bot. Faeröes 1: 161 1901",,,,,,,wfo-0001151222,,,
e0b0cd1a-8fcd-11eb-924d-9cd76263cbd0,variety,lentum,Anisothecium,crispum,"(Wilson ex Braithw.) H.Möller",0,1907,,"Bot. Not. 1907: 142 1907",,,Q4948499,,,,wfo-0001151221,7434475,,
e0b103de-8fcd-11eb-924d-9cd76263cbd0,species,cyrtodontum,Anisothecium,,"(Müll.Hal.) Broth.",0,1924,,"Nat. Pflanzenfam. (ed. 2) 10: 178 1924",,,Q14931236,,,,wfo-0001151223,2675081,,
e0b11eb4-8fcd-11eb-924d-9cd76263cbd0,species,elegans,Anisothecium,,"(Duby) Thér.",0,1935,,"Rev. Bryol. Lichénol. 7: 170 1935",,,,,,,wfo-0001151224,2675112,,
e0b13c8c-8fcd-11eb-924d-9cd76263cbd0,species,ferrugineum,Anisothecium,,"(Wilson) Mitt.",0,1882,,"Trans. & Proc. Roy. Soc. Victoria 19: 51 1882",,,,e46e24c0-8fcd-11eb-924d-9cd76263cbd0,,,wfo-0001151225,7830505,,
fa731f5a-8fcd-11eb-924d-9cd76263cbd0,species,fontanum,Anisothecium,,"(Herzog) Ochyra",0,1999,,"Fragm. Florist. Geobot. 44: 242 1999",,,,,,,wfo-0001204897,2675099,,
e0b1599c-8fcd-11eb-924d-9cd76263cbd0,species,globuligerum,Anisothecium,,"(Cardot) Broth.",0,1924,,"Nat. Pflanzenfam. (ed. 2) 10: 178 1924",,,Q14931236,,,,wfo-0001151226,2675095,,
e0b1760c-8fcd-11eb-924d-9cd76263cbd0,species,gracillimum,Anisothecium,,Müll.Hal.,0,1894,,"Trans. & Proc. New Zealand Inst. 26: 287. 30C 1894",,,Q7833731,,,,wfo-0001151227,9216379,,
e0b18fa2-8fcd-11eb-924d-9cd76263cbd0,species,grevilleanum,Anisothecium,,"(Brid.) Arnell & C.E.O.Jensen",0,1896,,"Bih. Kongl. Svenska Vetensk.-Akad. Handl. 21 Afd. 3(10): 49 1896",,,,e4a4809c-8fcd-11eb-924d-9cd76263cbd0,,,wfo-0001151228,,,
e0b1ac9e-8fcd-11eb-924d-9cd76263cbd0,species,hioramii,Anisothecium,,Thér.,0,1939,,"Mem. Soc. Cub. Hist. Nat. ""Felipe Poey"" 13: 212 1939",,,,,,,wfo-0001151229,2675097,,
e0b1c8a0-8fcd-11eb-924d-9cd76263cbd0,species,hookeri,Anisothecium,,"(Müll.Hal.) Broth.",0,1924,,"Nat. Pflanzenfam. (ed. 2) 10: 178 1924",,,Q14931236,,,,wfo-0001151230,2675085,,
e0b1e5ec-8fcd-11eb-924d-9cd76263cbd0,species,horridum,Anisothecium,,"P.de la Varde",0,1935,,"Rev. Bryol. Lichénol. 7: 229. 2 1935",,,,,,,wfo-0001151231,2675106,,
e0b20298-8fcd-11eb-924d-9cd76263cbd0,species,humile,Anisothecium,,"(R.Ruthe) Lindb.",0,1887,,"Meddeland. Soc. Fauna Fl. Fenn. 14: 74 1887",,,,,,,wfo-0001151232,2675087,,
e0b21ef4-8fcd-11eb-924d-9cd76263cbd0,species,jamesonii,Anisothecium,,Mitt.,0,1869,,"J. Linn. Soc., Bot. 12: 39 1869",,,Q5946734,,,,wfo-0001151233,8350751,,
e0b23bbe-8fcd-11eb-924d-9cd76263cbd0,species,javanicum,Anisothecium,,"(M.Fleisch.) Broth.",0,1924,,"Nat. Pflanzenfam. (ed. 2) 10: 178 1924",,,Q14931236,ed30746e-8fcd-11eb-924d-9cd76263cbd0,,,wfo-0001151234,2675116,,
e0b255a4-8fcd-11eb-924d-9cd76263cbd0,species,krausei,Anisothecium,,"(Lorentz) Herzog",0,1939,,"Beih. Bot. Centralbl., Abt. 2 60: 19 1939",,,,,,,wfo-0001151235,7719113,,
e0b27aca-8fcd-11eb-924d-9cd76263cbd0,species,laxirete,Anisothecium,,Broth.,0,1924,,"Nat. Pflanzenfam. (ed. 2) 10: 178 1924",,,Q14931236,,,,wfo-0001151236,2675102,,
e0b2973a-8fcd-11eb-924d-9cd76263cbd0,species,lorentzii,Anisothecium,,"(Müll.Hal.) Broth.",0,1924,,"Nat. Pflanzenfam. (ed. 2) 10: 178 1924",,,Q14931236,,,,wfo-0001151237,2675089,,
e0b2b0f8-8fcd-11eb-924d-9cd76263cbd0,species,macrostomum,Anisothecium,,"(Müll.Hal.) Broth.",0,1924,,"Nat. Pflanzenfam. (ed. 2) 10: 177 1924",,,Q14931236,,,,wfo-0001151238,2675118,,
e0b2cafc-8fcd-11eb-924d-9cd76263cbd0,species,madagassum,Anisothecium,,Thér.,0,1929,,"Recueil Publ. Soc. Havraise Études Diverses 1929: 101. ic 1930",,,,,,,wfo-0001151239,2675113,,
