id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
0b286bd6-9bac-11eb-a8a2-19ed5c03f8d3,genus,Anomoporia,,,Pouzar,0,1966,,"Ceská Mykol. 20: 172 (1966)",,,,0b286bd6-9bac-11eb-a8a2-19ed5c03f8d3,,,,,17080," "
183e30de-9bad-11eb-a8a2-19ed5c03f8d3,species,albolutescens,Anomoporia,,"(Romell) Pouzar",0,1966,,"Ceská Mykol. 20: 172 (1966)",,,,7f803590-9bac-11eb-a8a2-19ed5c03f8d3,,,,,326231," "
3850b4b0-9bac-11eb-a8a2-19ed5c03f8d3,species,ambigua,Anomoporia,,"A. David & Gilles",0,1987,,"Mycol. helv. 2(2): 135 (1987)",,,,3850b4b0-9bac-11eb-a8a2-19ed5c03f8d3,,,,,131296," "
1845266e-9bad-11eb-a8a2-19ed5c03f8d3,species,bombycina,Anomoporia,,"(Fr.) Pouzar",0,1966,,"Ceská Mykol. 20: 172 (1966)",,,,60c894c0-9bad-11eb-a8a2-19ed5c03f8d3,,,,,326232," "
3858b7a0-9bac-11eb-a8a2-19ed5c03f8d3,species,dumontii,Anomoporia,,"Hjortstam & Ryvarden",0,1987,,"Mycotaxon 28(2): 554 (1987)",,,,3858b7a0-9bac-11eb-a8a2-19ed5c03f8d3,,,,,131342," "
09b43f18-9bad-11eb-a8a2-19ed5c03f8d3,species,flava,Anomoporia,,Ryvarden,0,1975,,"Norw. Jl Bot. 22: 28 (1975)",,,,09b43f18-9bad-11eb-a8a2-19ed5c03f8d3,,,,,308714," "
00094342-9bac-11eb-a8a2-19ed5c03f8d3,species,flavissima,Anomoporia,,Niemelä,,1994,,"Ann. bot. fenn. 31(2): 102 (1994)",,,Q5696319,00094342-9bac-11eb-a8a2-19ed5c03f8d3,,,,,362573," "
3858eb3a-9bac-11eb-a8a2-19ed5c03f8d3,species,irpicoides,Anomoporia,,"Hjortstam & Ryvarden",0,1987,,"Mycotaxon 28(2): 554 (1987)",,,,3858eb3a-9bac-11eb-a8a2-19ed5c03f8d3,,,,,131343," "
09b4b344-9bad-11eb-a8a2-19ed5c03f8d3,species,kamtschatica,Anomoporia,,"(Parmasto) Bondartseva",0,1972,,"Novitates Systematicae Plantarum non Vascularium 9: 135 (1972)",,,,1c7f0f88-9bad-11eb-a8a2-19ed5c03f8d3,,,,,308715," "
18457d76-9bad-11eb-a8a2-19ed5c03f8d3,species,myceliosa,Anomoporia,,"(Peck) Pouzar",0,1966,,"Ceská Mykol. 20: 172 (1966)",,,,b60093f2-9bad-11eb-a8a2-19ed5c03f8d3,,,,,326233," "
2c0a043a-9bad-11eb-a8a2-19ed5c03f8d3,form,albolutescens,Anomoporia,myceliosa,"(Romell) Bondartseva",0,1972,,"Nov. sist. Niz. Rast. 9: 135 (1972)",,,,7f803590-9bac-11eb-a8a2-19ed5c03f8d3,,,,,347754," "
51fd5688-9bad-11eb-a8a2-19ed5c03f8d3,form,myceliosa,Anomoporia,myceliosa,"(Peck) Pouzar",0,1966,,"Ceská Mykol. 20: 172 (1966)",,,,51fd5688-9bad-11eb-a8a2-19ed5c03f8d3,,,,,426764," "
36429494-9bad-11eb-a8a2-19ed5c03f8d3,species,neotropica,Anomoporia,,Ryvarden,0,2007,,"Syn. Fung. (Oslo) 23: 38 (2007)",,,,36429494-9bad-11eb-a8a2-19ed5c03f8d3,,,,,505151," "
36a1f178-9bad-11eb-a8a2-19ed5c03f8d3,species,vesiculosa,Anomoporia,,"Y.C. Dai & Niemelä",,1994,,"Ann. bot. fenn. 31(2): 66 (1994)",,,Q5696319,36a1f178-9bad-11eb-a8a2-19ed5c03f8d3,,,,,362571," "
9fe01472-8fcc-11eb-924d-9cd76263cbd0,species,miquelii,Anomorhegmia,,Meisn.,0,1840,,"Pl. Vasc. Gen. : 212 (1840)",,,,,,urn:lsid:ipni.org:names:378051-1,wfo-0000538205,3820269,,
9fe0516c-8fcc-11eb-924d-9cd76263cbd0,species,deficiens,Anomosanthes,,Blume,0,1847,,"Rumphia 3: 151 (1847)",,,,0c1047ac-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:782011-1,wfo-0000538207,3784543,,
9fe06e0e-8fcc-11eb-924d-9cd76263cbd0,species,longifolia,Anomosanthes,,"(Hiern) Pierre",0,1897,,"Fl. Forest. Cochinch. : t. 327 (1897)",,,,,,urn:lsid:ipni.org:names:782012-1,wfo-0000538208,3784534,,
