id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
df890336-8fd1-11eb-924d-9cd76263cbd0,genus,Anthocleista,,,"Afzel. ex R.Br.",0,1818,,"Narr. Exped. Zaire : 449 (1818)",,,,,,urn:lsid:ipni.org:names:25028-1,wfo-4000002436,7289300,,
a010d314-8fcc-11eb-924d-9cd76263cbd0,species,amplexicaulis,Anthocleista,,Baker,0,1887,,"J. Linn. Soc., Bot. 22: 506 (1887)",,Q54800858,Q5946734,,,urn:lsid:ipni.org:names:545599-1,wfo-0000538465,4019411,,
a010f7ae-8fcc-11eb-924d-9cd76263cbd0,species,auriculata,Anthocleista,,"De Wild.",0,1910,,"Ann. Mus. Congo Belge, Bot. , sér. 5, 3: 250 (1910)",,,Q5696362,,,urn:lsid:ipni.org:names:545600-1,wfo-0000538466,4019403,,
a0111716-8fcc-11eb-924d-9cd76263cbd0,species,baertsiana,Anthocleista,,"De Wild. & T.Durand",0,1901,,"Bull. Herb. Boissier , sér. 2, 1: 829 (1901)",,,Q2378336,,,urn:lsid:ipni.org:names:545601-1,wfo-0000538467,4019397,,
a011332c-8fcc-11eb-924d-9cd76263cbd0,species,bequaertii,Anthocleista,,"De Wild.",0,1922,,"Rev. Zool. Bot. Africaines 10(Suppl. Bot.): 8 (1922)",,,,,,urn:lsid:ipni.org:names:545602-1,wfo-0000538468,,,
a01151f4-8fcc-11eb-924d-9cd76263cbd0,species,brieyi,Anthocleista,,"De Wild.",0,1920,,"Miss. de Briey Mayumbe 210 1920",,,,,,,wfo-0000538469,4019383,,
b8b980e8-8fca-11eb-924d-9cd76263cbd0,species,brieyi,Anthocleista,,"De Wild.",0,1920,,"Miss. de Briey Mayumbe 210 1920",,,,,,,wfo-0000219112,4019383,,
a0116fae-8fcc-11eb-924d-9cd76263cbd0,species,buchneri,Anthocleista,,Gilg,0,1893,,"Bot. Jahrb. Syst. 17: 582 (1893)",,,Q5732642,,,urn:lsid:ipni.org:names:545604-1,wfo-0000538470,4019375,,
a0118ce6-8fcc-11eb-924d-9cd76263cbd0,species,djalonensis,Anthocleista,,A.Chev.,0,1908,,"Mém. Soc. Bot. France 8: 47 (1908)",,Q55756922,,,,urn:lsid:ipni.org:names:545605-1,wfo-0000538471,4019367,,
a011a9d8-8fcc-11eb-924d-9cd76263cbd0,species,exelliana,Anthocleista,,Monod,0,1957,,"Bull. Inst. Fondam. Afrique Noire, Sér. A, Sci. Nat. 19: 347 (1957)",,,,,,urn:lsid:ipni.org:names:545606-1,wfo-0000538472,4019358,,
a011e38a-8fcc-11eb-924d-9cd76263cbd0,species,frezoulsii,Anthocleista,,A.Chev.,0,1908,,"Mém. Soc. Bot. France 8: 47 (1908)",,Q55756922,,,,urn:lsid:ipni.org:names:545607-1,wfo-0000538474,8288671,,
d44327ae-8fd1-11eb-924d-9cd76263cbd0,species,gabonensis,Anthocleista,,Gentil,0,1907,,"Pl. Cult. Serres Jard. Bot. Brux. 18 (1907), nomen.",,,,,,urn:lsid:ipni.org:names:545608-1,wfo-0001285837,4019340,,
a011fdc0-8fcc-11eb-924d-9cd76263cbd0,species,gigantea,Anthocleista,,Gilg,0,1913,,"Wiss. Erg. Deut. Zentr.-Afr. Exped., Bot. 2: 533 (1913)",,,,,,urn:lsid:ipni.org:names:545609-1,wfo-0000538475,4019331,,
a01217ce-8fcc-11eb-924d-9cd76263cbd0,species,gossweileri,Anthocleista,,Exell,0,1929,,"J. Bot. 67(Suppl. 2): 101 (1929)",,,,,,urn:lsid:ipni.org:names:545610-1,wfo-0000538476,4019326,,
a012c0ca-8fcc-11eb-924d-9cd76263cbd0,species,grandiflora,Anthocleista,,Gilg,0,1893,,"Bot. Jahrb. Syst. 17: 582 (1893)",,,Q5732642,,,urn:lsid:ipni.org:names:545611-1,wfo-0000538477,4019317,,
a012e690-8fcc-11eb-924d-9cd76263cbd0,species,hildebrandtii,Anthocleista,,Gilg,0,1893,,"Bot. Jahrb. Syst. 17: 583 (1893)",,,Q5732642,,,urn:lsid:ipni.org:names:545612-1,wfo-0000538478,4019306,,
a01303f0-8fcc-11eb-924d-9cd76263cbd0,species,inermis,Anthocleista,,Engl.,0,1887,,"Bot. Jahrb. Syst. 8: 63 (1886)",,,Q5732642,,,urn:lsid:ipni.org:names:545613-1,wfo-0000538479,4019297,,
a013202e-8fcc-11eb-924d-9cd76263cbd0,species,insignis,Anthocleista,,Galpin,0,1895,,"Bull. Misc. Inform. Kew 1895: 150 (1895)",,,Q5735532,,,urn:lsid:ipni.org:names:545614-1,wfo-0000538480,4019291,,
a0133dd4-8fcc-11eb-924d-9cd76263cbd0,species,insulana,Anthocleista,,S.Moore,0,1905,,"J. Linn. Soc., Bot. 37: 186 (1905)",,Q55760442,Q5946734,,,urn:lsid:ipni.org:names:545615-1,wfo-0000538481,4019284,,
a0135e90-8fcc-11eb-924d-9cd76263cbd0,species,kalbreyeri,Anthocleista,,Baker,0,1895,,"Bull. Misc. Inform. Kew 1895: 99 (1895)",,,Q5735532,,,urn:lsid:ipni.org:names:545616-1,wfo-0000538482,4019275,,
a0137c0e-8fcc-11eb-924d-9cd76263cbd0,species,kamerunensis,Anthocleista,,Gilg,0,1899,,"Bot. Jahrb. Syst. 28: 125 (1899)",,,Q5732642,,,urn:lsid:ipni.org:names:545617-1,wfo-0000538483,4019264,,
a013b8ae-8fcc-11eb-924d-9cd76263cbd0,species,keniensis,Anthocleista,,Summerh.,0,1926,,"Bull. Misc. Inform. Kew 1926: 244 (1926)",,Q54800505,Q5735532,,,urn:lsid:ipni.org:names:545618-1,wfo-0000538485,4019254,,
a013d820-8fcc-11eb-924d-9cd76263cbd0,species,kerstingii,Anthocleista,,"Gilg ex Volkens",0,1909,,"Notizbl. Bot. Gart. Berlin-Dahlem 22: 33 (1909)",,,,,,urn:lsid:ipni.org:names:545619-1,wfo-0000538486,4019245,,
a013f63e-8fcc-11eb-924d-9cd76263cbd0,species,lanceolata,Anthocleista,,Gilg,0,1899,,"Bot. Jahrb. Syst. 28: 125 (1899)",,,Q5732642,,,urn:lsid:ipni.org:names:545620-1,wfo-0000538487,4019235,,
a014138a-8fcc-11eb-924d-9cd76263cbd0,species,laurentii,Anthocleista,,"De Wild.",0,1906,,"Miss. Ém. Laurent : 262 (1906)",,,,,,urn:lsid:ipni.org:names:545621-1,wfo-0000538488,4019228,,
a01430fe-8fcc-11eb-924d-9cd76263cbd0,species,laxiflora,Anthocleista,,Baker,0,1895,,"Bull. Misc. Inform. Kew 1895: 99 (1895)",,,Q5735532,,,urn:lsid:ipni.org:names:545622-1,wfo-0000538489,4019221,,
a0144e68-8fcc-11eb-924d-9cd76263cbd0,species,liebrechtsiana,Anthocleista,,"De Wild. & T.Durand",0,1899,,"Bull. Soc. Roy. Bot. Belgique , Compt. Rend. 38: 96 (1899)",,,Q5735479,,,urn:lsid:ipni.org:names:545623-1,wfo-0000538490,4019206,,
a0146aba-8fcc-11eb-924d-9cd76263cbd0,species,longifolia,Anthocleista,,"(Lam.) Boiteau",0,1973,,"Adansonia , n.s., 13: 250 (1973)",,Q58838095,,,,urn:lsid:ipni.org:names:545624-1,wfo-0000538491,4019199,,
a01486bc-8fcc-11eb-924d-9cd76263cbd0,species,macrantha,Anthocleista,,Gilg,0,1893,,"Bot. Jahrb. Syst. 17(5): 578. 1893 [7 Nov 1893]",,,Q5732642,,,urn:lsid:ipni.org:names:545625-1,wfo-0000538492,4019193,,
a014d9be-8fcc-11eb-924d-9cd76263cbd0,species,macrocalyx,Anthocleista,,Philipson,0,1944,,"Cat. Vasc. Pl. S. Tomé : 245 (1944)",,,,,,urn:lsid:ipni.org:names:545626-1,wfo-0000538493,4019186,,
a0153878-8fcc-11eb-924d-9cd76263cbd0,species,macrophylla,Anthocleista,,G.Don,0,1837,,"Gen. Hist. 4: 68 (1837)",,,,,,urn:lsid:ipni.org:names:545627-1,wfo-0000538494,4019176,,
a0157d92-8fcc-11eb-924d-9cd76263cbd0,species,madagascariensis,Anthocleista,,Baker,0,1882,,"J. Bot. 20: 173 (1882)",,,,,,urn:lsid:ipni.org:names:545628-1,wfo-0000538496,4019169,,
