id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
a36e4496-9bad-11eb-a8a2-19ed5c03f8d3,genus,Anzina,,,Scheid.,Q5767636,1982,,"in Vezda, Lichenes Selecti Exsiccati (Pruhonice) 73: 5 (1982)",,,,a36e4496-9bad-11eb-a8a2-19ed5c03f8d3,,,,,25497," "
2cd83478-9bac-11eb-a8a2-19ed5c03f8d3,species,carneonivea,Anzina,,"(Anzi) Scheid.","Q3850235,Q5767636",1982,,"in Vezda, Lichenes Selecti Exsiccati (Pruhonice), Fascicle <b>73</b> 73: 5 (1982)",,,,438b880e-9bad-11eb-a8a2-19ed5c03f8d3,,,,,114453," "
11f6f3ec-9bac-11eb-a8a2-19ed5c03f8d3,variety,carneonivea,Anzina,carneonivea,"(Anzi) Scheid.","Q3850235,Q5767636",1982,,"in Vezda, Lichenes Selecti Exsiccati (Pruhonice), Fascicle <b>73</b> 73: 5 (1982)",,,,11f6f3ec-9bac-11eb-a8a2-19ed5c03f8d3,,,,,417594," "
2f21faf2-9bac-11eb-a8a2-19ed5c03f8d3,variety,tetraspora,Anzina,carneonivea,Scheid.,Q5767636,1985,,"Nova Hedwigia 41(1-4): 202 (1985)",,,,2f21faf2-9bac-11eb-a8a2-19ed5c03f8d3,,,,,117434," "
1eebddc4-8fcc-11eb-924d-9cd76263cbd0,species,abditus,Anzybas,,"(D.L.Jones) D.L.Jones & M.A.Clem.","Q1175070,Q2272220",2002,,"Orchadian 13: 443 2002",,,,7826611a-8fcd-11eb-924d-9cd76263cbd0,,20004372-1,wfo-0000340324,2790268,,
1eebfc46-8fcc-11eb-924d-9cd76263cbd0,species,carsei,Anzybas,,"(Cheeseman) D.L.Jones & M.A.Clem.","Q1361590,Q1175070,Q2272220",2002,,"Orchadian 13: 443 2002",,,,,,20004373-1,wfo-0000340325,2790089,,
1eec1960-8fcc-11eb-924d-9cd76263cbd0,species,fordhamii,Anzybas,,"(Rupp) D.L.Jones & M.A.Clem.","Q3281684,Q1175070,Q2272220",2002,,"Orchadian 13: 443 2002",,,,78880cda-8fcd-11eb-924d-9cd76263cbd0,,20004374-1,wfo-0000340326,2790112,,
1eec3684-8fcc-11eb-924d-9cd76263cbd0,species,montanus,Anzybas,,"(D.L.Jones) D.L.Jones & M.A.Clem.","Q1175070,Q2272220",2002,,"Orchadian 13: 443 2002",,,,,,20004375-1,wfo-0000340327,2790306,,
1eec50f6-8fcc-11eb-924d-9cd76263cbd0,species,rotundifolius,Anzybas,,"(Hook.f.) D.L.Jones & M.A.Clem.","Q157501,Q1175070,Q2272220",2002,,"Orchadian 13: 443 2002",,,,,,20004376-1,wfo-0000340328,2790139,,
1eec6c6c-8fcc-11eb-924d-9cd76263cbd0,species,unguiculatus,Anzybas,,"(R.Br.) D.L.Jones & M.A.Clem.","Q155764,Q1175070,Q2272220",2002,,"Orchadian 13: 443 2002",,,,,,20004377-1,wfo-0000340329,2790035,,
