id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
df957f8a-8fd1-11eb-924d-9cd76263cbd0,genus,Apera,,,Adans.,0,1763,,"Fam. Pl. 2: 495 (1763)",,,,,,urn:lsid:ipni.org:names:30436995-2,wfo-4000002595,2702880,,
4970cb1c-8fcd-11eb-924d-9cd76263cbd0,species,arundinacea,Apera,,Hook.f.,0,1853,,"Fl. Nov.-Zel. 1: 295 (1853)",,,,,,urn:lsid:ipni.org:names:389064-1,wfo-0000848258,5676908,,
4970e778-8fcd-11eb-924d-9cd76263cbd0,species,aspera,Apera,,P.Beauv.,0,1812,,"Ess. Agrostogr. : 151 (1812)",,,,,,urn:lsid:ipni.org:names:389065-1,wfo-0000848259,5676907,,
4971035c-8fcd-11eb-924d-9cd76263cbd0,species,baytopiana,Apera,,Doğan,0,1982,,"Notes Roy. Bot. Gard. Edinburgh 40: 79 (1982)",,,,,,urn:lsid:ipni.org:names:899181-1,wfo-0000848260,5676906,,
49711eaa-8fcd-11eb-924d-9cd76263cbd0,species,crinita,Apera,,P.Beauv.,0,1812,,"Ess. Agrostogr. : 31 (1812)",,,,,,urn:lsid:ipni.org:names:389066-1,wfo-0000848261,5676905,,
49713a20-8fcd-11eb-924d-9cd76263cbd0,species,effusa,Apera,,Gray,0,1821,,"Nat. Arr. Brit. Pl. 2: 148 (1821 publ. 1822)",,,,,,urn:lsid:ipni.org:names:389067-1,wfo-0000848262,5676904,,
49715604-8fcd-11eb-924d-9cd76263cbd0,species,intermedia,Apera,,Hack.,0,1905,,"Ann. K. K. Naturhist. Hofmus. 20: 430 (1905)",,,,,,urn:lsid:ipni.org:names:389069-1,wfo-0000848263,5676903,,
49718f2a-8fcd-11eb-924d-9cd76263cbd0,species,interrupta,Apera,,"(L.) P.Beauv.",0,1812,,"Ess. Agrostogr. : 31 (1812)",,,,,,urn:lsid:ipni.org:names:389070-1,wfo-0000848265,5289643,,
4971aa50-8fcd-11eb-924d-9cd76263cbd0,species,liebmannii,Apera,,P.Fourn.,0,1886,,"Mexic. Pl. 2: 97 (1886)",,,,,,urn:lsid:ipni.org:names:389072-1,wfo-0000848266,5676901,,
4971c602-8fcd-11eb-924d-9cd76263cbd0,species,longiseta,Apera,,Klokov,0,1950,,"Bot. Mater. Gerb. Bot. Inst. Komarova Akad. Nauk S.S.S.R. 12: 51 (1950)",,,Q5732625,,,urn:lsid:ipni.org:names:389073-1,wfo-0000848267,5676900,,
