id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
dfa5c4ee-8fd1-11eb-924d-9cd76263cbd0,genus,Aptandra,,,Miers,,1851,,"Ann. Mag. Nat. Hist., ser. 2 7: 201. 1851. (Mar 1851)",,,,,,28136-1,wfo-4000002777,7326472,,
a18c2a5e-8fcc-11eb-924d-9cd76263cbd0,species,benthamiana,Aptandra,,Miers,,1859,,"Ann. Mag. Nat. Hist. III, 4: 360 1859",,Q56101534,,,,607623-1,wfo-0000540962,3685814,,
a18c4548-8fcc-11eb-924d-9cd76263cbd0,species,caudata,Aptandra,,"A.H.Gentry & Ortiz",,1992,,"Novon 2: 153 1992",,Q55773947,,,,306072-2,wfo-0000540963,3685799,,
a18c5fd8-8fcc-11eb-924d-9cd76263cbd0,species,gora,Aptandra,,Hua,,1895,,"Bull. Mus. Hist. Nat. (Paris) 1: 315 1895",,,,,,607624-1,wfo-0000540964,3685791,,
a18c96ba-8fcc-11eb-924d-9cd76263cbd0,species,liriosmoides,Aptandra,,"Spruce ex Miers",,1859,,"Ann. Mag. Nat. Hist. III, 4: 360 1859",,Q56101534,,,,607625-1,wfo-0000540966,3685783,,
a18cbd2a-8fcc-11eb-924d-9cd76263cbd0,species,spruceana,Aptandra,,Miers,,1851,,"Ann. Mag. Nat. Hist. II, 8: 202 1851",,Q56147801,,,,607626-1,wfo-0000540967,3685776,,
a18d13e2-8fcc-11eb-924d-9cd76263cbd0,species,tubicina,Aptandra,,"(Poepp.) Benth. ex Miers",,1859,,"Ann. Mag. Nat. Hist. III, 4: 360 1859",,Q56101534,,0aa593d6-8fcd-11eb-924d-9cd76263cbd0,,607627-1,wfo-0000540968,3685770,,
a18d31b0-8fcc-11eb-924d-9cd76263cbd0,species,zenkeri,Aptandra,,Engl.,,1897,,"Nat. Pflanzenfam. Nachtr. 1: 147 1897",,,,,,,wfo-0000540969,3685759,,
a18d50aa-8fcc-11eb-924d-9cd76263cbd0,species,amphoricarpa,Aptandropsis,,Ducke,,1945,,"Bol. Técn. Inst. Agron. N. 4: 6 1945",,,,,,16753-2,wfo-0000540970,3685733,,
a18d8a8e-8fcc-11eb-924d-9cd76263cbd0,species,discophora,Aptandropsis,,Ducke,,1945,,"Bol. Técn. Inst. Agron. N. 4: 7 1945",,,,,,16754-2,wfo-0000540971,3685720,,
a18dd5ca-8fcc-11eb-924d-9cd76263cbd0,species,cordifolia,Aptenia,,"(L.f.) Schwantes",,1928,,"Gartenflora 77: 69 1928",,,,,,1177114-2,wfo-0000540972,5384309,,
a18e08ec-8fcc-11eb-924d-9cd76263cbd0,species,geniculiflora,Aptenia,,"(L.) Bittrich ex Gerbaulet",,2002,,"Illustr. Handb. Succ. Pl.: Aizoaceae A-E 67 2002 publ. 2001",,,,,,20004143-1,wfo-0000540973,5554710,,
a18e49f6-8fcc-11eb-924d-9cd76263cbd0,species,haeckeliana,Aptenia,,"(A.Berger) Bittrich ex Gerbaulet",,2002,,"Illustr. Handb. Succ. Pl.: Aizoaceae A-E 68 2002 publ. 2001",,,,,,20004144-1,wfo-0000540975,5554709,,
a18e65b2-8fcc-11eb-924d-9cd76263cbd0,species,lancifolia,Aptenia,,L.Bolus,,1959,,"J. S. African Bot. 25: 371 1959",,,,,,57146-1,wfo-0000540976,5554708,,
a18e8038-8fcc-11eb-924d-9cd76263cbd0,species,oligomeroides,Apterantha,,C.H.Wright,,1918,,"Bull. Misc. Inform. Kew 1918: 203 1918",,Q55786174,,,,59748-1,wfo-0000540977,3674881,,
