id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
dfac9efe-8fd1-11eb-924d-9cd76263cbd0,genus,Araujia,,,Brot.,0,1817,,"Trans. Linn. Soc. London 12: 62 (1818)",,Q55758770,,,,urn:lsid:ipni.org:names:3207-1,wfo-4000002862,3170441,,
a2c26c30-8fcc-11eb-924d-9cd76263cbd0,species,albens,Araujia,,"(Mart.) G.Don",0,1837,,"Gen. Hist. 4: 149 (1837)",,,,41516910-8fcc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:1012230-2,wfo-0000543078,3580125,,
a2c28904-8fcc-11eb-924d-9cd76263cbd0,species,angustifolia,Araujia,,"(Hook. & Arn.) Steud.",0,1840,,"Nomencl. Bot. , ed. 2, 1: 119 (1840)",,,,,,urn:lsid:ipni.org:names:94045-1,wfo-0000543079,3580118,,
1ab01b16-8fcd-11eb-924d-9cd76263cbd0,species,brachystephana,Araujia,,"(Griseb.) Fontella & Goyder",0,2011,,"Phytotaxa 26: 11 (2011)",,Q22806800,Q4807825,,,urn:lsid:ipni.org:names:77114651-1,wfo-0000748474,7713545,,
a2c2a51a-8fcc-11eb-924d-9cd76263cbd0,species,calycina,Araujia,,Decne.,0,1844,,"Prodr. 8: 534 (1844)",,,Q2712448,,,urn:lsid:ipni.org:names:94046-1,wfo-0000543080,3580105,,
a2c2c3c4-8fcc-11eb-924d-9cd76263cbd0,species,fusca,Araujia,,"Griseb. ex Lorentz",0,1879,,"Abh. Königl. Ges. Wiss. Göttingen 24: 232 (1879)",,,,,,urn:lsid:ipni.org:names:94047-1,wfo-0000543081,3579989,,
15dc5ab4-8fcd-11eb-924d-9cd76263cbd0,variety,pallidiflora,Araujia,fusca,Griseb.,0,1879,,"Abh. Königl. Ges. Wiss. Göttingen 24: 233 1879",,,,,,,wfo-0000738207,8226033,,
a2c2e106-8fcc-11eb-924d-9cd76263cbd0,species,grandiflora,Araujia,,"(Mart.) Mottet",0,1893,,"Dict. Prat. Hort. 1: 209 (1892-1893)",,,,,,urn:lsid:ipni.org:names:17536-2,wfo-0000543082,,,
a2c301d6-8fcc-11eb-924d-9cd76263cbd0,species,graveolens,Araujia,,"(Lindl.) Mast.",0,1888,,"Gard. Chron. , ser. 3, 4: 271 (1888)",,,,,,urn:lsid:ipni.org:names:17537-2,wfo-0000543083,3579952,,
1aa73d98-8fcd-11eb-924d-9cd76263cbd0,species,hassleriana,Araujia,,"(Malme) Fontella & Goyder",0,2011,,"Phytotaxa 26: 11 (2011)",,Q22806800,Q4807825,,,urn:lsid:ipni.org:names:77114652-1,wfo-0000748406,8199175,,
