id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
a19d1976-9bad-11eb-a8a2-19ed5c03f8d3,genus,Arthoniopsis,,,"Müll. Arg.",,1890,,"Lich. Epiph. Novi 17 (1890)",,,,a19d1976-9bad-11eb-a8a2-19ed5c03f8d3,,,,,324," "
81966de4-9bad-11eb-a8a2-19ed5c03f8d3,species,accolens,Arthoniopsis,,"(Stirt.) Müll. Arg.",Q4442403,1890,,"Lich. Epiph. Novi (1890)",,,,8139a938-9bad-11eb-a8a2-19ed5c03f8d3,,,,,376939," "
3f960346-9bad-11eb-a8a2-19ed5c03f8d3,species,aciniformis,Arthoniopsis,,"(Stirt.) Müll. Arg.",Q4442403,,,,,,,813a7d5e-9bad-11eb-a8a2-19ed5c03f8d3,,,,,376940," "
3f962ba0-9bad-11eb-a8a2-19ed5c03f8d3,species,bambusicola,Arthoniopsis,,"(Vain.) Zahlbr.","Q4351122,Q2833235",1922,,"Cat. Lich. Univers. 2: 139 (1922)",,,,8143dfc0-9bad-11eb-a8a2-19ed5c03f8d3,,,,,376941," "
380e5e98-9bad-11eb-a8a2-19ed5c03f8d3,species,belizensis,Arthoniopsis,,"J. Hedrick",,1939,,"Pap. Mich. Acad. Sci. 24: 10 (1939)",,,,380e5e98-9bad-11eb-a8a2-19ed5c03f8d3,,,,,364256," "
38271258-9bad-11eb-a8a2-19ed5c03f8d3,species,calamicola,Arthoniopsis,,"(Syd. & P. Syd.) Szatala",,1956,,"Annls hist.-nat. Mus. natn. hung. 7: 26 (1956)",,,,5615c846-9bac-11eb-a8a2-19ed5c03f8d3,,,,,364257," "
3f965904-9bad-11eb-a8a2-19ed5c03f8d3,species,commutata,Arthoniopsis,,"(Stirt.) Müll. Arg.",Q4442403,,,,,,,3f3ce91e-9bad-11eb-a8a2-19ed5c03f8d3,,,,,376942," "
3f968500-9bad-11eb-a8a2-19ed5c03f8d3,species,corallifera,Arthoniopsis,,"(Vain.) Zahlbr.","Q4351122,Q2833235",1922,,"Cat. Lich. Univers. 2: 139 (1922)",,,,3f3f3df4-9bad-11eb-a8a2-19ed5c03f8d3,,,,,376943," "
3f96bb74-9bad-11eb-a8a2-19ed5c03f8d3,species,cyanea,Arthoniopsis,,"(Müll. Arg.) Müll. Arg.",,,,,,,,814efb3a-9bad-11eb-a8a2-19ed5c03f8d3,,,,,376944," "
3f96fa6c-9bad-11eb-a8a2-19ed5c03f8d3,species,falcata,Arthoniopsis,,"(Vain.) Zahlbr.","Q4351122,Q2833235",1922,,"Cat. Lich. Univers. 2: 140 (1922)",,,,8154d780-9bad-11eb-a8a2-19ed5c03f8d3,,,,,376945," "
0f7c0fd4-9bad-11eb-a8a2-19ed5c03f8d3,species,leptosperma,Arthoniopsis,,"Müll. Arg.",,1890,,"Lichenes Epiphylli Novi 17 (1890)",,,,0f7c0fd4-9bad-11eb-a8a2-19ed5c03f8d3,,,,,376946," "
3f974fb2-9bad-11eb-a8a2-19ed5c03f8d3,species,lividofusca,Arthoniopsis,,"(Müll. Arg.) Zahlbr.",Q2833235,1922,,"Cat. Lich. Univers. 2: 140 (1922)",,,,8162174c-9bad-11eb-a8a2-19ed5c03f8d3,,,,,376947," "
3f979cce-9bad-11eb-a8a2-19ed5c03f8d3,species,lividorufa,Arthoniopsis,,"(Vain.) Zahlbr.","Q4351122,Q2833235",1922,,"Cat. Lich. Univers. 2: 140 (1922)",,,,81624730-9bad-11eb-a8a2-19ed5c03f8d3,,,,,376948," "
8196a20a-9bad-11eb-a8a2-19ed5c03f8d3,species,lividula,Arthoniopsis,,"(Vain.) Zahlbr.","Q4351122,Q2833235",1922,,"Cat. Lich. Univers. 2: 140 (1922)",,,,8162e0f0-9bad-11eb-a8a2-19ed5c03f8d3,,,,,376949," "
8196dc52-9bad-11eb-a8a2-19ed5c03f8d3,species,macrosperma,Arthoniopsis,,Zahlbr.,Q2833235,1928,,"Annals Cryptog. Exot. 1: 120 (1928)",,,,8196dc52-9bad-11eb-a8a2-19ed5c03f8d3,,,,,376950," "
