id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
dfcd0be4-8fd1-11eb-924d-9cd76263cbd0,genus,Asarum,,,L.,,1753,,"Sp. Pl. 1: 442. 1753. (1 May 1753)",,,,,,3127-1,wfo-4000003221,2873945,,
a769bd42-8fcc-11eb-924d-9cd76263cbd0,species,acuminatum,Asarum,,"(Ashe) E.P.Bicknell",,1897,,"Ill. Fl. N. U.S. 3: 513 1897",,,,a76cdafe-8fcc-11eb-924d-9cd76263cbd0,,21100-2,wfo-0000550757,2873950,,
a769f5b4-8fcc-11eb-924d-9cd76263cbd0,species,albivenium,Asarum,,Regel,,1864,,"Gartenflora 13: 295 1864",,,,,,93455-1,wfo-0000550759,3589207,,
a76a1292-8fcc-11eb-924d-9cd76263cbd0,species,albomaculatum,Asarum,,Hayata,,1915,,"Icon. Pl. Formosan. 5: 139 1915",,,,,,93456-1,wfo-0000550760,3589198,,
a76a352e-8fcc-11eb-924d-9cd76263cbd0,species,amagiense,Asarum,,Makino,,1932,,"J. Jap. Bot. 8: 29 1932",,,,,,93457-1,wfo-0000550761,3589189,,
a76a4ffa-8fcc-11eb-924d-9cd76263cbd0,species,ambiguum,Asarum,,"(E.P.Bicknell) Daniels",,1907,,"Univ. Missouri Studies, Sci. Ser. 1(2): 128 1907",,,,a783561c-8fcc-11eb-924d-9cd76263cbd0,,93458-1,wfo-0000550762,3589163,,
a76a6a62-8fcc-11eb-924d-9cd76263cbd0,species,arifolium,Asarum,,Michx.,,1803,,"Fl. Bor.-Amer. 1: 279 1803",,,,,,93459-1,wfo-0000550763,6418196,,
a76a84ac-8fcc-11eb-924d-9cd76263cbd0,variety,callifolium,Asarum,arifolium,"(Small) Barringer",,1993,,"Novon 3: 226 1993",,Q55773610,,a76c5fca-8fcc-11eb-924d-9cd76263cbd0,,973256-1,wfo-0000550764,3589140,,
a76a9ec4-8fcc-11eb-924d-9cd76263cbd0,variety,ruthii,Asarum,arifolium,"(Ashe) Barringer",,1993,,"Novon 3: 226 1993",,Q55773610,,a7849590-8fcc-11eb-924d-9cd76263cbd0,,973255-1,wfo-0000550765,3589123,,
a76abbde-8fcc-11eb-924d-9cd76263cbd0,species,arrhizoma,Asarum,,"H.Lév. & Vaniot",,1908,,"Repert. Spec. Nov. Regni Veg. 5: 101 1908",,Q55751079,,,,93460-1,wfo-0000550766,3589116,,
a76ad8bc-8fcc-11eb-924d-9cd76263cbd0,species,asaroides,Asarum,,"(C.Morren & Decne.) Makino",,1910,,"Bot. Mag. (Tokyo) 24: 297 1910",,,,0d3065fe-8fcd-11eb-924d-9cd76263cbd0,,93461-1,wfo-0000550767,3589110,,
a76af8c4-8fcc-11eb-924d-9cd76263cbd0,species,asperum,Asarum,,F.Maek.,,1932,,"Bot. Mag. (Tokyo) 46: 573 1932",,Q55762682,,,,93462-1,wfo-0000550768,8569283,,
8d2892fa-8fcc-11eb-924d-9cd76263cbd0,variety,geaster,Asarum,asperum,"(F.Maek. ex Akasawa) T.Sugaw.",,2006,,"in Fl. Japan 2a: 375 2006",,,,0d311332-8fcd-11eb-924d-9cd76263cbd0,,77075249-1,wfo-0000506411,3589094,,
a76b7240-8fcc-11eb-924d-9cd76263cbd0,species,balansae,Asarum,,Franch.,,1898,,"J. Bot. (Morot) 12: 303 1898",,,,,,93463-1,wfo-0000550770,3589084,,
a76ba0da-8fcc-11eb-924d-9cd76263cbd0,species,bashanense,Asarum,,Z.L.Yang,,1985,,"Acta Bot. Boreal.-Occid. Sin. 5: 50 1985",,,,,,929153-1,wfo-0000550771,3589077,,
a76bc8bc-8fcc-11eb-924d-9cd76263cbd0,species,blumei,Asarum,,Duch.,,1864,,"Prodr. 15(1): 427 1864",,,,,,93464-1,wfo-0000550772,3589072,,
a76be6ee-8fcc-11eb-924d-9cd76263cbd0,variety,albidonebulosum,Asarum,blumei,Makino,,1914,,"Bot. Mag. (Tokyo) 28: 338 1914",,Q55762517,,,,60457662-2,wfo-0000550773,7588284,,
a76c0674-8fcc-11eb-924d-9cd76263cbd0,variety,albivenium,Asarum,blumei,Makino,,1914,,"Bot. Mag. (Tokyo) 28: 338 1914",,Q55762517,,,,60457661-2,wfo-0000550774,7912479,,
a76c2618-8fcc-11eb-924d-9cd76263cbd0,variety,viride,Asarum,blumei,Makino,,1914,,"Bot. Mag. (Tokyo) 28: 338 1914",,Q55762517,,,,60457660-2,wfo-0000550775,7411712,,
a76c429c-8fcc-11eb-924d-9cd76263cbd0,species,brevistylum,Asarum,,Franch.,,1898,,"J. Bot. (Morot) 12: 301 1898",,,,,,93465-1,wfo-0000550776,3589065,,
a76c5fca-8fcc-11eb-924d-9cd76263cbd0,species,callifolium,Asarum,,Small,,1897,,"Bull. Torrey Bot. Club 24: 334 1897",,Q55766470,,,,308874-2,wfo-0000550777,3589046,,
a76c823e-8fcc-11eb-924d-9cd76263cbd0,species,campaniflorum,Asarum,,"Yong Wang & Q.F.Wang",,2004,,"Novon 14: 239 2004",,,,,,60434151-2,wfo-0000550778,3589039,,
a76ca124-8fcc-11eb-924d-9cd76263cbd0,species,canadense,Asarum,,L.,,1753,,"Sp. Pl. 422 1753",,,,,,,wfo-0000550779,2873947,,
a76cdafe-8fcc-11eb-924d-9cd76263cbd0,variety,acuminatum,Asarum,canadense,Ashe,,1897,,"Bot. Contr. My Herb. 1: 2 1897",,,,,,21105-2,wfo-0000550781,2873953,,
a76cf930-8fcc-11eb-924d-9cd76263cbd0,variety,ambiguum,Asarum,canadense,"(E.P.Bicknell) Farw.",,1918,,"Rep. (Annual) Michigan Acad. Sci. 20: 173 1918",,,,a783561c-8fcc-11eb-924d-9cd76263cbd0,,21106-2,wfo-0000550782,2873949,,
a76d165e-8fcc-11eb-924d-9cd76263cbd0,variety,obtusum,Asarum,canadense,Muhl.,,1813,,"Cat. Pl. Amer. Sept. 46 1813",,,,,,320882-2,wfo-0000550783,3589013,,
a76d3062-8fcc-11eb-924d-9cd76263cbd0,form,phelpsiae,Asarum,canadense,Fernald,,1938,,"Rhodora 40: 333 1938",,Q100408660,,,,21107-2,wfo-0000550784,3589007,,
a76d4b6a-8fcc-11eb-924d-9cd76263cbd0,form,prattii,Asarum,canadense,Fassett,,1943,,"Torreya 42: 180 1943",,,,,,301959-2,wfo-0000550785,3589000,,
a76d6816-8fcc-11eb-924d-9cd76263cbd0,variety,reflexum,Asarum,canadense,"(E.P.Bicknell) B.L.Rob.",,1908,,"Rhodora 10: 32 1908",,Q100403751,,a7833902-8fcc-11eb-924d-9cd76263cbd0,,21108-2,wfo-0000550786,2873952,,
a76d86f2-8fcc-11eb-924d-9cd76263cbd0,species,cardiophyllum,Asarum,,Franch.,,1895,,"Bull. Mus. Hist. Nat. (Paris) 1: 65 1895",,,,,,93468-1,wfo-0000550787,3588988,,
a76da89e-8fcc-11eb-924d-9cd76263cbd0,species,carolinianum,Asarum,,Walter,,1788,,"Fl. Carol. 143 1788",,,,,,93469-1,wfo-0000550788,3588981,,
a76de2d2-8fcc-11eb-924d-9cd76263cbd0,species,caucasicum,Asarum,,"(Duch.) N.Busch",,1909,,"V?stn. Tiflissk. Bot. Sada 11: 58 1909",,,,a773493e-8fcc-11eb-924d-9cd76263cbd0,,93470-1,wfo-0000550789,,,
a76e1234-8fcc-11eb-924d-9cd76263cbd0,species,caudatum,Asarum,,Lindl.,,,,"Edwards's Bot. Reg. 17: t. 1399 1831",,,,,,93471-1,wfo-0000550790,2873956,,
a76e61b2-8fcc-11eb-924d-9cd76263cbd0,form,chloroleucum,Asarum,caudatum,R.Palmer,,1928,,"Proc. Biol. Soc. Wash. 41: 193 1928",,,,,,21109-2,wfo-0000550792,3588955,,
a76e81b0-8fcc-11eb-924d-9cd76263cbd0,variety,viridiflorum,Asarum,caudatum,M.Peck,,1934,,"Proc. Biol. Soc. Wash. 47: 185 1934",,,,,,21110-2,wfo-0000550793,3588945,,
a76e9ea2-8fcc-11eb-924d-9cd76263cbd0,species,caudigerellum,Asarum,,"C.Y.Chen & C.S.Yang",,1983,,"J. Arnold Arbor. 64: 571 1983",,Q100553809,,,,901504-1,wfo-0000550794,3588937,,
a76ebb9e-8fcc-11eb-924d-9cd76263cbd0,species,caudigerum,Asarum,,Hance,,1881,,"J. Bot. 19: 142 1881",,,,,,93472-1,wfo-0000550795,7313620,,
a76ede30-8fcc-11eb-924d-9cd76263cbd0,variety,cardiophyllum,Asarum,caudigerum,"(Franch.) C.Y.Chen & C.S.Yang",,1983,,"J. Arnold Arbor. 64: 568 1983",,Q100553809,,a76d86f2-8fcc-11eb-924d-9cd76263cbd0,,921773-1,wfo-0000550796,3588920,,
a76efa82-8fcc-11eb-924d-9cd76263cbd0,variety,leptophyllum,Asarum,caudigerum,"(Hayata) S.S.Ying",,1990,,"Mem. Coll. Agric. Natl. Taiwan Univ. 30(2): 64 1990",,,,a77bb092-8fcc-11eb-924d-9cd76263cbd0,,991873-1,wfo-0000550797,3588914,,
