id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
dfe24270-8fd1-11eb-924d-9cd76263cbd0,genus,Astrotricha,,,DC.,,"Coll. Mém. 5: 29. 1829.",,,,,2970-1,wfo-4000003500,3035986,
02b5d42a-8fcc-11eb-924d-9cd76263cbd0,species,asperifolia,Astrotricha,,"F.Muell. ex Klatt",,"Linnaea 29: 709 1859",,,,,89901-1,wfo-0000294277,3036011,
02b6b214-8fcc-11eb-924d-9cd76263cbd0,species,biddulphiana,Astrotricha,,F.Muell.,,"Victorian Naturalist 7: 115 1890",,,,,,wfo-0000294281,3036008,
02b84994-8fcc-11eb-924d-9cd76263cbd0,species,brachyandra,Astrotricha,,A.R.Bean,,"Austrobaileya 5: 65 1997",,,,,999020-1,wfo-0000294291,3035995,
02ba8510-8fcc-11eb-924d-9cd76263cbd0,species,cordata,Astrotricha,,A.R.Bean,,"Austrobaileya 3: 523 1991",,,,,960101-1,wfo-0000294302,3036014,
02bcb7d6-8fcc-11eb-924d-9cd76263cbd0,species,crassifolia,Astrotricha,,Blakely,,"Proc. Linn. Soc. New South Wales 50: 385 1925",,,,,89903-1,wfo-0000294313,3035996,
02bec4ea-8fcc-11eb-924d-9cd76263cbd0,species,cuspidata,Astrotricha,,Vesque,,"Epharmosis 3: 16 1892",,,,,89904-1,wfo-0000294323,3597743,
02c040b8-8fcc-11eb-924d-9cd76263cbd0,species,floccosa,Astrotricha,,DC.,,"Coll. Mém. 5: 30 1829",,,,,89905-1,wfo-0000294334,3035999,
2efe0d80-8fcd-11eb-924d-9cd76263cbd0,variety,angustifolia,Astrotricha,floccosa,Benth.,,"Fl. Austral. 3: 380 1867",,,,,,wfo-0000791510,3036001,
2efe2bf8-8fcd-11eb-924d-9cd76263cbd0,variety,brevifolia,Astrotricha,floccosa,F.Muell.,,"Fragm. 7: 148 1869",,,,,,wfo-0000791511,3036000,
02c20bb4-8fcc-11eb-924d-9cd76263cbd0,variety,incana,Astrotricha,floccosa,Benth.,,"Fl. Austral. 3: 380 1867",,,,,,wfo-0000294345,3035993,
2efe649c-8fcd-11eb-924d-9cd76263cbd0,variety,subpeltata,Astrotricha,floccosa,Benth.,,"Fl. Austral. 3: 380 1867",,,,,,wfo-0000791513,3036002,
02c3f58c-8fcc-11eb-924d-9cd76263cbd0,species,glabra,Astrotricha,,Domin,,"Biblioth. Bot. 89: 486 1928",,,,,89906-1,wfo-0000294357,3036005,
