id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e012d192-8fd1-11eb-924d-9cd76263cbd0,genus,Barbosella,,,Schltr.,,"Repert. Spec. Nov. Regni Veg. 15(427/433): 259–260. 1918. (31 Oct 1918)",,,,,298123-2,wfo-4000004066,2785148,
10e7768e-8fcc-11eb-924d-9cd76263cbd0,species,anaristella,Barbosella,,"(Kraenzl.) Garay",,"Orquideologia 9: 114 1974",,,,,29470-2,wfo-0000316756,2785187,
10ea7a8c-8fcc-11eb-924d-9cd76263cbd0,species,australis,Barbosella,,"(Cogn.) Schltr.",,"Repert. Spec. Nov. Regni Veg. 15: 260 1918",,,,,29471-2,wfo-0000316767,2785162,
10ef86da-8fcc-11eb-924d-9cd76263cbd0,variety,latipetala,Barbosella,australis,Hoehne,,"Arq. Bot. Estado São Paulo n.s., f.m., 2(4): 74 1947",,,,,29473-2,wfo-0000316784,2785166,
10f2428a-8fcc-11eb-924d-9cd76263cbd0,variety,loefgrenii,Barbosella,australis,"(Cogn.) Hoehne",,"Arq. Bot. Estado São Paulo n.s., f.m., 2(4): 74 1947",,,,,29474-2,wfo-0000316791,2785168,
10f3b6c4-8fcc-11eb-924d-9cd76263cbd0,species,bradeorum,Barbosella,,Schltr.,,"Repert. Spec. Nov. Regni Veg. Beih. 19: 111 1923",,,,,29475-2,wfo-0000316799,2785185,
10f4c848-8fcc-11eb-924d-9cd76263cbd0,species,brenesii,Barbosella,,Schltr.,,"Repert. Spec. Nov. Regni Veg. Beih. 19: 201 1923",,,,,273070-2,wfo-0000316808,2785202,
10f66d60-8fcc-11eb-924d-9cd76263cbd0,species,caespitifica,Barbosella,,"(F.Lehm. & Kraenzl.) Garay",,"Orquideologia 9: 114 1974",,,,,29477-2,wfo-0000316817,2785207,
10f849f0-8fcc-11eb-924d-9cd76263cbd0,species,circinata,Barbosella,,Luer,,"Selbyana 3: 204 1977",,,,,29478-2,wfo-0000316828,2785181,
10f9b376-8fcc-11eb-924d-9cd76263cbd0,species,cogniauxiana,Barbosella,,"(Speg. & Kraenzl.) Schltr.",,"Repert. Spec. Nov. Regni Veg. 15: 260 1918",,,,,29479-2,wfo-0000316838,2785154,
10fb9ad8-8fcc-11eb-924d-9cd76263cbd0,species,crassifolia,Barbosella,,"(Edwall) Schltr.",,"Repert. Spec. Nov. Regni Veg. 15: 261 1918",,,,,29480-2,wfo-0000316848,2785191,
10fd56f2-8fcc-11eb-924d-9cd76263cbd0,variety,aristata,Barbosella,crassifolia,Hoehne,,"Arq. Bot. Estado São Paulo n.s., f.m., 2(4): 75 1947",,,,,29481-2,wfo-0000316859,2785192,
2f13916e-8fcd-11eb-924d-9cd76263cbd0,variety,hamburgensis,Barbosella,crassifolia,"(Kraenzl.) Garay",,"Arch. Jard. Bot. Rio de Janeiro 12: 178 1953",,,,,29483-2,wfo-0000791682,2785197,
11005582-8fcc-11eb-924d-9cd76263cbd0,variety,minor,Barbosella,crassifolia,Hoehne,,"Arq. Bot. Estado São Paulo n.s., f.m., 2(4): 75 1947",,,,,,wfo-0000316878,2785196,
