id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e026dc82-8fd1-11eb-924d-9cd76263cbd0,genus,Bellardiochloa,,,Chiov.,Q2348823,1929,,"Stud. Veg. Piemonte 60. 1929.",,,,,,17592-1,wfo-4000004348,6432289,,
4bdc2ee6-8fcd-11eb-924d-9cd76263cbd0,species,argaea,Bellardiochloa,,"(Boiss. & Bal.) R.R.Mill","Q34430,Q6109522",1985,,"Fl. Turkey 9: 444 1985",,,,5361953e-8fcd-11eb-924d-9cd76263cbd0,,914887-1,wfo-0000853664,4138727,,
4bdc6bea-8fcd-11eb-924d-9cd76263cbd0,species,carica,Bellardiochloa,,R.R.Mill,Q6109522,1985,,"Fl. Turkey 9: 623 1985",,,,,,905728-1,wfo-0000853666,4138719,,
4bdc8742-8fcd-11eb-924d-9cd76263cbd0,species,polychroa,Bellardiochloa,,"(Trautv.) Roshev.","Q62846,Q4120909",1934,,"Fl. URSS 2: 426 1934",,,,5433c5ea-8fcd-11eb-924d-9cd76263cbd0,,392638-1,wfo-0000853667,4138709,,
4bdca588-8fcd-11eb-924d-9cd76263cbd0,species,variegata,Bellardiochloa,,"(Lam.) Kerguélen","Q82122,Q2601202",1983,,"Lejeunia 110: 56 1983",,,,,,912143-1,wfo-0000853668,4138686,,
6bfde07a-8fcd-11eb-924d-9cd76263cbd0,subspecies,aetnensis,Bellardiochloa,variegata,"(C.Presl) Giardina & Raimondo","Q379601,Q3768931,Q3750237",2007,,"Bocconea 20: 9 2007",,,,,,77087749-1,wfo-0000908520,4138691,,
6bf6d5d2-8fcd-11eb-924d-9cd76263cbd0,subspecies,nebrodensis,Bellardiochloa,variegata,"(Jan) Giardina & Raimondo","Q78965,Q3768931,Q3750237",2007,,"Bocconea 20: 9 2007",,,,53f769ec-8fcd-11eb-924d-9cd76263cbd0,,77087750-1,wfo-0000908476,4138685,,
4bdcc32e-8fcd-11eb-924d-9cd76263cbd0,species,violacea,Bellardiochloa,,"(Bellardi) Chiov.","Q578933,Q2348823",1929,,"Stud. Veg. Piemonte 61 1929",,,,5f1cb872-8fcd-11eb-924d-9cd76263cbd0,,,wfo-0000853669,4138672,,
c8c21984-8fcd-11eb-924d-9cd76263cbd0,variety,aetnensis,Bellardiochloa,violacea,"(C.Presl) Chiov.","Q379601,Q2348823",1929,,"Stud. Veg. Piemonte 13 1929",,,,,,,wfo-0001099357,7841966,,
c8c236c6-8fcd-11eb-924d-9cd76263cbd0,variety,argaea,Bellardiochloa,violacea,"(Boiss. & Balansa) Chiov.","Q34430,Q536946,Q2348823",1929,,"Stud. Veg. Piemonte 14 1929",,,,,,,wfo-0001099358,,,
c8c26e34-8fcd-11eb-924d-9cd76263cbd0,variety,breunia,Bellardiochloa,violacea,"(Facchini) Chiov.","Q2337414,Q2348823",1929,,"Stud. Veg. Piemonte 13 1929",,,,5374eab2-8fcd-11eb-924d-9cd76263cbd0,,,wfo-0001099360,7482906,,
c8c28aae-8fcd-11eb-924d-9cd76263cbd0,variety,pilosa,Bellardiochloa,violacea,"(Hall.f.) Chiov.",Q2348823,1929,,"Stud. Veg. Piemonte 13 1929",,,,,,,wfo-0001099361,,,
4bdce0fc-8fcd-11eb-924d-9cd76263cbd0,variety,popovii,Bellardiochloa,violacea,Tzvelev,Q4503394,1973,,"Novosti Sist. Vyssh. Rast. 10: 87 1973",,,,,,881571-1,wfo-0000853670,4138670,,
