id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e04d975a-8fd1-11eb-924d-9cd76263cbd0,genus,Bobartia,,,L.,0,1753,,"Sp. Pl. : 54 (1753)",,,Q849308,,,urn:lsid:ipni.org:names:331152-2,wfo-4000004839,5297123,,
2d901ef2-8fcd-11eb-924d-9cd76263cbd0,species,anceps,Bobartia,,Baker,0,1892,,"Handb. Irid. : 121 (1892)",,,,,,urn:lsid:ipni.org:names:436267-1,wfo-0000788317,5297147,,
2d903f90-8fcd-11eb-924d-9cd76263cbd0,species,aphylla,Bobartia,,"Ker Gawl.",0,1827,,"Irid. Gen. : 30 (1827)",,,,,,urn:lsid:ipni.org:names:436268-1,wfo-0000788318,5297152,,
2d905c46-8fcd-11eb-924d-9cd76263cbd0,species,aurantiaca,Bobartia,,Sweet,0,1839,,"Hort. Brit. , ed. 3: 662 (1839)",,,,,,urn:lsid:ipni.org:names:436269-1,wfo-0000788319,5296830,,
2d9077e4-8fcd-11eb-924d-9cd76263cbd0,species,burchellii,Bobartia,,Baker,0,1892,,"Handb. Irid. : 120 (1892)",,,,,,urn:lsid:ipni.org:names:436270-1,wfo-0000788320,5297144,,
2d90921a-8fcd-11eb-924d-9cd76263cbd0,species,fasciculata,Bobartia,,"J.B.Gillett ex Strid",0,1974,,"Opera Bot. 37: 34 (1974)",,,,,,urn:lsid:ipni.org:names:436271-1,wfo-0000788321,5297156,,
2d90ac64-8fcd-11eb-924d-9cd76263cbd0,species,filiformis,Bobartia,,"Ker Gawl.",0,1827,,"Irid. Gen. : 30 (1827)",,,,,,urn:lsid:ipni.org:names:436272-1,wfo-0000788322,5297125,,
2d90c69a-8fcd-11eb-924d-9cd76263cbd0,species,gladiata,Bobartia,,"Ker Gawl.",0,1827,,"Irid. Gen. : 30 (1827)",,,,2bbaac8c-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:436273-1,wfo-0000788323,5297130,,
059f5fba-1d4a-11ec-82c2-f14daa6f2d93,subspecies,gladiata,Bobartia,gladiata,,,,,Unknown,,,,,,urn:lsid:ipni.org:names:77171522-1,wfo-0000790706,,,
2d90e12a-8fcd-11eb-924d-9cd76263cbd0,variety,major,Bobartia,gladiata,G.J.Lewis,0,1941,,"J. S. African Bot. 7: 50 1941",,,,,,,wfo-0000788324,6310666,,
2d911e9c-8fcd-11eb-924d-9cd76263cbd0,subspecies,major,Bobartia,gladiata,"(G.J.Lewis) Strid",0,1974,,"Opera Bot. 37: 24 (1974)",,,,2d90e12a-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:883442-1,wfo-0000788326,6310666,,
619dc1c8-1d4d-11ec-82c2-f14daa6f2d93,subspecies,teres,Bobartia,gladiata,Strid,,1974,,"Opera Bot. 37: 25 (1974)",,,,,,urn:lsid:ipni.org:names:883443-1,wfo-0001364486,,,
2d9138be-8fcd-11eb-924d-9cd76263cbd0,species,gracilis,Bobartia,,Baker,0,1901,,"Bull. Misc. Inform. Kew 1901: 134 (1901)",,,Q5735532,,,urn:lsid:ipni.org:names:436274-1,wfo-0000788327,5297137,,
2d9154b6-8fcd-11eb-924d-9cd76263cbd0,species,indica,Bobartia,,L.,0,1753,,"Sp. Pl. : 54 (1753)",,,Q849308,,,urn:lsid:ipni.org:names:436275-1,wfo-0000788328,5297157,,
2d916f1e-8fcd-11eb-924d-9cd76263cbd0,species,juncea,Bobartia,,Salisb.,0,1812,,"Trans. Hort. Soc. London 1: 313 (1812)",,,,,,urn:lsid:ipni.org:names:436276-1,wfo-0000788329,5297161,,
2d91899a-8fcd-11eb-924d-9cd76263cbd0,species,keetii,Bobartia,,E.Phillips,0,1920,,"Bull. Misc. Inform. Kew 1920: 335 (1920)",,Q55786402,Q5735532,,,urn:lsid:ipni.org:names:436277-1,wfo-0000788330,5297153,,
2d91a5f6-8fcd-11eb-924d-9cd76263cbd0,species,lilacina,Bobartia,,G.J.Lewis,0,1945,,"J. S. African Bot. 11: 108 (1945)",,,,,,urn:lsid:ipni.org:names:436278-1,wfo-0000788331,5297164,,
2d91c28e-8fcd-11eb-924d-9cd76263cbd0,species,linnaei,Bobartia,,Pritz.,0,1855,,"Icon. Bot. Index 2: 47 (1855)",,,,,,urn:lsid:ipni.org:names:436279-1,wfo-0000788332,5297160,,
2d91df1c-8fcd-11eb-924d-9cd76263cbd0,species,longicyma,Bobartia,,Gillett,0,1930,,"J. Bot. 68: 104 1930",,,,,,,wfo-0000788333,5297138,,
ba543940-8fcd-11eb-924d-9cd76263cbd0,species,longicyma,Bobartia,,J.B.Gillett,0,1930,,"J. Bot. 68: 104 (1930)",,,,,,urn:lsid:ipni.org:names:436280-1,wfo-0001067184,5297138,,
7ec1176e-1d4d-11ec-82c2-f14daa6f2d93,subspecies,longicyma,Bobartia,longicyma,,,,,,,,,,,,wfo-0001421071,,,
619dea36-1d4d-11ec-82c2-f14daa6f2d93,subspecies,magna,Bobartia,longicyma,"J.B.Gillett ex Strid",,1974,,"Opera Bot. 37: 26 (1974)",,,,,,urn:lsid:ipni.org:names:883444-1,wfo-0001364487,,,
619e11be-1d4d-11ec-82c2-f14daa6f2d93,subspecies,microflora,Bobartia,longicyma,Strid,,1974,,"Opera Bot. 37: 27 (1974)",,,,,,urn:lsid:ipni.org:names:883445-1,wfo-0001364488,,,
2d9215cc-8fcd-11eb-924d-9cd76263cbd0,species,macrocarpa,Bobartia,,Strid,0,1974,,"Opera Bot. 37: 33 (1974)",,,,,,urn:lsid:ipni.org:names:436281-1,wfo-0000788335,5297127,,
2d922fe4-8fcd-11eb-924d-9cd76263cbd0,species,macrospatha,Bobartia,,Baker,0,1892,,"Handb. Irid. : 119 (1892)",,,,,,urn:lsid:ipni.org:names:436282-1,wfo-0000788336,5297142,,
