id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e0618288-8fd1-11eb-924d-9cd76263cbd0,genus,Botrymorus,,,Miq.,1859,"Fl. Ned. Ind. 1(2): 282. 1859.",,,,,,wfo-4000005094,7300722,
b4405ca6-8fcc-11eb-924d-9cd76263cbd0,species,paniculata,Botrymorus,,Miq.,1859,"Fl. Ned. Ind. 1(2): 283 1859",,,,,850823-1,wfo-0000569761,4100274,
b4407b00-8fcc-11eb-924d-9cd76263cbd0,species,baronii,Botryocytinus,,"(Baker f.) Watan.",1936,"Bot. Mag. (Tokyo) 50: 677 1936",,,,dc33db7a-8fcc-11eb-924d-9cd76263cbd0,,wfo-0000569762,3941139,
cbdf6082-8fd1-11eb-924d-9cd76263cbd0,species,latifolium,Botryodendron,,Endl.,1833,"Prodr. Fl. Norfolk. 62 1833",,,,,,wfo-0001276038,7949344,
2dae1a34-8fcc-11eb-924d-9cd76263cbd0,species,angustifolium,Botryodendrum,,Endl.,1833,"Prodr. Fl. Norfolk. 62 1833",,,,,89981-1,wfo-0000363653,3036425,
2db3263c-8fcc-11eb-924d-9cd76263cbd0,species,capitatum,Botryodendrum,,"(Jacq.) Endl.",1842,"Cat. Horti Vindob. 2: 177 1842",,,,,941592-1,wfo-0000363687,3036625,
2db6c0da-8fcc-11eb-924d-9cd76263cbd0,species,coriaceum,Botryodendrum,,"Pancher ex Baill.",1878,"Adansonia 12: 153 1878",,,,,89983-1,wfo-0000363709,3036430,
2dba4340-8fcc-11eb-924d-9cd76263cbd0,species,latifolium,Botryodendrum,,Endl.,1833,"Prodr. Fl. Norfolk. 62 1833",,,,,89984-1,wfo-0000363734,3036443,
2dbfa218-8fcc-11eb-924d-9cd76263cbd0,species,macrophyllum,Botryodendrum,,"W.Rich ex A.Gray",1854,"U.S. Expl. Exped., Phan. 1: 732 1854",,,,,,wfo-0000363761,3036421,
2dc4b92e-8fcc-11eb-924d-9cd76263cbd0,species,sinclairii,Botryodendrum,,Hook.f.,1852,"Fl. Nov.-Zel. 1: 97 1852",,,,,89987-1,wfo-0000363792,4927281,
2dc9d42c-8fcc-11eb-924d-9cd76263cbd0,species,taitense,Botryodendrum,,Guill.,1837,"Ann. Sci. Nat., Bot. II, 7: 349 1837",,,,,89988-1,wfo-0000363825,3036418,
d49bf66c-8fcd-11eb-924d-9cd76263cbd0,species,karwinskii,Botryogramme,,"(Kunze) Fée",1852,"Mém. Foug. 5: 166 1852",,,,d49bd9b6-8fcd-11eb-924d-9cd76263cbd0,,wfo-0001125171,3749224,
