id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e06397d0-8fd1-11eb-924d-9cd76263cbd0,genus,Boucerosia,,,"Wight & Arn.",0,1834,,"Contr. Bot. India : 34 (1834)",,,,,,urn:lsid:ipni.org:names:3239-1,wfo-4000005119,7556272,,
b44841d2-8fcc-11eb-924d-9cd76263cbd0,species,aaronis,Boucerosia,,Hart,0,1885,,"Trans. Roy. Irish Acad. 28: 436 (1885)",,,,,,urn:lsid:ipni.org:names:94951-1,wfo-0000569816,3581493,,
b4485df2-8fcc-11eb-924d-9cd76263cbd0,species,acutangula,Boucerosia,,"(Decne.) Decne.",0,1844,,"Prodr. 8: 648 (1844)",,,,df4f4c86-8fcc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:94953-1,wfo-0000569817,3581483,,
b4488548-8fcc-11eb-924d-9cd76263cbd0,species,adenensis,Boucerosia,,Deflers,0,1896,,"Bull. Soc. Bot. France 43: 115 (1896)",,Q55756796,,,,urn:lsid:ipni.org:names:94955-1,wfo-0000569818,3581470,,
b448c094-8fcc-11eb-924d-9cd76263cbd0,species,adscendens,Boucerosia,,"(Roxb.) Wall.",0,,,"Numer. List : n.º 8146 (1847)",,,,,,urn:lsid:ipni.org:names:94956-1,wfo-0000569819,3581466,,
b44900cc-8fcc-11eb-924d-9cd76263cbd0,species,aucheriana,Boucerosia,,Decne.,0,1844,,"Prodr. 8: 649 (1844)",,,,,,urn:lsid:ipni.org:names:94957-1,wfo-0000569820,3581455,,
b449379a-8fcc-11eb-924d-9cd76263cbd0,species,awdeliana,Boucerosia,,Deflers,0,1896,,"Bull. Soc. Bot. France 43: 116 (1896)",,Q55756796,,,,urn:lsid:ipni.org:names:94959-1,wfo-0000569821,3581441,,
b449761a-8fcc-11eb-924d-9cd76263cbd0,species,campanulata,Boucerosia,,Wight,0,,,"Icon. Pl. Ind. Orient. 6: t. 1287 (1853)",,,,,,urn:lsid:ipni.org:names:94960-1,wfo-0000569823,3581427,,
b4499154-8fcc-11eb-924d-9cd76263cbd0,species,cicatricosa,Boucerosia,,Deflers,0,1889,,"Voy. Yemen : 170 (1889)",,,,,,urn:lsid:ipni.org:names:94962-1,wfo-0000569824,3581413,,
b449ae96-8fcc-11eb-924d-9cd76263cbd0,species,crenulata,Boucerosia,,"(Wall.) Wight & Arn.",0,1834,,"Contr. Bot. India : 34 (1834)",,,,,,urn:lsid:ipni.org:names:94963-1,wfo-0000569825,3581407,,
b449cb42-8fcc-11eb-924d-9cd76263cbd0,species,cylindrica,Boucerosia,,Brongn.,0,1860,,"Bull. Soc. Bot. France 7: 900 (1860)",,Q55756502,,,,urn:lsid:ipni.org:names:94964-1,wfo-0000569826,3581398,,
1848b734-8fcd-11eb-924d-9cd76263cbd0,species,decaisneana,Boucerosia,,Lem.,0,1844,,"Herb. Gén. Amat. sér. 2 4: t. 21. 1844 (as Bucerosia decaisniana)",,,,,,urn:lsid:ipni.org:names:60450416-2,wfo-0000743415,3581392,,
b449e848-8fcc-11eb-924d-9cd76263cbd0,species,dentata,Boucerosia,,"(Forssk.) Deflers",0,1896,,"Mém. Inst. Égypt. 3: 273 (1896); see also M. G. Gilbert.",,,,,,urn:lsid:ipni.org:names:993989-1,wfo-0000569827,3581370,,
b44a04fe-8fcc-11eb-924d-9cd76263cbd0,species,diffusa,Boucerosia,,Wight,0,,,"Icon. Pl. Ind. Orient. 4: t. 1599 (1850)",,,,,,urn:lsid:ipni.org:names:94966-1,wfo-0000569828,3581361,,
b44a2150-8fcc-11eb-924d-9cd76263cbd0,species,edulis,Boucerosia,,Edgew.,0,1862,,"J. Proc. Linn. Soc., Bot. 6: 205 (1862)",,,,,,urn:lsid:ipni.org:names:94967-1,wfo-0000569829,3581355,,
b44a3b0e-8fcc-11eb-924d-9cd76263cbd0,species,europaea,Boucerosia,,"(Guss.) G.Nicholson",0,1886,,"Ill. Dict. Gard. 1: 205 (1884)",,,,5fb3ea9a-8fcc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:94968-1,wfo-0000569830,3581345,,
b44a5544-8fcc-11eb-924d-9cd76263cbd0,species,forskaolii,Boucerosia,,Decne.,0,1844,,"Prodr. 8: 648 (1844)",,,,,,urn:lsid:ipni.org:names:94969-1,wfo-0000569831,3581337,,
b44aacce-8fcc-11eb-924d-9cd76263cbd0,species,frerei,Boucerosia,,"(G.D.Rowley) Meve & Liede",0,2002,,"Pl. Syst. Evol. 234: 200 (2002)",,Q55755454,,,,urn:lsid:ipni.org:names:20009958-1,wfo-0000569834,3581328,,
b44ac952-8fcc-11eb-924d-9cd76263cbd0,species,gussoniana,Boucerosia,,"(J.C.Mikan) Hook.f.",0,,,"Bot. Mag. 100: t. 6137 (1874)",,,,,,urn:lsid:ipni.org:names:94970-1,wfo-0000569835,3581322,,
