id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e0ee9100-8fd1-11eb-924d-9cd76263cbd0,genus,Burnettia,,,Lindl.,,"Gen. Sp. Orchid. Pl. 517. 1840.",,,,,28907-1,wfo-4000005793,9765951,
fa9afae4-8fcc-11eb-924d-9cd76263cbd0,species,cuneata,Burnettia,,Lindl.,,"Gen. Sp. Orchid. Pl. 518 1840",,,,,620536-1,wfo-0000689382,5305751,
ecfaa1a4-8fcd-11eb-924d-9cd76263cbd0,species,fabronifolia,Burnettia,,Grout,,"Bryologist 9: 44 1906",,,,,,wfo-0001177494,8180476,
efb0a0ba-8fcd-11eb-924d-9cd76263cbd0,species,philippeana,Burnettia,,"(Spruce) Grout",,"Bryologist 7: 31 1904",,,,,,wfo-0001182945,7723049,
efb0bd34-8fcd-11eb-924d-9cd76263cbd0,species,sericea,Burnettia,,"(Hedw.) Grout",,"Bryologist 7: 31 1904",,,,,,wfo-0001182946,7992330,
ecfabc0c-8fcd-11eb-924d-9cd76263cbd0,species,subcapillata,Burnettia,,"(Hedw.) Grout",,"Bryologist 6: 65 1903",,,,,,wfo-0001177495,8257112,
fab82376-8fcc-11eb-924d-9cd76263cbd0,species,forsteri,Burneya,,"Cham. & Schltdl.",,"Linnaea 4: 189 1829",,,,,745204-1,wfo-0000689591,2899995,
fac775e2-8fcc-11eb-924d-9cd76263cbd0,species,gaudichaudii,Burneya,,"Cham. & Schltdl.",,"Linnaea 4: 190 1829",,,,,745205-1,wfo-0000689695,2901088,
fae445e6-8fcc-11eb-924d-9cd76263cbd0,species,diaphana,Burnsbaloghia,,"(Lindl.) Szlach.",,"Folia Geobot. Phytotax. 26: 400 1991 publ. 1992",,,,,963444-1,wfo-0000689889,2791247,
b7d6c616-8fcc-11eb-924d-9cd76263cbd0,species,frutescens,Burragea,,"(Curran) Donn.Sm. & Rose",,"Contr. U. S. Natl. Herb. 16: 298 1913",,,,,38515-2,wfo-0000575994,3663825,
b7d6fcda-8fcc-11eb-924d-9cd76263cbd0,species,fruticulosa,Burragea,,"(Benth.) Donn.Sm.",,"Contr. U. S. Natl. Herb. 16: 298 1913",,,,,38516-2,wfo-0000575996,7322146,
b7d7190e-8fcc-11eb-924d-9cd76263cbd0,variety,frutescens,Burragea,fruticulosa,"(Curran) Munz",,"Aliso 4: 502 1960",,,,,38517-2,wfo-0000575997,3663810,
b7d73858-8fcc-11eb-924d-9cd76263cbd0,subspecies,glabra,Burragea,fruticulosa,"(J.H.Thomas) Munz",,"Aliso 4: 502 1960",,,,,38518-2,wfo-0000575998,3663801,
b7d75522-8fcc-11eb-924d-9cd76263cbd0,species,glabra,Burragea,,J.H.Thomas,,"Madroño 10: 164 1950",,,,,38519-2,wfo-0000575999,3663795,
