id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e0f8bdce-8fd1-11eb-924d-9cd76263cbd0,genus,Caladium,,,Vent.,Q290065,1800,,"Mag. Encycl. 4: 463. 1800[1801]. (22 Dec 1800-21 Jan 1801)",,,,,,30005919-2,wfo-4000005937,2868340,,
15dcfb9a-8fcd-11eb-924d-9cd76263cbd0,species,acre,Caladium,,R.Br.,Q155764,1810,,"Prodr. Fl. Nov. Holl. 336 1810",,Q7247677,,,,86274-1,wfo-0000738211,2870322,,
15df61fa-8fcd-11eb-924d-9cd76263cbd0,species,aculeatum,Caladium,,G.Mey.,Q3101308,1818,,"Prim. Fl. Esseq. 274 1818",,,,,,86275-1,wfo-0000738230,2868263,,
15e50ef2-8fcd-11eb-924d-9cd76263cbd0,species,acuminatum,Caladium,,F.Dietr.,Q86320,1802,,"Vollst. Lex. Gärtn. 1: 616 1802",,,,,,86276-1,wfo-0000738271,2872198,,
15e96baa-8fcd-11eb-924d-9cd76263cbd0,species,adamantinum,Caladium,,L.Linden,Q3246790,1890,,"Ill. Hort. 1890: 71 1890",,,,,,86277-1,wfo-0000738301,2868360,,
15eb961e-8fcd-11eb-924d-9cd76263cbd0,species,akkermansii,Caladium,,G.S.Bunting,Q4077471,1975,,"Acta Bot. Venez. 10: 281 1975",,Q91475930,,,,273612-2,wfo-0000738319,2872104,,
c1c70a22-8fcd-11eb-924d-9cd76263cbd0,species,albanense,Caladium,,Sander,Q67113,1897,,"New Pl. 1897 9",,,,,,,wfo-0001084108,3604197,,
c1c61d74-8fcd-11eb-924d-9cd76263cbd0,species,albo-punctatissimum,Caladium,,"Makoy ex Karsten in K.Koch & Fint.",Q65130,1858,,"Wochenschr. Gärtnerei Pflanzenk. 331 1858",,,,,,,wfo-0001084100,,,
15eec302-8fcd-11eb-924d-9cd76263cbd0,species,albopunctatissimum,Caladium,,"Jacob-Makoy ex H.Karst.","Q5969690,Q62413",1858,,"Wochenschr. Gärtnerei Pflanzenk. 1: 331 1858",,,,,,86281-1,wfo-0000738347,2868502,,
15f44296-8fcd-11eb-924d-9cd76263cbd0,species,amabile,Caladium,,Verschaff.,Q458992,1862,,"Cat. 70: 2 1862",,,,,,,wfo-0000738384,3604193,,
15f974a0-8fcd-11eb-924d-9cd76263cbd0,species,amoenum,Caladium,,Engl.,Q60718,1879,,"Monogr. Phan. 2: 461 1879",,,,,,86284-1,wfo-0000738425,2868421,,
15fd1aa6-8fcd-11eb-924d-9cd76263cbd0,species,andreanum,Caladium,,Bogner,Q5640534,1984,,"Aroideana 7: 5 1984",,Q100710139,,,,40273-2,wfo-0000738453,2868519,,
15ff9178-8fcd-11eb-924d-9cd76263cbd0,species,angustifolium,Caladium,,Engl.,Q60718,1920,,"Pflanzenr. IV, 23E: 26 1920",,,,,,40274-2,wfo-0000738472,2872187,,
1601b1ba-8fcd-11eb-924d-9cd76263cbd0,species,angustilobum,Caladium,,Engl.,Q60718,1905,,"Bot. Jahrb. Syst. 37: 136 1905",,,,,,40275-2,wfo-0000738485,2868521,,
c1c639f8-8fcd-11eb-924d-9cd76263cbd0,species,appendiculatum,Caladium,,"hort. ex Engl.",Q60718,,,"Monogr. Phan. 2: 476",,,,,,86288-1,wfo-0001084101,3604180,,
16040f96-8fcd-11eb-924d-9cd76263cbd0,species,appunianum,Caladium,,Engl.,Q60718,1879,,"Monogr. Phan. 2: 466 1879",,,,,,86289-1,wfo-0000738500,2868443,,
160943ee-8fcd-11eb-924d-9cd76263cbd0,species,arborescens,Caladium,,"(L.) Vent.","Q1043,Q290065",1801,,"Descr. Pl. Nov. t. 30 1801",,,,,,,wfo-0000738547,2868257,,
16109ac2-8fcd-11eb-924d-9cd76263cbd0,species,arboreum,Caladium,,Kunth,Q77074,1816,,"Nov. Gen. Sp. 1: 80 1816",,,,,,86291-1,wfo-0000738606,2868261,,
16161a42-8fcd-11eb-924d-9cd76263cbd0,species,argyrites,Caladium,,Lem.,Q942880,1858,,"Ill. Hort. 5: 185 1858",,,,,,,wfo-0000738652,2868516,,
161867fc-8fcd-11eb-924d-9cd76263cbd0,species,argyrospilum,Caladium,,Lem.,Q942880,1858,,"Ill. Hort. 5: 185 1858",,,,,,,wfo-0000738671,2868447,,
16235be4-8fcd-11eb-924d-9cd76263cbd0,species,aristeguietae,Caladium,,G.S.Bunting,Q4077471,1975,,"Acta Bot. Venez. 10: 282 1975",,Q91475930,,,,40277-2,wfo-0000738758,2872210,,
162c17a2-8fcd-11eb-924d-9cd76263cbd0,species,asperulum,Caladium,,Schott,Q112191,1853,,"Oesterr. Bot. Wochenbl. 3: 313 1853",,,,,,86296-1,wfo-0000738830,2868344,,
1632e6f4-8fcd-11eb-924d-9cd76263cbd0,species,aturense,Caladium,,G.S.Bunting,Q4077471,1986,,"Phytologia 60: 298 1986",,,,,,273613-2,wfo-0000738888,2868356,,
