id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e0f91d5a-8fd1-11eb-924d-9cd76263cbd0,genus,Calais,,,DC.,,1838,,"Prodr. 7(1): 85 (1838)",,,Q2712448,,,urn:lsid:ipni.org:names:8022-1,wfo-4000005938,8290379,,
8ce514fa-8fb6-11eb-924d-9cd76263cbd0,species,aphantocarpha,Calais,,A.Gray,0,1865,,"Proc. Amer. Acad. Arts vi (1864-65) 552",,,Q6087076,,,urn:lsid:ipni.org:names:187442-1,wfo-0000090632,5695102,,
1672a552-8fb2-11eb-924d-9cd76263cbd0,species,bigelovii,Calais,,A.Gray,0,1857,,"Pacif. Railr. Rep. Parke, Bot. iv. 113 (1857)",,,,,,urn:lsid:ipni.org:names:187443-1,wfo-0000010637,5399437,,
0f08c95e-8fb2-11eb-924d-9cd76263cbd0,species,bolanderi,Calais,,A.Gray,0,1868,,"Proc. Amer. Acad. Arts vii. (1868) 365",,,Q6087076,,,urn:lsid:ipni.org:names:187444-1,wfo-0000008581,5399465,,
73ab2796-8fb5-11eb-924d-9cd76263cbd0,species,clevelandi,Calais,,Greene,0,1886,,"Bull. Calif. Acad. Sci. 2: 153 (1886)",,,,,,urn:lsid:ipni.org:names:40356-2,wfo-0000078252,,,
bde3e3c6-8fb9-11eb-924d-9cd76263cbd0,species,cyclocarpha,Calais,,A.Gray,0,1857,,"Pacif. Railr. Rep. Parke, Bot. iv. 113",,,,,,urn:lsid:ipni.org:names:187446-1,wfo-0000120983,5399455,,
449980ba-8fb5-11eb-924d-9cd76263cbd0,species,douglasii,Calais,,DC.,0,1838,,"Prodr. 7(1): 85 (1838)",,,Q2712448,,,urn:lsid:ipni.org:names:187447-1,wfo-0000075991,5399457,,
141bed62-8fb3-11eb-924d-9cd76263cbd0,species,eriocarpha,Calais,,A.Gray,0,1865,,"Proc. Amer. Acad. Arts vi. (1864-65) 552",,,Q6087076,,,urn:lsid:ipni.org:names:187448-1,wfo-0000041098,5399456,,
b659370e-8fb5-11eb-924d-9cd76263cbd0,species,glauca,Calais,,A.Gray,0,1868,,"Proc. Amer. Acad. Arts vii.  364 (1868)",,,Q6087076,bc28999c-8fb3-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:187449-1,wfo-0000081277,6063973,,
c3072d56-1d47-11ec-82c2-f14daa6f2d93,variety,glauca,Calais,glauca,,,1868,,1868,,,,,,,wfo-0000069088,,,
07f99c26-8fb5-11eb-924d-9cd76263cbd0,variety,procera,Calais,glauca,A.Gray,0,1868,,"Proc. Amer. Acad. Arts 7: 365 (1868)",,,Q6087076,,,urn:lsid:ipni.org:names:40358-2,wfo-0000073067,5695082,,
1b0717ec-8fb7-11eb-924d-9cd76263cbd0,species,gracililoba,Calais,,Kellogg,0,1873,,"Proc. Calif. Acad. Sci. 5: 48 (1873)",,,,,,urn:lsid:ipni.org:names:187450-1,wfo-0000096419,5399452,,
65b2d37e-8fb9-11eb-924d-9cd76263cbd0,species,kelloggii,Calais,,Greene,0,1886,,"Bull. Calif. Acad. Sci. 2: 49 (1886)",,,,,,urn:lsid:ipni.org:names:40359-2,wfo-0000118024,5398362,,
4db32fd2-8fb2-11eb-924d-9cd76263cbd0,species,laciniata,Calais,,"(Hook.) A.Gray",0,1857,,"Pacif. Railr. Rep. Parke, Bot. iv. 113",,,,,,urn:lsid:ipni.org:names:187452-1,wfo-0000019728,5399440,,
aa7e1166-8fba-11eb-924d-9cd76263cbd0,species,lindleyi,Calais,,DC.,0,1838,,"Prodr. 7(1): 85 (1838)",,,Q2712448,,,urn:lsid:ipni.org:names:187453-1,wfo-0000128475,5398363,,
bcf9655a-8fb2-11eb-924d-9cd76263cbd0,species,linearifolia,Calais,,DC.,0,1838,,"Prodr. 7(1): 85 (1838)",,,Q2712448,,,urn:lsid:ipni.org:names:187454-1,wfo-0000033201,5398365,,
3fdd137e-8fb6-11eb-924d-9cd76263cbd0,species,macrochaeta,Calais,,A.Gray,0,1849,,"Mem. Amer. Acad. Arts : 112 (1849)",,,,,,urn:lsid:ipni.org:names:187455-1,wfo-0000087366,5399460,,
aa241bac-8fba-11eb-924d-9cd76263cbd0,species,major,Calais,,A.Gray,0,1857,,"Pacif. Railr. Rep. Parke, Bot. iv. 113",,,,,,urn:lsid:ipni.org:names:187456-1,wfo-0000128464,5399453,,
2c565700-8fb3-11eb-924d-9cd76263cbd0,species,multifida,Calais,,"Sessé & Moc.",0,,,,,,,,,,wfo-0000043140,7553067,,
037fe384-8fb6-11eb-924d-9cd76263cbd0,species,nutans,Calais,,"(Hook.) A.Gray",0,1857,,"113 1857",,,,,,,wfo-0000084723,,,
7a8f95c0-8fb4-11eb-924d-9cd76263cbd0,species,nutans,Calais,,D.C.Eaton,0,1871,,"Rep. U.S. Geol. Explor. 40th Parallel 5: 197 1871",,,,,,,wfo-0000065663,8136495,,
