id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e0fc2a2c-8fd1-11eb-924d-9cd76263cbd0,genus,Calathea,,,G.Mey.,,"Prim. Fl. Esseq. 6–7. 1818. (6 Nov 1818)",,,,,30001411-2,wfo-4000005972,8394666,
204ec9f6-8fcc-11eb-924d-9cd76263cbd0,species,aberrans,Calathea,,Huber,,"Bol. Mus. Goeldi Hist. Nat. Ethnogr. 4: 549 1906",,,,,40959-2,wfo-0000342757,2761666,
204ee7c4-8fcc-11eb-924d-9cd76263cbd0,species,achira,Calathea,,"(Poepp. & Endl.) Petersen",,"Fl. Bras. 3(3): 108 1890",,,,,40960-2,wfo-0000342758,2761946,
bf27e142-8fcd-11eb-924d-9cd76263cbd0,species,ackermani,Calathea,,Körn.,,,,,,,,wfo-0001078204,,
204f0a10-8fcc-11eb-924d-9cd76263cbd0,species,ackermannii,Calathea,,Körn.,,"Bull. Soc. Imp. Naturalistes Moscou 35(1): 133 1862",,,,,795758-1,wfo-0000342759,2762052,
204f55c4-8fcc-11eb-924d-9cd76263cbd0,species,acuminata,Calathea,,Steyerm.,,"Fieldiana, Bot. 28: 161 1951",,,,,40962-2,wfo-0000342760,2762032,
204f8030-8fcc-11eb-924d-9cd76263cbd0,species,aemula,Calathea,,Körn.,,"Bull. Soc. Imp. Naturalistes Moscou 35(1): 131 1862",,,,,795759-1,wfo-0000342761,2762011,
204f9fac-8fcc-11eb-924d-9cd76263cbd0,species,affinis,Calathea,,"Fenzl ex Regel",,"Gartenflora 28: 294 1879",,,,,795760-1,wfo-0000342762,2761959,
204fc7fc-8fcc-11eb-924d-9cd76263cbd0,species,albertii,Calathea,,"(Pynaert & Van Geert) L.H.Bailey & Raffill",,"Stand. Cycl. Hort. 2: 621 1914",,,,,,wfo-0000342763,2761941,
bf27fcf4-8fcd-11eb-924d-9cd76263cbd0,species,albicans,Calathea,,"Brongn. ex K.Schum.",,"Pflanzenr. IV. 48(Heft 11): 112 1902",,,,,,wfo-0001078205,8353089,
20500870-8fcc-11eb-924d-9cd76263cbd0,species,albicans,Calathea,,"Brongn. ex Gris",,"Ann. Sci. Nat., Bot. IV, 12: 193 1859",,,,,795761-1,wfo-0000342765,2761974,
205026b6-8fcc-11eb-924d-9cd76263cbd0,species,albovaginata,Calathea,,"(K.Koch & Linden) K.Schum.",,"Pflanzenr. IV, 48: 99 1902",,,,,40966-2,wfo-0000342766,2761884,
2050443e-8fcc-11eb-924d-9cd76263cbd0,species,allenii,Calathea,,Woodson,,"Ann. Missouri Bot. Gard. 29: 331 1942",,,,,40967-2,wfo-0000342767,2761842,
20506090-8fcc-11eb-924d-9cd76263cbd0,species,allouia,Calathea,,"(Aubl.) Lindl.",,"Edwards's Bot. Reg. 14: t. 1210 1829",,,,,795765-1,wfo-0000342768,2761809,
205081ce-8fcc-11eb-924d-9cd76263cbd0,variety,violacea,Calathea,allouia,"(Roscoe) Woodson",,"Ann. Missouri Bot. Gard. 29: 332 1942",,,,,40968-2,wfo-0000342769,2761523,
2050a1f4-8fcc-11eb-924d-9cd76263cbd0,species,altissima,Calathea,,"(Poepp. & Endl.) Horan.",,"Prodr. Monogr. Scitam. 13 1862",,,,,,wfo-0000342770,2761768,
2050beaa-8fcc-11eb-924d-9cd76263cbd0,species,amazonica,Calathea,,H.A.Kenn.,,"Selbyana 15: 63 1994",,,,,300667-2,wfo-0000342771,2761712,
2050dae8-8fcc-11eb-924d-9cd76263cbd0,species,amplissima,Calathea,,Petersen,,"Fl. Bras. 3(3): 115 1890",,,,,40969-2,wfo-0000342772,2761690,
2050f730-8fcc-11eb-924d-9cd76263cbd0,species,anderssonii,Calathea,,H.A.Kenn.,,"Canad. J. Bot. 63: 1145 1985",,,,,273640-2,wfo-0000342773,2761714,
20511350-8fcc-11eb-924d-9cd76263cbd0,species,angustifolia,Calathea,,Körn.,,"Gartenflora 7: 87 1858",,,,,795768-1,wfo-0000342774,2761694,
20513006-8fcc-11eb-924d-9cd76263cbd0,species,annae,Calathea,,"H.A.Kenn. & Marcelo",,"Phytologia 82: 96 1997",,,,,1001035-1,wfo-0000342775,2761672,
20514de8-8fcc-11eb-924d-9cd76263cbd0,species,anulque,Calathea,,H.A.Kenn.,,"in Fl. Ecuador 32(224): 38 1988",,,,,273641-2,wfo-0000342776,2761619,
20516b5c-8fcc-11eb-924d-9cd76263cbd0,species,applicata,Calathea,,"Jacob-Makoy ex E.Morren",,"Ann. Hort. Belge Étrangère 24: 228 1874",,,,,795769-1,wfo-0000342777,8618880,
20518fba-8fcc-11eb-924d-9cd76263cbd0,species,argyraea,Calathea,,Körn.,,"Bull. Soc. Imp. Naturalistes Moscou 35(1): 142 1862",,,,,795770-1,wfo-0000342778,2761572,
2051deac-8fcc-11eb-924d-9cd76263cbd0,species,argyrophylla,Calathea,,"(Linden ex K.Koch) L.H.Bailey & Raffill",,"Stand. Cycl. Hort. 2: 624 1914",,,,,,wfo-0000342779,2761546,
2052369a-8fcc-11eb-924d-9cd76263cbd0,species,arrabidae,Calathea,,Körn.,,"Bull. Soc. Imp. Naturalistes Moscou 35(1): 144 1862",,,,,795771-1,wfo-0000342780,2761510,
2052599a-8fcc-11eb-924d-9cd76263cbd0,species,arrecta,Calathea,,"Lindl. & André",,"Ill. Hort. 18: 174 1871",,,,,795772-1,wfo-0000342781,2761880,
20527af6-8fcc-11eb-924d-9cd76263cbd0,species,asplundii,Calathea,,H.A.Kenn.,,"in Fl. Ecuador 32(224): 53 1988",,,,,273642-2,wfo-0000342782,2761481,
20529ab8-8fcc-11eb-924d-9cd76263cbd0,species,atropurpurea,Calathea,,Matuda,,"Anales Inst. Biol. Univ. Nac. México 27: 359 1957",,,,,40975-2,wfo-0000342783,2762077,
2052df00-8fcc-11eb-924d-9cd76263cbd0,species,attenuata,Calathea,,H.A.Kenn.,,"Nordic J. Bot. 6: 146 1986",,,,,273643-2,wfo-0000342785,2762030,
205301d8-8fcc-11eb-924d-9cd76263cbd0,species,bachemiana,Calathea,,E.Morren,,"Ann. Bot. Hort. 25: 271 1875",,,,,795773-1,wfo-0000342786,2761951,
205321e0-8fcc-11eb-924d-9cd76263cbd0,species,bambusacea,Calathea,,"Poepp. & Endl.",,"Nov. Gen. Sp. Pl. 2: 23 1838",,,,,40978-2,wfo-0000342787,2761043,
205341fc-8fcc-11eb-924d-9cd76263cbd0,species,bantae,Calathea,,H.A.Kenn.,,"Canad. J. Bot. 64: 1321 1986",,,,,273644-2,wfo-0000342788,2761921,
20537bae-8fcc-11eb-924d-9cd76263cbd0,species,baraquinii,Calathea,,"(Lem.) Regel",,"Gartenflora 18: 99 1869",,,,,795776-1,wfo-0000342789,2761900,
2053f570-8fcc-11eb-924d-9cd76263cbd0,species,barbata,Calathea,,Petersen,,"Fl. Bras. 3(3): 110 1890",,,,,40980-2,wfo-0000342790,2761868,
205415c8-8fcc-11eb-924d-9cd76263cbd0,species,barbillana,Calathea,,Cufod.,,"Ann. Naturhist. Mus. Wien 46: 235 1932",,,,,40981-2,wfo-0000342791,2761763,
af6116c0-8fcd-11eb-924d-9cd76263cbd0,species,basiflora,Calathea,,H.Kenn.,,,,,,,,wfo-0001042320,7934286,
205437f6-8fcc-11eb-924d-9cd76263cbd0,species,bella,Calathea,,"(W.Bull) Regel",,"Gartenflora 28: 297 1879",,,,,795778-1,wfo-0000342792,2761800,
20547e96-8fcc-11eb-924d-9cd76263cbd0,species,bellula,Calathea,,Linden,,"Cat. Gén. 89: 2 1872",,,,,795779-1,wfo-0000342793,2761785,
20549fc0-8fcc-11eb-924d-9cd76263cbd0,species,bicolor,Calathea,,"(Ker Gawl.) Steud.",,"Nomencl. Bot. ed. 2, 1: 253 1840",,,,,795780-1,wfo-0000342794,2761373,
2054e00c-8fcc-11eb-924d-9cd76263cbd0,species,binotii,Calathea,,Gentil,,"Pl. Cult. Serres Jard. Bot. Brux. 43 1907",,,,,564966-1,wfo-0000342796,2761826,
2054fdc6-8fcc-11eb-924d-9cd76263cbd0,species,blanda,Calathea,,"(Nees) Steud.",,"Nomencl. Bot. ed. 2, 1: 253 1840",,,,,795781-1,wfo-0000342797,2761683,
af3320a8-8fcd-11eb-924d-9cd76263cbd0,species,boliviana,Calathea,,Pax,,"Contr. Fl. Bolivia 96: 1910",,,,,564967-1,wfo-0001041926,3920511,
20551d1a-8fcc-11eb-924d-9cd76263cbd0,species,bracteosa,Calathea,,Rusby,,"Mem. New York Bot. Gard. 7: 220 1927",,,,,40982-2,wfo-0000342798,2761663,
20553bd8-8fcc-11eb-924d-9cd76263cbd0,species,brasiliensis,Calathea,,Körn.,,"Bull. Soc. Imp. Naturalistes Moscou 35(1): 118 1862",,,,,795782-1,wfo-0000342799,2761639,
20555b90-8fcc-11eb-924d-9cd76263cbd0,species,brenesii,Calathea,,Standl.,,"Publ. Field Mus. Nat. Hist., Bot. Ser. 18: 192 1937",,,,,40984-2,wfo-0000342800,2761614,
20557a4e-8fcc-11eb-924d-9cd76263cbd0,species,brevipes,Calathea,,Körn.,,"Bull. Soc. Imp. Naturalistes Moscou 35(1): 140 1862",,,,,795783-1,wfo-0000342801,2761586,
2055979a-8fcc-11eb-924d-9cd76263cbd0,species,brunnescens,Calathea,,"(K.Koch) K.Schum.",,"Pflanzenr. IV, 48: 99 1902",,,,,40986-2,wfo-0000342802,2761559,
2055b5d6-8fcc-11eb-924d-9cd76263cbd0,species,buchtienii,Calathea,,Pax,,"Repert. Spec. Nov. Regni Veg. 7: 107 1909",,,,,40987-2,wfo-0000342803,2761539,
205605cc-8fcc-11eb-924d-9cd76263cbd0,species,bullii,Calathea,,K.Schum.,,"Pflanzenr. IV, 48: 114 1902",,,,,40988-2,wfo-0000342804,2761963,
20565f2c-8fcc-11eb-924d-9cd76263cbd0,species,burle-marxii,Calathea,,H.A.Kenn.,,"Canad. J. Bot. 60: 2365 1982",,,,,40989-2,wfo-0000342805,2761490,
2056a3e2-8fcc-11eb-924d-9cd76263cbd0,species,cachibou,Calathea,,"(Jacq.) Lindl. ex Horan.",,"Prodr. Monogr. Scitam. 12 1862",,,,,795786-1,wfo-0000342807,2761991,
2056c71e-8fcc-11eb-924d-9cd76263cbd0,species,caesariata,Calathea,,H.A.Kenn.,,"Bot. Not. 129: 350 1977",,,,,40990-2,wfo-0000342808,2762021,
2056fd10-8fcc-11eb-924d-9cd76263cbd0,species,cannoides,Calathea,,"(Nicolson, Steyerm. & Sivad.) H.A.Kenn.",,"Phytologia 69: 375 1990",,,,,962270-1,wfo-0000342809,2761997,
205721fa-8fcc-11eb-924d-9cd76263cbd0,species,capitata,Calathea,,"(Ruiz & Pav.) Lindl.",,"Bot. Reg. 14: t. 1210 1829",,,,,795787-1,wfo-0000342810,2761944,
