id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e11073e2-8fd1-11eb-924d-9cd76263cbd0,genus,Calvoa,,,Hook.f.,,1867,,"Gen. Pl. 1: 732, 755. 1867.",,,,,,26222-1,wfo-4000006226,3860946,,
b4db95fe-8fd1-11eb-924d-9cd76263cbd0,species,angolensis,Calvoa,,"A.Fern. & R.Fern.",,1955,,"Bol. Soc. Brot., sér. 2, 29: 58 1955",,,,,,566951-1,wfo-0001233419,3861221,,
c090eaba-8fcd-11eb-924d-9cd76263cbd0,species,bequaertii,Calvoa,,"De Wild.",,1922,,"Pl. Bequaert. 1: 383 1922",,,,,,566952-1,wfo-0001081412,3861211,,
b4db77ea-8fd1-11eb-924d-9cd76263cbd0,species,calliantha,Calvoa,,Jacq.-Fél.,,1981,,"Bull. Mus. Natl. Hist. Nat., B, Adansonia 3: 136 1981",,,,,,897190-1,wfo-0001233418,3861200,,
b4dae898-8fd1-11eb-924d-9cd76263cbd0,species,confertifolia,Calvoa,,Exell,,1944,,"Cat. Vasc. Pl. S. Tome 179 1944",,,,,,566953-1,wfo-0001233413,3861195,,
b4db1e8a-8fd1-11eb-924d-9cd76263cbd0,species,crassinoda,Calvoa,,Hook.f.,,1871,,"Fl. Trop. Afr. 2: 457 1871",,,,,,,wfo-0001233415,3861188,,
b4db3dd4-8fd1-11eb-924d-9cd76263cbd0,species,grandifolia,Calvoa,,Cogn.,,1891,,"Monogr. Phan. 7: 524 1891",,,,,,,wfo-0001233416,3861179,,
c0910630-8fcd-11eb-924d-9cd76263cbd0,species,henriquesii,Calvoa,,Cogn.,,,,,,,,,,,wfo-0001081413,3861173,,
c0912106-8fcd-11eb-924d-9cd76263cbd0,species,hirsuta,Calvoa,,Hook.f.,,1871,,"Fl. Trop. Afr. 2: 457 1871",,,,,,,wfo-0001081414,3861166,,
c0913d44-8fcd-11eb-924d-9cd76263cbd0,species,ignatii-bolivari,Calvoa,,"Brenan & Guinea",,,,,,,,,,,wfo-0001081415,,,
b4db0314-8fd1-11eb-924d-9cd76263cbd0,species,integrifolia,Calvoa,,Cogn.,,1891,,"Monogr. Phan. 7: 525 1891",,,,,,566958-1,wfo-0001233414,3861155,,
1d245596-8fbf-11eb-924d-9cd76263cbd0,species,jacques-felixii,Calvoa,,Figueiredo,,2001,,"Bot. J. Linn. Soc. 136(2): 196 (2001) 2001",,Q43303914,,,,1021063-1,wfo-0000158048,3861148,,
b4dbb02a-8fd1-11eb-924d-9cd76263cbd0,species,leonardii,Calvoa,,Jacq.-Fél.,,1974,,"Bull. Jard. Bot. État Brux. 44: 167 1974",,Q55776056,,,,566959-1,wfo-0001233420,8918805,,
ab225c04-8fcd-11eb-924d-9cd76263cbd0,species,maculata,Calvoa,,M.E.Leal,,2005,,"Blumea 50(3): 473–475, photo 2005",,Q55791826,,,,77069508-1,wfo-0001032920,3861129,,
4599850a-8fbf-11eb-924d-9cd76263cbd0,species,molleri,Calvoa,,Gilg,,,,"in Engl. Monogr. Afr. Pfl. ii. 31.",,,,,,566960-1,wfo-0000158985,3861120,,
c0915716-8fcd-11eb-924d-9cd76263cbd0,species,monticola,Calvoa,,"A.Chev. ex Hutch. & Dalziel",,1927,,"Fl. W. Trop. Afr. 1: 209 1927",,,,,,,wfo-0001081416,3861102,,
bf61cb14-8fcd-11eb-924d-9cd76263cbd0,species,orientalis,Calvoa,,Taub.,,1895,,"Pflanzenw. Ost-Afrikas C: 296 1895",,,,,,566964-1,wfo-0001078728,3861095,,
c091732c-8fcd-11eb-924d-9cd76263cbd0,species,polychaeta,Calvoa,,Guinea,,,,,,,,,,,wfo-0001081417,8070274,,
c0918cfe-8fcd-11eb-924d-9cd76263cbd0,species,pulcherrima,Calvoa,,"Gilg ex Engl.",,1921,,"Pflanzenw. Afr. 3(2): 757 1921",,,,,,566966-1,wfo-0001081418,3861077,,
45b131aa-8fbf-11eb-924d-9cd76263cbd0,species,robusta,Calvoa,,Cogn.,,1908,,"Bol. Soc. Brot. 24: 240 1908-1909",,,,,,566967-1,wfo-0000158987,3861068,,
c091a9d2-8fcd-11eb-924d-9cd76263cbd0,species,rosularis,Calvoa,,"Gilg ex Engl.",,1921,,"Veg. Erde 9: 759 1921",,,,,,566969-1,wfo-0001081419,3861056,,
c091c638-8fcd-11eb-924d-9cd76263cbd0,species,sapinii,Calvoa,,"De Wild.",,,,,,,,,,,wfo-0001081420,3861045,,
c091e32a-8fcd-11eb-924d-9cd76263cbd0,species,seretii,Calvoa,,"De Wild.",,,,,,,,,,,wfo-0001081421,3861037,,
c94ff97c-9a07-11eb-a8a2-19ed5c03f8d3,subspecies,wildemaniana,Calvoa,seretii,"(Exell) Figueiredo",,2001,,"Bot. J. Linn. Soc. 136(2): 196 (2001):",,Q43303914,,,,1021062-1,,,,
c091ffb8-8fcd-11eb-924d-9cd76263cbd0,species,sessiliflora,Calvoa,,"Cogniaux ex De Wildema",,1899,,"Ann. Mus. Congo, Ser. 1, Bot. 1: 22 1899",,,,,,,wfo-0001081422,,,
b4db5b34-8fd1-11eb-924d-9cd76263cbd0,species,sinuata,Calvoa,,Hook.f.,,1871,,"Fl. Trop. Afr. 2: 457 1871",,,,,,,wfo-0001233417,3861010,,
d8d6bc48-8fbf-11eb-924d-9cd76263cbd0,species,sitaeana,Calvoa,,Jacq.-F,,1981,,"Bull. Mus. Natl. Hist. Nat., B, Adansonia S 1981",,,,,,897191-1,wfo-0000162468,3861004,,
c0921c1e-8fcd-11eb-924d-9cd76263cbd0,species,sitaena,Calvoa,,Jacq.-Fél.,,,,,,,,,,,wfo-0001081423,7918270,,
c09237b2-8fcd-11eb-924d-9cd76263cbd0,species,stenophylla,Calvoa,,Jacq.-Fél.,,,,,,,,,,,wfo-0001081424,7418552,,
b4dacb88-8fd1-11eb-924d-9cd76263cbd0,species,subquinquenervia,Calvoa,,"De Wild.",,1922,,"Pl. Bequaert. 1: 384 1922",,,,,,566974-1,wfo-0001233412,3860986,,
b1114a72-8fd1-11eb-924d-9cd76263cbd0,species,superba,Calvoa,,A.Chev.,,1920,,"Explor. Bot. Afrique Occ. Franc. 275 1920",,,,,,566975-1,wfo-0001226566,3860980,,
c0925508-8fcd-11eb-924d-9cd76263cbd0,species,trochainii,Calvoa,,Jacq.-Fél.,,1938,,"Bull. Mus. Natl. Hist. Nat., sér. 2 10: 639 1938",,,,,,566976-1,wfo-0001081425,8978076,,
45bbf806-8fbf-11eb-924d-9cd76263cbd0,species,uropetala,Calvoa,,Mildbr.,,1937,,"Mildbr. in Notizbl. Bot. Gart. Berlin xiii. 701 (1937), descr.",,,,,,566978-1,wfo-0000158988,3860960,,
c09271b4-8fcd-11eb-924d-9cd76263cbd0,species,wildemaniana,Calvoa,,Exell,,,,,,,,,,,wfo-0001081426,3860956,,
c0928eba-8fcd-11eb-924d-9cd76263cbd0,species,zenkeri,Calvoa,,"Gilg ex Engl.",,1921,,"Veg. Erde 9: 757 1921",,,,,,566980-1,wfo-0001081427,3860945,,
