id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e1110668-8fd1-11eb-924d-9cd76263cbd0,genus,Calycobolus,,,"Willd. ex Schult.","Q76353,Q78881",1819,,"Syst. Veg. (ed. 15 bis) 5: II, 4. 1819.",,,,,,11810-1,wfo-4000006235,7324273,,
b173feaa-8fbe-11eb-924d-9cd76263cbd0,species,acuminatus,Calycobolus,,Heine,Q625668,1963,,"Kew Bull. xvi. 388 (1963)",,Q55783621,,,,265605-1,wfo-0000155440,3680198,,
b17e6782-8fbe-11eb-924d-9cd76263cbd0,species,acutus,Calycobolus,,Heine,Q625668,1963,,"Kew Bull. xvi. 388 (1963)",,Q55783621,,,,265606-1,wfo-0000155441,3680190,,
db71ecf4-8fd1-11eb-924d-9cd76263cbd0,species,africanus,Calycobolus,,"(G.Don) Heine","Q1381245,Q625668",1963,,"Kew Bull. 15: 388 1963",,Q55783621,,,,265607-1,wfo-0001297856,7365967,,
b7a72626-8fbe-11eb-924d-9cd76263cbd0,species,amazonicus,Calycobolus,,House,Q3139666,1907,,"Bull. Torrey Bot. Club 34: 145 1907",,Q55766955,,,,42961-2,wfo-0000155593,3680159,,
dbfc3594-8fd1-11eb-924d-9cd76263cbd0,species,bampsianus,Calycobolus,,"Lejoly & Lisowski","Q5928761,Q6133722",1985,,"Bull. Jard. Bot. Belg. 55(1–2): 35 1985",,Q55776495,,,,905796-1,wfo-0001298900,3680153,,
b192bae8-8fbe-11eb-924d-9cd76263cbd0,species,breviflorus,Calycobolus,,Heine,Q625668,1963,,"Kew Bull. xvi. 389 (1963)",,Q55783621,,,,265610-1,wfo-0000155443,3680148,,
b19d1dc6-8fbe-11eb-924d-9cd76263cbd0,species,cabrae,Calycobolus,,Heine,Q625668,1963,,"Kew Bull. xvi. 389 (1963)",,Q55783621,,,,265611-1,wfo-0000155444,3680141,,
dbf0b3fe-8fd1-11eb-924d-9cd76263cbd0,species,campanulatus,Calycobolus,,Heine,Q625668,,,,,,,,,,wfo-0001298822,7324314,,
b1a79288-8fbe-11eb-924d-9cd76263cbd0,species,claessensii,Calycobolus,,Heine,Q625668,1963,,"Kew Bull. xvi. 389 (1963)",,Q55783621,,,,265614-1,wfo-0000155445,3680122,,
b1b1ffac-8fbe-11eb-924d-9cd76263cbd0,species,cordatus,Calycobolus,,Heine,Q625668,1963,,"Kew Bull. xvi. 389 (1963)",,Q55783621,,,,265615-1,wfo-0000155446,3680118,,
dbf9b29c-8fd1-11eb-924d-9cd76263cbd0,species,emarginatus,Calycobolus,,"Willd. ex Roem. & Schult.","Q76353,Q115659,Q78881",1819,,"Syst. Veg. 5: 4 1819",,,,,,,wfo-0001298880,8081052,,
b7b18508-8fbe-11eb-924d-9cd76263cbd0,species,ferrugineus,Calycobolus,,House,Q3139666,1907,,"Bull. Torrey Bot. Club 34: 145 1907",,Q55766955,,,,42962-2,wfo-0000155594,3680098,,
