id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e127e270-8fd1-11eb-924d-9cd76263cbd0,genus,Cananga,,,"(DC.) Hook.f. & Thomson",,"Fl. Ind. 129. 1855.",,,,,1034197-2,wfo-4000006509,5407582,
bc6a15b6-8fcc-11eb-924d-9cd76263cbd0,species,blainii,Cananga,,"(Griseb.) Britton",,"Bot. Porto Rico 5: 311 1924",,,,,44312-2,wfo-0000583375,5407319,
b9f256da-8fcd-11eb-924d-9cd76263cbd0,variety,fruticosum,Cananga,blainii,"(W.G.Craib) Corner",,"Gard. Bull. Straits Settlem. 10: 15 1939",,,,,,wfo-0001066305,7579860,
bc6a335c-8fcc-11eb-924d-9cd76263cbd0,species,brandisiana,Cananga,,"(Pierre) Saff.",,"Bull. Torrey Bot. Club 39: 504 1912",,,,,,wfo-0000583376,8414628,
bc6a7114-8fcc-11eb-924d-9cd76263cbd0,species,candolleana,Cananga,,"(Schltdl.) Warm.",,"Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn 1873: 145 1873",,,,,72574-1,wfo-0000583377,5407326,
bc6ab606-8fcc-11eb-924d-9cd76263cbd0,species,caribaea,Cananga,,"(Urb.) Britton",,"Bot. Porto Rico 5: 311 1924",,,,,44313-2,wfo-0000583378,5407318,
bc6b003e-8fcc-11eb-924d-9cd76263cbd0,species,fruticosa,Cananga,,Craib,,"Bull. Misc. Inform. Kew 1922: 166 1922",,,,,,wfo-0000583379,7921128,
bc6b3e0a-8fcc-11eb-924d-9cd76263cbd0,species,klotzschiana,Cananga,,"(Mart.) Warm.",,"Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn 1873: 145 1873",,,,,72576-1,wfo-0000583381,5407324,
bc6b5b9c-8fcc-11eb-924d-9cd76263cbd0,species,lancea,Cananga,,"Poit. ex DC.",,"Syst. Nat. 1: 506 1817",,,,,72577-1,wfo-0000583382,8237925,
bc6b75f0-8fcc-11eb-924d-9cd76263cbd0,species,latifolia,Cananga,,"(Hook.f. & Thomson) Finet & Gagnep.",,"Bull. Soc. Bot. France 53(4): 84 1906",,,,,72578-1,wfo-0000583383,5407587,
