id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e12daa5c-8fd1-11eb-924d-9cd76263cbd0,genus,Caperonia,,,A.St.-Hil.,0,1825,,"Hist. Pl. Remarq. Brésil : 244 (1825)",,,,,,urn:lsid:ipni.org:names:325948-2,wfo-4000006582,8152018,,
33796ef4-8fcd-11eb-924d-9cd76263cbd0,species,acalyphifolia,Caperonia,,Griseb.,0,1879,,"Abh. Königl. Ges. Wiss. Göttingen 24: 58 (1879)",,,,,,urn:lsid:ipni.org:names:340361-1,wfo-0000801138,3919379,,
337ac858-8fcd-11eb-924d-9cd76263cbd0,species,aculeolata,Caperonia,,Müll.Arg.,0,1865,,"Linnaea 34: 152 (1865)",,,Q5976761,,,urn:lsid:ipni.org:names:340362-1,wfo-0000801149,3055051,,
20fe4066-8fcc-11eb-924d-9cd76263cbd0,species,altissima,Caperonia,,Eskuche,0,2002,,"Candollea 57: 288 (2002)",,,,,,urn:lsid:ipni.org:names:325947-2,wfo-0000343947,3054963,,
337bfa16-8fcd-11eb-924d-9cd76263cbd0,species,angusta,Caperonia,,S.F.Blake,0,1924,,"J. Washington Acad. Sci. 14: 188 (1924)",,Q96058141,,,,urn:lsid:ipni.org:names:44523-2,wfo-0000801159,3054973,,
337cf7b8-8fcd-11eb-924d-9cd76263cbd0,species,angustissima,Caperonia,,Klotzsch,0,1843,,"London J. Bot. 2: 50 (1843)",,,,,,urn:lsid:ipni.org:names:340364-1,wfo-0000801168,3054980,,
337e21ec-8fcd-11eb-924d-9cd76263cbd0,species,bahiensis,Caperonia,,Müll.Arg.,0,1874,,"Fl. Bras. 11(2): 325 (1874)",,,Q5460282,,,urn:lsid:ipni.org:names:340365-1,wfo-0000801179,3054991,,
337f9ac2-8fcd-11eb-924d-9cd76263cbd0,form,angustior,Caperonia,bahiensis,"Chodat & Hassl.",0,1905,,"Bull. Herb. Boissier , sér. 2, 5: 503 (1905)",,,Q2378336,,,urn:lsid:ipni.org:names:44526-2,wfo-0000801190,3054994,,
3381289c-8fcd-11eb-924d-9cd76263cbd0,form,latior,Caperonia,bahiensis,"Chodat & Hassl.",0,1905,,"Bull. Herb. Boissier , sér. 2, 5: 503 (1905)",,,Q2378336,,,urn:lsid:ipni.org:names:44527-2,wfo-0000801201,3055034,,
33827436-8fcd-11eb-924d-9cd76263cbd0,species,buchananii,Caperonia,,Baker,0,1912,,"Bull. Misc. Inform. Kew 1912: 103 (1912)",,Q55778474,Q5735532,,,urn:lsid:ipni.org:names:340366-1,wfo-0000801211,3055025,,
3383c9d0-8fcd-11eb-924d-9cd76263cbd0,species,buettneriacea,Caperonia,,Müll.Arg.,0,1874,,"Fl. Bras. 11(2): 320 (1874)",,,Q5460282,,,urn:lsid:ipni.org:names:340367-1,wfo-0000801222,3055066,,
20fe5ee8-8fcc-11eb-924d-9cd76263cbd0,species,capiibariensis,Caperonia,,Eskuche,0,2002,,"Candollea 57: 290 (2002)",,,,,,urn:lsid:ipni.org:names:325950-2,wfo-0000343948,3054990,,
3385613c-8fcd-11eb-924d-9cd76263cbd0,species,castaneifolia,Caperonia,,"(L.) A.St.-Hil.",0,1825,,"Hist. Pl. Remarq. Brésil : 245 (1825)",,,,,,urn:lsid:ipni.org:names:44529-2,wfo-0000801233,3054965,,
3386646a-8fcd-11eb-924d-9cd76263cbd0,species,castaneifolia,Caperonia,,Miq.,0,1848,,"Linnaea 21: 478 (1848)",,,Q5976761,,,urn:lsid:ipni.org:names:340368-1,wfo-0000801242,8255261,,
33878f8e-8fcd-11eb-924d-9cd76263cbd0,form,succulenta,Caperonia,castaneifolia,Wawra,0,1866,,"Bot. Ergebn. 32 1866",,,,,,,wfo-0000801251,3054992,,
3388a996-8fcd-11eb-924d-9cd76263cbd0,species,castro-barrosiana,Caperonia,,"Paula & J.L.H.Alves",0,1978,,"Rodriguésia 30(46): 164 (1978)",,,,,,urn:lsid:ipni.org:names:44530-2,wfo-0000801261,3054988,,
338a53a4-8fcd-11eb-924d-9cd76263cbd0,species,chevalieri,Caperonia,,Beille,0,1908,,"Mém. Soc. Bot. France 8: 73 (1908)",,Q55756922,,,,urn:lsid:ipni.org:names:340371-1,wfo-0000801272,3055010,,
338b9b9c-8fcd-11eb-924d-9cd76263cbd0,species,chiltepecensis,Caperonia,,Croizat,0,1943,,"J. Washington Acad. Sci. 33: 15 (1943)",,Q96068054,,,,urn:lsid:ipni.org:names:44531-2,wfo-0000801283,3054989,,
338db292-8fcd-11eb-924d-9cd76263cbd0,species,corchoroides,Caperonia,,Müll.Arg.,0,1865,,"Linnaea 34: 153 (1865)",,,Q5976761,,,urn:lsid:ipni.org:names:340373-1,wfo-0000801294,3055027,,
338ed2e4-8fcd-11eb-924d-9cd76263cbd0,species,cordata,Caperonia,,A.St.-Hil.,0,1825,,"Hist. Pl. Remarq. Brésil : 245 (1825)",,,,,,urn:lsid:ipni.org:names:340374-1,wfo-0000801304,3054998,,
6cc27cce-1d4d-11ec-82c2-f14daa6f2d93,variety,genuina,Caperonia,cordata,"Pax & K.Hoffm.",,1911,,"Pflanzenr. , IV, 147, VI: 43 (1911)",,,,,,urn:lsid:ipni.org:names:44534-2,wfo-0001379856,,,
339144a2-8fcd-11eb-924d-9cd76263cbd0,variety,mollis,Caperonia,cordata,"Pax & K.Hoffm.",0,1911,,"Pflanzenr. , IV, 147, VI: 43 (1911)",,,,,,urn:lsid:ipni.org:names:44535-2,wfo-0000801325,3055000,,
3392bd00-8fcd-11eb-924d-9cd76263cbd0,species,cubana,Caperonia,,"Pax & K.Hoffm.",0,1912,,"Pflanzenr. , IV, 147, VI: 36 (1912)",,,,,,urn:lsid:ipni.org:names:44536-2,wfo-0000801336,3055020,,
33942122-8fcd-11eb-924d-9cd76263cbd0,species,cubensis,Caperonia,,M.R.Schomb.,0,1912,,"Pflanzenr. (Engler) 4, Fam. 147.VI: 31. 1912",,,,,,urn:lsid:ipni.org:names:44537-2,wfo-0000801347,3054976,,
33956e60-8fcd-11eb-924d-9cd76263cbd0,species,fistulosa,Caperonia,,Beille,0,1908,,"Mém. Soc. Bot. France 8: 73 (1908)",,Q55756922,,,,urn:lsid:ipni.org:names:340377-1,wfo-0000801358,3055023,,
3e18c84c-1d4d-11ec-82c2-f14daa6f2d93,variety,pubescens,Caperonia,fistulosa,J.Léonard,,,,,,,,,,,wfo-0001316033,,,
3396cb70-8fcd-11eb-924d-9cd76263cbd0,species,gallabatensis,Caperonia,,"Par & K.Hoffm.",0,1912,,"Pflanzenr. (Engler) Euphorb.-Chrozoph. 39 (1912).",,,,,,urn:lsid:ipni.org:names:340378-1,wfo-0000801369,3055009,,
339832da-8fcd-11eb-924d-9cd76263cbd0,species,gardneri,Caperonia,,Müll.Arg.,0,1874,,"Fl. Bras. 11(2): 321 (1874)",,,Q5460282,,,urn:lsid:ipni.org:names:340379-1,wfo-0000801379,3055064,,
339b4aba-8fcd-11eb-924d-9cd76263cbd0,species,glabrata,Caperonia,,"Pax & K.Hoffm.",0,1912,,"Pflanzenr. , IV, 147, VI: 43 (1912)",,,,,,urn:lsid:ipni.org:names:44539-2,wfo-0000801389,3054997,,
339da29c-8fcd-11eb-924d-9cd76263cbd0,species,heteropetala,Caperonia,,Didr.,0,1857,,"Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn 1857: 148 (1857)",,,,,,urn:lsid:ipni.org:names:340381-1,wfo-0000801399,3055035,,
33a01fae-8fcd-11eb-924d-9cd76263cbd0,variety,brevifolia,Caperonia,heteropetala,"(Baill.) Müll.Arg.",0,1866,,"Prodr. 15(2): 752 (1866)",,,Q2712448,,,urn:lsid:ipni.org:names:44541-2,wfo-0000801411,3055056,,
33a16b34-8fcd-11eb-924d-9cd76263cbd0,variety,elliptica,Caperonia,heteropetala,Müll.Arg.,0,1865,,"Linnaea 34: 152 (1865)",,,Q5976761,,,urn:lsid:ipni.org:names:44542-2,wfo-0000801421,3055052,,
6cc2a26c-1d4d-11ec-82c2-f14daa6f2d93,variety,genuina,Caperonia,heteropetala,Müll.Arg.,,1865,,"Linnaea 34: 152 (1865)",,,Q5976761,,,urn:lsid:ipni.org:names:44543-2,wfo-0001379857,,,
33a39558-8fcd-11eb-924d-9cd76263cbd0,variety,lanceolata,Caperonia,heteropetala,Müll.Arg.,0,1865,,"Linnaea 34: 152 (1865)",,,Q5976761,,,urn:lsid:ipni.org:names:44544-2,wfo-0000801439,3055047,,
33a48ee0-8fcd-11eb-924d-9cd76263cbd0,variety,major,Caperonia,heteropetala,"(Müll.Arg.) Pax",0,1874,,"Fl. Bras. 11(2): 320 1874",,,Q5460282,,,urn:lsid:ipni.org:names:1061047-2,wfo-0000801448,8120200,,
33a5b3e2-8fcd-11eb-924d-9cd76263cbd0,variety,oblongifolia,Caperonia,heteropetala,Pax,0,1874,,"Pflanzenr. (Engler) 4, Fam. 147.VI: 47. 1912",,,,,,urn:lsid:ipni.org:names:44546-2,wfo-0000801459,3055048,,
33a702ba-8fcd-11eb-924d-9cd76263cbd0,species,heteropetaloides,Caperonia,,Müll.Arg.,0,1865,,"Linnaea 34: 152 (1865)",,,Q5976761,,,urn:lsid:ipni.org:names:340382-1,wfo-0000801469,3055049,,
6cc2c6ac-1d4d-11ec-82c2-f14daa6f2d93,variety,genuina,Caperonia,heteropetaloides,Müll.Arg.,,1874,,"Fl. Bras. 11(2): 320 (1874)",,,Q5460282,,,urn:lsid:ipni.org:names:44548-2,wfo-0001379858,,,
2f44e82c-8fcd-11eb-924d-9cd76263cbd0,variety,lanceolata,Caperonia,heteropetaloides,Müll.Arg.,0,1874,,"Fl. Bras. 11(2): 320 (1874)",,,Q5460282,,,urn:lsid:ipni.org:names:44549-2,wfo-0000792122,3055037,,
2f4504ba-8fcd-11eb-924d-9cd76263cbd0,variety,major,Caperonia,heteropetaloides,Müll.Arg.,0,1874,,"Fl. Bras. 11(2): 320 (1874)",,,Q5460282,,,urn:lsid:ipni.org:names:44550-2,wfo-0000792123,3055041,,
2f451eaa-8fcd-11eb-924d-9cd76263cbd0,variety,oblongifolia,Caperonia,heteropetaloides,Müll.Arg.,0,1874,,"Fl. Bras. 11(2): 319 (1874)",,,Q5460282,,,urn:lsid:ipni.org:names:44551-2,wfo-0000792124,3055046,,
33a830fe-8fcd-11eb-924d-9cd76263cbd0,species,hirtella,Caperonia,,Beille,0,1908,,"Mém. Soc. Bot. France 8: 73 (1908)",,Q55756922,,,,urn:lsid:ipni.org:names:340383-1,wfo-0000801480,3055024,,
b259045a-8fcd-11eb-924d-9cd76263cbd0,species,hyareix,Caperonia,,"Pax & K.Hoffm.",0,,,,,,,,,,wfo-0001049036,7921185,,
33a9b0c8-8fcd-11eb-924d-9cd76263cbd0,species,hystrix,Caperonia,,"Pax & K.Hoffm.",0,1912,,"Pflanzenr. , IV, 147, VI: 41 (1912)",,,,,,urn:lsid:ipni.org:names:44552-2,wfo-0000801491,3055063,,
33ab11fc-8fcd-11eb-924d-9cd76263cbd0,species,langsdorffii,Caperonia,,Müll.Arg.,0,1874,,"Fl. Bras. 11(2): 319 (1874)",,,Q5460282,,,urn:lsid:ipni.org:names:340385-1,wfo-0000801502,3054983,,
33ace1c6-8fcd-11eb-924d-9cd76263cbd0,variety,lanceolata,Caperonia,langsdorffii,Müll.Arg.,0,1874,,"Fl. Bras. 11(2): 319 (1874)",,,Q5460282,,,urn:lsid:ipni.org:names:44554-2,wfo-0000801513,3054985,,
33ae5326-8fcd-11eb-924d-9cd76263cbd0,variety,oblongifolia,Caperonia,langsdorffii,Müll.Arg.,0,1874,,"Fl. Bras. 11(2): 319 (1874)",,,Q5460282,,,urn:lsid:ipni.org:names:44555-2,wfo-0000801524,3054984,,
33b0366e-8fcd-11eb-924d-9cd76263cbd0,species,latifolia,Caperonia,,Pax,0,1892,,"Bol. Soc. Brot. 10: 159 (1892)",,,,,,urn:lsid:ipni.org:names:44556-2,wfo-0000801534,3055068,,
33b1658e-8fcd-11eb-924d-9cd76263cbd0,species,latior,Caperonia,,"Pax & K.Hoffm.",0,1912,,"Pflanzenr. , IV, 147, VI: 34 (1912)",,,,,,urn:lsid:ipni.org:names:44557-2,wfo-0000801543,3055033,,
33b241d4-8fcd-11eb-924d-9cd76263cbd0,species,liebmanniana,Caperonia,,"Didr. ex Pax",0,1912,,"Pflanzenr. , IV, 147, VI: 33 (1912)",,,,,,urn:lsid:ipni.org:names:44558-2,wfo-0000801551,3055013,,
33b385f8-8fcd-11eb-924d-9cd76263cbd0,species,linearifolia,Caperonia,,A.St.-Hil.,0,1825,,"Hist. Pl. Remarq. Brésil : 246 (1825)",,,,,,urn:lsid:ipni.org:names:340389-1,wfo-0000801560,3055060,,
33b4d0c0-8fcd-11eb-924d-9cd76263cbd0,species,lutea,Caperonia,,"Pax & K.Hoffm.",0,1912,,"Pflanzenr. , IV, 147, VI: 45 (1912)",,,,,,urn:lsid:ipni.org:names:44560-2,wfo-0000801571,3054964,,
33b632c6-8fcd-11eb-924d-9cd76263cbd0,species,macrocarpa,Caperonia,,"Pax & K.Hoffm.",0,1912,,"Pflanzenr. , IV, 147, VI: 39 (1912)",,,,,,urn:lsid:ipni.org:names:340391-1,wfo-0000801581,3055069,,
33b791f2-8fcd-11eb-924d-9cd76263cbd0,species,multicostata,Caperonia,,Müll.Arg.,0,1873,,"Fl. Bras. 11(2): 23 (1873)",,,Q5460282,,,urn:lsid:ipni.org:names:340392-1,wfo-0000801591,3054961,,
33b8bf50-8fcd-11eb-924d-9cd76263cbd0,species,neglecta,Caperonia,,G.L.Webster,0,1967,,"Ann. Missouri Bot. Gard. 15: 192 (1967)",,Q55764842,Q2530335,,,urn:lsid:ipni.org:names:44562-2,wfo-0000801600,3054982,,
33ba5a90-8fcd-11eb-924d-9cd76263cbd0,species,nervosa,Caperonia,,A.Rich.,0,1850,,"Hist. Fis. Cuba, Bot. 11: 213 (1850)",,,,,,urn:lsid:ipni.org:names:340394-1,wfo-0000801614,3054979,,
33bb9702-8fcd-11eb-924d-9cd76263cbd0,species,paludosa,Caperonia,,Klotzsch,0,1843,,"London J. Bot. 2: 51 (1843)",,,,,,urn:lsid:ipni.org:names:340395-1,wfo-0000801625,3054975,,
33bcd9e6-8fcd-11eb-924d-9cd76263cbd0,species,palustris,Caperonia,,A.St.-Hil.,0,1825,,"Hist. Pl. Remarq. Bresil 245.",,,,,,urn:lsid:ipni.org:names:340396-1,wfo-0000801636,3055012,,
44b19ae4-1d4d-11ec-82c2-f14daa6f2d93,form,foliis-elipticis,Caperonia,palustris,Hassl.,,1909,,"Trab. Mus. Farmacol. 21: 74. 1909",,,,,,urn:lsid:ipni.org:names:293995-2,wfo-0001325264,,,
44b1744c-1d4d-11ec-82c2-f14daa6f2d93,form,foliis-oblongis,Caperonia,palustris,Hassl.,,1909,,"Trab. Mus. Farmacol. 21: 74. 1909",,,,,,urn:lsid:ipni.org:names:293994-2,wfo-0001325263,,,
2f4538f4-8fcd-11eb-924d-9cd76263cbd0,variety,inflata,Caperonia,palustris,Griseb.,0,1912,,"Pflanzenr. , IV, 147 VI: 36 (1912)",,,,,,urn:lsid:ipni.org:names:44565-2,wfo-0000792125,3055021,,
33bdcca2-8fcd-11eb-924d-9cd76263cbd0,variety,linearifolia,Caperonia,palustris,"Standl. & L.O.Williams",0,1950,,"Ceiba 1: 148 (1950)",,Q103981505,,,,urn:lsid:ipni.org:names:44566-2,wfo-0000801644,3055019,,
33bf0bbc-8fcd-11eb-924d-9cd76263cbd0,variety,linearis,Caperonia,palustris,"Standl. & L.O.Williams",0,1950,,"Ceiba 1: 148 1950",,,,,,,wfo-0000801655,3055017,,
33c0054e-8fcd-11eb-924d-9cd76263cbd0,species,panamensis,Caperonia,,Klotzsch,0,1853,,"Bot. Voy. Herald : 103 (1853)",,,,,,urn:lsid:ipni.org:names:340398-1,wfo-0000801664,3054970,,
33c14c2e-8fcd-11eb-924d-9cd76263cbd0,species,panamensis,Caperonia,,"Pax & K.Hoffm.",0,1914,,"Pflanzenr. , IV, 147, VII: 424 (1914)",,,,,,urn:lsid:ipni.org:names:44567-2,wfo-0000801675,8401514,,
33c248cc-8fcd-11eb-924d-9cd76263cbd0,species,paraguayensis,Caperonia,,"Pax & K.Hoffm.",0,1912,,"Pflanzenr. , IV, 147, VI: 35 (1912)",,,,,,urn:lsid:ipni.org:names:44568-2,wfo-0000801684,3055057,,
33c38340-8fcd-11eb-924d-9cd76263cbd0,species,pubescens,Caperonia,,S.F.Blake,0,1922,,"Contr. U.S. Natl. Herb. 24: 12 (1922)",,Q95371747,,,,urn:lsid:ipni.org:names:44569-2,wfo-0000801695,3055011,,
33c47a98-8fcd-11eb-924d-9cd76263cbd0,species,regnellii,Caperonia,,Müll.Arg.,0,1874,,"Fl. Bras. 11(2): 321 (1874)",,,Q5460282,,,urn:lsid:ipni.org:names:340402-1,wfo-0000801704,3054995,,
33c5c65a-8fcd-11eb-924d-9cd76263cbd0,species,rutenbergii,Caperonia,,Müll.Arg.,0,1880,,"Bremen Abh. 7: 25 (1880)",,,,,,urn:lsid:ipni.org:names:340403-1,wfo-0000801715,3055070,,
33c70c86-8fcd-11eb-924d-9cd76263cbd0,species,senegalensis,Caperonia,,Müll.Arg.,0,1865,,"Linnaea 34: 153 (1865)",,,Q5976761,,,urn:lsid:ipni.org:names:340404-1,wfo-0000801724,3055007,,
33c824d6-8fcd-11eb-924d-9cd76263cbd0,species,serrata,Caperonia,,C.Presl,0,1851,,"Epimel. Bot. : 213 (1851)",,,,,,urn:lsid:ipni.org:names:340406-1,wfo-0000801734,3055003,,
33c9504a-8fcd-11eb-924d-9cd76263cbd0,species,similis,Caperonia,,"Pax & K.Hoffm.",0,1919,,"Pflanzenr. , IV, 147, XIV: 6 (1919)",,,,,,urn:lsid:ipni.org:names:44571-2,wfo-0000801745,3054987,,
33ca132c-8fcd-11eb-924d-9cd76263cbd0,species,spinosa,Caperonia,,Endl.,0,1912,,"Pflanzenr. (Engler) 4, Fam. 147.VI: 47. 1912",,,,,,urn:lsid:ipni.org:names:44572-2,wfo-0000801752,3055053,,
33cb157e-8fcd-11eb-924d-9cd76263cbd0,species,stenomeres,Caperonia,,S.F.Blake,0,1924,,"J. Washington Acad. Sci. 14: 288 (1924)",,Q96058141,,,,urn:lsid:ipni.org:names:44573-2,wfo-0000801761,3054972,,
33cc47be-8fcd-11eb-924d-9cd76263cbd0,species,stenophylla,Caperonia,,Müll.Arg.,0,1874,,"Fl. Bras. 11(2): 326 (1874)",,,Q5460282,,,urn:lsid:ipni.org:names:340410-1,wfo-0000801772,3055030,,
33ce0ca2-8fcd-11eb-924d-9cd76263cbd0,species,stuhlmannii,Caperonia,,Pax,0,1894,,"Bot. Jahrb. Syst. 19: 81 (1894)",,,Q5732642,,,urn:lsid:ipni.org:names:850884-1,wfo-0000801782,3055058,,
33cf0f4e-8fcd-11eb-924d-9cd76263cbd0,species,subrotunda,Caperonia,,Chiov.,0,1916,,"Res. Sci. Somalia Ital. 1: 220 (1916)",,,,,,urn:lsid:ipni.org:names:340411-1,wfo-0000801791,3055032,,
33cff666-8fcd-11eb-924d-9cd76263cbd0,species,vellozoana,Caperonia,,Müll.Arg.,0,1874,,"Fl. Bras. 11(2): 323 (1874)",,,Q5460282,,,urn:lsid:ipni.org:names:340412-1,wfo-0000801799,6289577,,
33d1290a-8fcd-11eb-924d-9cd76263cbd0,species,zaponzeta,Caperonia,,Mansf.,0,1925,,"Notizbl. Bot. Gart. Berlin-Dahlem 9: 265 (1925)",,Q55777169,,,,urn:lsid:ipni.org:names:44576-2,wfo-0000801810,3055026,,
bd31941a-8fcc-11eb-924d-9cd76263cbd0,species,integrifolia,Capethia,,"(DC.) Britton",0,1891,,"Ann. New York Acad. Sci. 6: 234 (1891)",,,,,,urn:lsid:ipni.org:names:44577-2,wfo-0000584224,3925796,,
bd31b008-8fcc-11eb-924d-9cd76263cbd0,species,weddellii,Capethia,,Britton,0,1892,,"Ann. New York Acad. Sci. 6: 235 (1892)",,,,,,urn:lsid:ipni.org:names:44578-2,wfo-0000584225,3925784,,
