id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e1472bda-8fd1-11eb-924d-9cd76263cbd0,genus,Cassupa,,,Bonpl.,,"Pl. Aequinoct. 1: 43, t. 12. 1808[1806]. (22 Sept 1806)",,,,,,wfo-4000006918,2919954,
380d65ce-8fcd-11eb-924d-9cd76263cbd0,species,alba,Cassupa,,"K.Schum. & K.Krause",,"Bot. Jahrb. Syst. 40: 322 1908",,,,,745859-1,wfo-0000810832,2903551,
d7a53b52-8fcd-11eb-924d-9cd76263cbd0,species,coriacia,Cassupa,,K.Schum.,,,,,,,,wfo-0001132068,7698813,
380e768a-8fcd-11eb-924d-9cd76263cbd0,species,juruana,Cassupa,,"K.Schum. & K.Krause",,"Verh. Bot. Vereins Prov. Brandenburg 50: 97 1908",,,,,745860-1,wfo-0000810842,2903547,
380fbbee-8fcd-11eb-924d-9cd76263cbd0,species,laevis,Cassupa,,Triana,,"Ann. Sci. Nat., Bot. IV, 9: 44 1858",,,,,274181-2,wfo-0000810854,2903550,
3810f2de-8fcd-11eb-924d-9cd76263cbd0,variety,chocoensis,Cassupa,laevis,Triana,,"Ann. Sci. Nat., Bot. IV, 9: 44 1858",,,,,,wfo-0000810865,2903521,
38122d5c-8fcd-11eb-924d-9cd76263cbd0,species,panamensis,Cassupa,,Standl.,,"Contr. U. S. Natl. Herb. 18: 135 1916",,,,,49241-2,wfo-0000810876,2903558,
381345fc-8fcd-11eb-924d-9cd76263cbd0,species,pittieri,Cassupa,,Standl.,,"Contr. U. S. Natl. Herb. 17: 455 1914",,,,,49242-2,wfo-0000810886,2903520,
38146f5e-8fcd-11eb-924d-9cd76263cbd0,species,scarlatina,Cassupa,,"K.Schum. & K.Krause",,"Verh. Bot. Vereins Prov. Brandenburg 50: 98 1908",,,,,745864-1,wfo-0000810897,2903529,
3815a1d0-8fcd-11eb-924d-9cd76263cbd0,species,verrucosa,Cassupa,,"Humb. & Bonpl.",,"Pl. Aequinoct. 1: 43 1806",,,,,745865-1,wfo-0000810908,2903562,
