id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e14f5e0e-8fd1-11eb-924d-9cd76263cbd0,genus,Cathedra,,,Miers,,"Ann. Mag. Nat. Hist., ser. 2 7: 452. 1852. (Jun 1852)",,,,,28150-1,wfo-4000007006,3232586,
c11235a8-8fcc-11eb-924d-9cd76263cbd0,species,acuminata,Cathedra,,"(Benth.) Miers",,"Ann. Mag. Nat. Hist. III, 4: 361 1859",,,,,607671-1,wfo-0000590949,8137356,
c11254c0-8fcc-11eb-924d-9cd76263cbd0,species,aestuaria,Cathedra,,Sleumer,,"Repert. Spec. Nov. Regni Veg. 39: 279 1936",,,,,50077-2,wfo-0000590950,7994544,
c1126f6e-8fcc-11eb-924d-9cd76263cbd0,species,bahiensis,Cathedra,,Sleumer,,"Fl. Neotrop. Monogr. 38: 111 1984",,,,,50078-2,wfo-0000590951,8041063,
c112a3f8-8fcc-11eb-924d-9cd76263cbd0,species,caurensis,Cathedra,,Pittier,,"Bol. Soc. Venez. Ci. Nat. 6: 5 1940",,,,,607673-1,wfo-0000590953,7679884,
c112c16c-8fcc-11eb-924d-9cd76263cbd0,species,crassifolia,Cathedra,,Miers,,"Ann. Mag. Nat. Hist. III, 4: 361 1859",,,,,607674-1,wfo-0000590954,7509200,
c112e282-8fcc-11eb-924d-9cd76263cbd0,species,gardneriana,Cathedra,,Miers,,"Ann. Mag. Nat. Hist. II, 7: 459 1851",,,,,607675-1,wfo-0000590955,7464931,
c112fefc-8fcc-11eb-924d-9cd76263cbd0,species,grandiflora,Cathedra,,Loes.,,"Flora 72: 75 1889",,,,,50080-2,wfo-0000590956,7725225,
c1131ba8-8fcc-11eb-924d-9cd76263cbd0,species,guianensis,Cathedra,,Sandwith,,"Kew Bull. 10: 469 1955",,,,,50081-2,wfo-0000590957,7818915,
c113394e-8fcc-11eb-924d-9cd76263cbd0,species,inaequilatera,Cathedra,,Sleumer,,"Repert. Spec. Nov. Regni Veg. 39: 280 1936",,,,,50082-2,wfo-0000590958,7374137,
c1135668-8fcc-11eb-924d-9cd76263cbd0,species,oblonga,Cathedra,,Sleumer,,"Repert. Spec. Nov. Regni Veg. 39: 280 1936",,,,,50083-2,wfo-0000590959,8193294,
c1137008-8fcc-11eb-924d-9cd76263cbd0,species,paraensis,Cathedra,,Sleumer,,"Repert. Spec. Nov. Regni Veg. 39: 281 1936",,,,,50084-2,wfo-0000590960,7773021,
c1138d54-8fcc-11eb-924d-9cd76263cbd0,species,rubricaulis,Cathedra,,Miers,,"Ann. Mag. Nat. Hist. II, 7: 458 1851",,,,,607681-1,wfo-0000590961,8290571,
