id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e1543f28-8fd1-11eb-924d-9cd76263cbd0,genus,Cautleya,,,"(Royle ex Benth.) Hook.f.",,,,"Bot. Mag. 114: , pl. 6991. 1888.",,,,,,50789142-1,wfo-4000007072,2759830,,
2744de62-8fcc-11eb-924d-9cd76263cbd0,species,cathcartii,Cautleya,,Baker,,1890,,"Fl. Brit. India 6: 208 1890",,,,,,796208-1,wfo-0000353034,5302433,,
27450e8c-8fcc-11eb-924d-9cd76263cbd0,species,gracilis,Cautleya,,"(Sm.) Dandy",,1932,,"J. Bot. 70: 328 1932",,,,,,872261-1,wfo-0000353035,5302424,,
2745421c-8fcc-11eb-924d-9cd76263cbd0,variety,gracilior,Cautleya,gracilis,"(K.Schum.) Sanjappa",,1989,,"in Fl. Ind. Enum. Monocot.: 291 1989",,,,2745a40a-8fcc-11eb-924d-9cd76263cbd0,,966304-1,wfo-0000353036,5302430,,
27456670-8fcc-11eb-924d-9cd76263cbd0,variety,robusta,Cautleya,gracilis,"(K.Schum.) Sanjappa",,1989,,"in Fl. Ind. Enum. Monocot.: 291 1989",,,,,,966305-1,wfo-0000353037,5302431,,
27458448-8fcc-11eb-924d-9cd76263cbd0,species,lutea,Cautleya,,"(Royle) Hook.f.",,,,"Bot. Mag. 114: t. 6991 1888",,,,973f838e-8fcc-11eb-924d-9cd76263cbd0,,50971694-1,wfo-0000353038,5302425,,
2745a40a-8fcc-11eb-924d-9cd76263cbd0,variety,gracilior,Cautleya,lutea,K.Schum.,,1904,,"Pflanzenr. IV, 46: 124 1904",,,,,,,wfo-0000353039,5302429,,
2745befe-8fcc-11eb-924d-9cd76263cbd0,variety,robusta,Cautleya,lutea,K.Schum.,,1904,,"Pflanzenr. IV, 46: 125 1904",,,,,,,wfo-0000353040,5302426,,
2745f914-8fcc-11eb-924d-9cd76263cbd0,species,petiolata,Cautleya,,Baker,,1890,,"Fl. Brit. India 6: 209 1890",,,,,,796209-1,wfo-0000353042,5302432,,
274615a2-8fcc-11eb-924d-9cd76263cbd0,species,robusta,Cautleya,,Baker,,1890,,"Fl. Brit. India 6: 209 1890",,,,,,796210-1,wfo-0000353043,5302422,,
2746319a-8fcc-11eb-924d-9cd76263cbd0,species,spicata,Cautleya,,"(Sm.) Baker",,1890,,"Fl. Brit. India 6: 209 1890",,,,,,796211-1,wfo-0000353044,5302421,,
6423b660-8fcb-11eb-924d-9cd76263cbd0,species,cauwenberghei,,,Linden,,1893,,"Lindenia 9: 91 1893",,,,,,639746-1,wfo-0000222182,,,
