id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e159134a-8fd1-11eb-924d-9cd76263cbd0,genus,Celosia,,,L.,1753,"Sp. Pl. 1: 205. 1753. (1 May 1753)",,,,,327360-2,wfo-4000007136,3085190,
c28675fc-8fcc-11eb-924d-9cd76263cbd0,species,acroporoides,Celosia,,"Hochst. ex Baker & C.B.Clarke",1906,"Fl. Trop. Afr. 6(1): 22 1906",,,,,,wfo-0000593005,8204929,
c28691b8-8fcc-11eb-924d-9cd76263cbd0,species,acroprosoides,Celosia,,"Hochst. ex Oliv.",1875,"Trans. Linn. Soc. London 29: 140 1875",,,,,59813-1,wfo-0000593006,3674234,
c286ae8c-8fcc-11eb-924d-9cd76263cbd0,species,adoensis,Celosia,,"Hochst. ex A.Rich.",1850,"Tent. Fl. Abyss. 2: 211 1850",,,,,59814-1,wfo-0000593007,8172798,
c286c80e-8fcc-11eb-924d-9cd76263cbd0,species,albida,Celosia,,Willd.,,"Sp. Pl. 1: 1197 1798",,,,,59816-1,wfo-0000593008,3674225,
c286e24e-8fcc-11eb-924d-9cd76263cbd0,species,allmanoides,Celosia,,Moq.,1849,"Prodr. 13(2): 243 1849",,,,,59817-1,wfo-0000593009,3674220,
c2870e4a-8fcc-11eb-924d-9cd76263cbd0,species,alomiris,Celosia,,"Sessé & Moc.",1888,"Pl. Nov. Hisp. 41 1888",,,,,,wfo-0000593010,3674213,
c2872aec-8fcc-11eb-924d-9cd76263cbd0,species,altissima,Celosia,,"Salzm. ex Moq.",1849,"Prodr. 13(2): 381 1849",,,,,59819-1,wfo-0000593011,3674209,
c28748f6-8fcc-11eb-924d-9cd76263cbd0,species,amaranthoides,Celosia,,"(Lam.) Medik.",1787,"Malvenfam. 92 1787",,,,92e87aa2-8fcc-11eb-924d-9cd76263cbd0,59820-1,wfo-0000593012,3674202,
c2876372-8fcc-11eb-924d-9cd76263cbd0,species,amphibia,Celosia,,"Salzm. ex Moq.",1849,"Prodr. 13(2): 363 1849",,,,,59821-1,wfo-0000593013,3674199,
c2878168-8fcc-11eb-924d-9cd76263cbd0,species,angustifolia,Celosia,,Schinz,1895,"Bot. Jahrb. Syst. 21: 179 1895",,,,,59822-1,wfo-0000593014,3674195,
c28822d0-8fcc-11eb-924d-9cd76263cbd0,species,anthelminthica,Celosia,,Asch.,1867,"Beitr. Fl. Aethiop. 176 1867",,,,,59823-1,wfo-0000593015,3674187,
c2884396-8fcc-11eb-924d-9cd76263cbd0,species,arborescens,Celosia,,Spreng.,1824,"Syst. Veg. 1: 815 1824",,,,,59824-1,wfo-0000593016,3674177,
c2887b40-8fcc-11eb-924d-9cd76263cbd0,species,arenaria,Celosia,,"Salzm. ex Seub.",1875,"Fl. Bras. 5(1): 170 1875",,,,,59825-1,wfo-0000593018,3674170,
c28899a4-8fcc-11eb-924d-9cd76263cbd0,species,argentea,Celosia,,L.,1753,"Sp. Pl. 205 1753",,,,,316350-2,wfo-0000593019,3085191,
8e8734da-8fcc-11eb-924d-9cd76263cbd0,form,cristata,Celosia,argentea,"(L.) Schinz",1934,"Nat. Pflanzenfam. ed. 2 16c: 29 1934",,,,,60449119-2,wfo-0000508707,6429520,
c288b786-8fcc-11eb-924d-9cd76263cbd0,variety,cristata,Celosia,argentea,"(L.) Kuntze",1891,"Revis. Gen. Pl. 1: 541 1891",,,,,1073771-2,wfo-0000593020,3085197,
c288d40a-8fcc-11eb-924d-9cd76263cbd0,species,argenteiformis,Celosia,,"(Schinz) Schinz",1934,"Nat. Pflanzenfam. ed. 2 16c: 30 1934",,,,0c998724-8fcd-11eb-924d-9cd76263cbd0,59827-1,wfo-0000593021,3674133,
c288f0c0-8fcc-11eb-924d-9cd76263cbd0,species,aspera,Celosia,,Roth,1821,"Nov. Pl. Sp. 173 1821",,,,,59828-1,wfo-0000593022,3674128,
c28911c2-8fcc-11eb-924d-9cd76263cbd0,species,aurea,Celosia,,T.Moore,1861,"Fl. Mag. (London) 1: t. 47 1861",,,,,59829-1,wfo-0000593023,3674122,
c28939ae-8fcc-11eb-924d-9cd76263cbd0,species,axillaris,Celosia,,Mart.,1814,"Pl. Hort. Erlang. 70 1814",,,,,59830-1,wfo-0000593024,3674119,
c2895d4e-8fcc-11eb-924d-9cd76263cbd0,species,baccata,Celosia,,Retz.,1788,"Observ. Bot. 5: 23 1788",,,,,59831-1,wfo-0000593025,3674115,
c2897d7e-8fcc-11eb-924d-9cd76263cbd0,species,bakeri,Celosia,,C.C.Towns.,1975,"Hooker's Icon. Pl. 38(2): 37 1975",,,,,59832-1,wfo-0000593026,3674110,
c289d4e0-8fcc-11eb-924d-9cd76263cbd0,species,baronii,Celosia,,Cavaco,1953,"Bull. Mus. Natl. Hist. Nat. II, 24: 577 1953",,,,,59833-1,wfo-0000593029,3674106,
c289f3c6-8fcc-11eb-924d-9cd76263cbd0,species,benguellensis,Celosia,,C.C.Towns.,1975,"Hooker's Icon. Pl. 38(2): 103 1975",,,,,59834-1,wfo-0000593030,3674103,
c28a756c-8fcc-11eb-924d-9cd76263cbd0,species,bicolor,Celosia,,Blanco,1837,"Fl. Filip. 191 1837",,,,,59835-1,wfo-0000593031,3674097,
c28aaafa-8fcc-11eb-924d-9cd76263cbd0,species,boivinii,Celosia,,Hook.f.,1880,"Gen. Pl. 3: 25 1880",,,,,59836-1,wfo-0000593032,3674092,
c28acc74-8fcc-11eb-924d-9cd76263cbd0,species,bonnivairii,Celosia,,Schinz,1931,"Vierteljahrsschr. Naturf. Ges. Zürich 76: 133 1931",,,,,59837-1,wfo-0000593033,8385022,
c28ae92a-8fcc-11eb-924d-9cd76263cbd0,variety,lanceolata,Celosia,bonnivairii,Schinz,1931,"Vierteljahrsschr. Naturf. Ges. Zürich 76: 134 1931",,,,,,wfo-0000593034,8125724,
c28b0734-8fcc-11eb-924d-9cd76263cbd0,species,brasiliensis,Celosia,,Moq.,1849,"Prodr. 13(2): 239 1849",,,,,59838-1,wfo-0000593035,3674082,
c28b23fe-8fcc-11eb-924d-9cd76263cbd0,species,brevispicata,Celosia,,C.C.Towns.,1975,"Hooker's Icon. Pl. 38(2): 111 1975",,,,,59839-1,wfo-0000593036,3674077,
c28b405a-8fcc-11eb-924d-9cd76263cbd0,species,castrensis,Celosia,,L.,1762,"Sp. Pl. ed. 2 297 1762",,,,,59840-1,wfo-0000593037,3674072,
c28b7d40-8fcc-11eb-924d-9cd76263cbd0,species,caudata,Celosia,,Vahl,1790,"Symb. Bot. 1: 21 1790",,,,,59841-1,wfo-0000593039,3674066,
c28bd36c-8fcc-11eb-924d-9cd76263cbd0,species,cernua,Celosia,,"Mairet ex Moq.",1849,"Prodr. 13(2): 351 1849",,,,,59843-1,wfo-0000593042,8015488,
c28bb6a2-8fcc-11eb-924d-9cd76263cbd0,species,cernua,Celosia,,Roxb.,1820,"Fl. Ind. 1: 680 1820",,,,,59844-1,wfo-0000593041,,
c28b99d8-8fcc-11eb-924d-9cd76263cbd0,species,cernua,Celosia,,Andrews,1811,"Bot. Repos. 10: t. 635 1811",,,,,59842-1,wfo-0000593040,8034810,
c28bed34-8fcc-11eb-924d-9cd76263cbd0,species,chenopodiifolia,Celosia,,Baker,1897,"Bull. Misc. Inform. Kew 1897: 276 1897",,,,,59846-1,wfo-0000593043,3674040,
c28c0c06-8fcc-11eb-924d-9cd76263cbd0,species,chiapensis,Celosia,,Brandegee,1917,"Univ. Calif. Publ. Bot. 6: 363 1917",,,,,51136-2,wfo-0000593044,3674033,
c28c29ca-8fcc-11eb-924d-9cd76263cbd0,species,coccinea,Celosia,,L.,1762,"Sp. Pl. ed. 2 297 1762",,,,,59848-1,wfo-0000593045,3674031,
c28c43ba-8fcc-11eb-924d-9cd76263cbd0,species,comosa,Celosia,,Retz.,1791,"Observ. Bot. 6: 26 1791",,,,,59849-1,wfo-0000593046,3674026,
c28c5d5a-8fcc-11eb-924d-9cd76263cbd0,species,cordata,Celosia,,Raf.,1840,"Autik. Bot. 151 1840",,,,,59850-1,wfo-0000593047,3674021,
c28c7b0a-8fcc-11eb-924d-9cd76263cbd0,species,corymbifera,Celosia,,Didr.,1849,"Index Seminum (C) 1849: 13 1849",,,,,59851-1,wfo-0000593048,3674016,
c28d1ca4-8fcc-11eb-924d-9cd76263cbd0,species,corymbosa,Celosia,,"(L.) Retz.",1779,"Observ. Bot. 1: 13 1779",,,,,59852-1,wfo-0000593050,3674012,
b124bf2a-8fcd-11eb-924d-9cd76263cbd0,species,crispus,Celosia,,"Lesp. & Thev.",,,,,,,,wfo-0001046241,8050732,
c28d40d0-8fcc-11eb-924d-9cd76263cbd0,species,cristata,Celosia,,L.,1753,"Sp. Pl. 205 1753",,,,,327364-2,wfo-0000593051,3085196,
c28d6754-8fcc-11eb-924d-9cd76263cbd0,species,cuneifolia,Celosia,,Baker,1897,"Bull. Misc. Inform. Kew 1897: 276 1897",,,,,59854-1,wfo-0000593052,3673993,
c28d887e-8fcc-11eb-924d-9cd76263cbd0,species,cymosa,Celosia,,Seub.,1875,"Fl. Bras. 5(1): 245 1875",,,,,59855-1,wfo-0000593053,3673989,
c28da7c8-8fcc-11eb-924d-9cd76263cbd0,species,debilis,Celosia,,S.Moore,1916,"J. Bot. 54: 291 1916",,,,,59856-1,wfo-0000593054,3673985,
c28dcfd2-8fcc-11eb-924d-9cd76263cbd0,species,decumbens,Celosia,,Moq.,1849,"Prodr. 13(2): 410 1849",,,,,59857-1,wfo-0000593055,3673980,
c28df0de-8fcc-11eb-924d-9cd76263cbd0,species,dewevrei,Celosia,,Schinz,1900,"Bull. Soc. Roy. Bot. Belgique 39: 102 1900",,,,,59858-1,wfo-0000593056,3673976,
c28e4a84-8fcc-11eb-924d-9cd76263cbd0,species,dichotoma,Celosia,,"B.Heyne ex Roth",1821,"Nov. Pl. Sp. 172 1821",,,,,,wfo-0000593057,7724147,
c28e6b68-8fcc-11eb-924d-9cd76263cbd0,species,diffusa,Celosia,,"Hoffmanns. ex Seub.",1875,"Fl. Bras. 5(1): 179 1875",,,,,59860-1,wfo-0000593058,3673966,
c28e9246-8fcc-11eb-924d-9cd76263cbd0,species,digyna,Celosia,,Suess.,1951,"Trans. Rhodesia Sci. Assoc. 43: 8 1951",,,,,59861-1,wfo-0000593059,3673960,
