id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e15bf4a2-8fd1-11eb-924d-9cd76263cbd0,genus,Centinodia,,,,,,,,,,,wfo-4000007179,7291701,
c34835e8-8fcc-11eb-924d-9cd76263cbd0,species,agrestina,Centinodia,,Fourr.,,"Ann. Soc. Linn. Lyon n.s., 17: 146 1869",,,,,693432-1,wfo-0000594226,4036495,
c34851cc-8fcc-11eb-924d-9cd76263cbd0,species,arenaria,Centinodia,,Fourr.,,"Ann. Soc. Linn. Lyon n.s., 17: 146 1869",,,,,693433-1,wfo-0000594227,4036487,
c3486e0a-8fcc-11eb-924d-9cd76263cbd0,species,avicularis,Centinodia,,Fourr.,,"Ann. Soc. Linn. Lyon n.s., 17: 146 1869",,,,,693434-1,wfo-0000594228,4036479,
c3488ab6-8fcc-11eb-924d-9cd76263cbd0,species,bellardii,Centinodia,,Fourr.,,"Ann. Soc. Linn. Lyon n.s., 17: 146 1869",,,,,693435-1,wfo-0000594229,7570639,
c348a712-8fcc-11eb-924d-9cd76263cbd0,species,humifusa,Centinodia,,Fourr.,,"Ann. Soc. Linn. Lyon n.s., 17: 146 1869",,,,,693436-1,wfo-0000594230,4036465,
c348c346-8fcc-11eb-924d-9cd76263cbd0,species,maritima,Centinodia,,Fourr.,,"Ann. Soc. Linn. Lyon n.s., 17: 146 1869",,,,,693437-1,wfo-0000594231,4036458,
c348e0b0-8fcc-11eb-924d-9cd76263cbd0,species,microsperma,Centinodia,,Fourr.,,"Ann. Soc. Linn. Lyon n.s., 17: 146 1869",,,,,693438-1,wfo-0000594232,4036450,
c3494d98-8fcc-11eb-924d-9cd76263cbd0,species,rurivaga,Centinodia,,Fourr.,,"Ann. Soc. Linn. Lyon n.s., 17: 146 1869",,,,,693439-1,wfo-0000594233,4036440,
c349883a-8fcc-11eb-924d-9cd76263cbd0,species,axillare,Centinodium,,Montandon,,"Syn. Fl. Jura 270 1856",,,,,,wfo-0000594234,4036406,
