id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e15e2c90-8fd1-11eb-924d-9cd76263cbd0,genus,Centrolepis,,,Labill.,0,1804,,"Nov. Holl. Pl. 1: 7 (1804)",,,,,,urn:lsid:ipni.org:names:6717-1,wfo-4000007203,2692415,,
274818de-8fcc-11eb-924d-9cd76263cbd0,species,aemula,Centrolepis,,Rudge,0,1811,,"Trans. Linn. Soc. London 10: 284 (1811)",,Q55760728,Q6151611,,,urn:lsid:ipni.org:names:162975-1,wfo-0000353056,5287458,,
274833be-8fcc-11eb-924d-9cd76263cbd0,species,alepyroides,Centrolepis,,"(Nees) Walp.",0,1849,,"Ann. Bot. Syst. 1: 897 (1849)",,,Q5560081,3d2eec2c-8fcc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:162976-1,wfo-0000353057,5287503,,
27484ffc-8fcc-11eb-924d-9cd76263cbd0,species,aristata,Centrolepis,,"(R.Br.) Roem. & Schult.",0,1817,,"Syst. Veg., ed. 15 bis 1: 44 (1817)",,,Q58829765,,,urn:lsid:ipni.org:names:162977-1,wfo-0000353058,5287484,,
7b07ab38-1d4d-11ec-82c2-f14daa6f2d93,variety,aristata,Centrolepis,aristata,"(R.Br.) Roem. & Schult.",,1878,,"Flora Australiensis 7  1878",,,Q51414390,,,urn:lsid:ipni.org:names:58031-3,wfo-0001398423,,,
27486d70-8fcc-11eb-924d-9cd76263cbd0,variety,pygmaea,Centrolepis,aristata,"F.Muell. ex Benth.",0,1878,,"Fl. Austral. 7: 206 (1878)",,,Q51414390,,,urn:lsid:ipni.org:names:58043-3,wfo-0000353059,5287485,,
2748897c-8fcc-11eb-924d-9cd76263cbd0,species,asiatica,Centrolepis,,"Merr. ex Gagnep.",0,1942,,"Fl. Indo-Chine 6: 1229 (1942)",,,Q5397579,,,urn:lsid:ipni.org:names:162978-1,wfo-0000353060,5287453,,
2748c310-8fcc-11eb-924d-9cd76263cbd0,species,banksii,Centrolepis,,"(R.Br.) Roem. & Schult.",0,1817,,"Syst. Veg., ed. 15 bis 1: 44 (1817)",,,Q58829765,,,urn:lsid:ipni.org:names:162979-1,wfo-0000353062,5287450,,
2748dd96-8fcc-11eb-924d-9cd76263cbd0,species,basiflora,Centrolepis,,Ostenf.,0,1921,,"Biol. Meddel. Kongel. Danske Vidensk. Selsk. 3(2): 13 (1921)",,,,,,urn:lsid:ipni.org:names:162980-1,wfo-0000353063,5287487,,
2748fb3c-8fcc-11eb-924d-9cd76263cbd0,species,brevifolia,Centrolepis,,"(Nees) Walp.",0,1849,,"Ann. Bot. Syst. 1: 896 (1849)",,,Q5560081,,,urn:lsid:ipni.org:names:162981-1,wfo-0000353064,5287442,,
27491824-8fcc-11eb-924d-9cd76263cbd0,species,caespitosa,Centrolepis,,D.A.Cooke,0,1980,,"Muelleria 4: 269 (1980)",,,,,,urn:lsid:ipni.org:names:162982-1,wfo-0000353065,5287455,,
274934d0-8fcc-11eb-924d-9cd76263cbd0,species,cambodiana,Centrolepis,,Hance,0,1876,,"J. Bot. 14: 14 (1876)",,,,,,urn:lsid:ipni.org:names:162983-1,wfo-0000353066,5287488,,
27495528-8fcc-11eb-924d-9cd76263cbd0,species,cephaloformis,Centrolepis,,Reader,0,1902,,"Vict. Naturalist 19: 97 (1902)",,,,,,urn:lsid:ipni.org:names:162984-1,wfo-0000353067,5287466,,
a922d4f2-1d48-11ec-82c2-f14daa6f2d93,subspecies,cephaloformis,Centrolepis,cephaloformis,,,,,Unknown,,,,,,urn:lsid:ipni.org:names:58121-3,wfo-0000353068,,,
