id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
a752c190-9bad-11eb-a8a2-19ed5c03f8d3,genus,Cetrariastrum,,,Sipman,,1980,,"Proc. K. Ned. Akad. Wet., Ser. C, Biol. Med. Sci. 83(4): 335 (1980)",,,,a752c190-9bad-11eb-a8a2-19ed5c03f8d3,,,,,920," "
2aa8596c-9bac-11eb-a8a2-19ed5c03f8d3,species,africanum,Cetrariastrum,,Hale,,1981,,"in Culberson & Culberson, Bryologist 84(3): 296 (1981)",,,,2aa8596c-9bac-11eb-a8a2-19ed5c03f8d3,,,,,111214," "
2aa88040-9bac-11eb-a8a2-19ed5c03f8d3,species,alectorialicum,Cetrariastrum,,"W.L. Culb. & C.F. Culb.",,1981,,"Bryologist 84(3): 297 (1981)",,,,2aa88040-9bac-11eb-a8a2-19ed5c03f8d3,,,,,111215," "
2aa8b8a8-9bac-11eb-a8a2-19ed5c03f8d3,species,americanum,Cetrariastrum,,"(Meyen & Flot.) W.L. Culb. & C.F. Culb.",,1981,,"Bryologist 84(3): 305 (1981)",,,,85e1c81c-9bad-11eb-a8a2-19ed5c03f8d3,,,,,111216," "
2a3c2b84-9bac-11eb-a8a2-19ed5c03f8d3,species,andense,Cetrariastrum,,"Kärnefelt ex Sipman",,1980,invalid,"Proc. K. Ned. Akad. Wet., Ser. C, Biol. Med. Sci. 83(4): 338 (1980)",,,,2a3c2b84-9bac-11eb-a8a2-19ed5c03f8d3,,,,,110537," "
2aa979aa-9bac-11eb-a8a2-19ed5c03f8d3,species,angolense,Cetrariastrum,,"W.L. Culb. & C.F. Culb.",,1981,,"Bryologist 84(3): 299 (1981)",,,,2aa979aa-9bac-11eb-a8a2-19ed5c03f8d3,,,,,111218," "
038989e0-9bad-11eb-a8a2-19ed5c03f8d3,species,arsenei,Cetrariastrum,,"(Hale & M. Wirth) W.L. Culb. & C.F. Culb.",,1981,,"Bryologist 84(3): 300 (1981)",,,,a31cef60-9bad-11eb-a8a2-19ed5c03f8d3,,,,,111219," "
0389b5aa-9bad-11eb-a8a2-19ed5c03f8d3,species,billingsii,Cetrariastrum,,"W.L. Culb. & C.F. Culb.",,1981,,"Bryologist 84(3): 305 (1981)",,,,0389b5aa-9bad-11eb-a8a2-19ed5c03f8d3,,,,,111220," "
0389e1c4-9bad-11eb-a8a2-19ed5c03f8d3,species,catawbiense,Cetrariastrum,,"(Degel.) W.L. Culb. & C.F. Culb.",,1981,,"Bryologist 84(3): 281 (1981)",,,,3dec741c-9bad-11eb-a8a2-19ed5c03f8d3,,,,,111221," "
6d963e32-9bad-11eb-a8a2-19ed5c03f8d3,species,chilense,Cetrariastrum,,Kurok.,,1999,,"J. Jap. Bot. 74(4): 252 (1999)",,,,6d963e32-9bad-11eb-a8a2-19ed5c03f8d3,,,,,474810," "
2aa9bce4-9bac-11eb-a8a2-19ed5c03f8d3,species,cirrhatum,Cetrariastrum,,"(Fr.) W.L. Culb. & C.F. Culb.",,1981,,"Bryologist 84(3): 283 (1981)",,,,8fdcd474-9bad-11eb-a8a2-19ed5c03f8d3,,,,,111222," "
2aa9fc18-9bac-11eb-a8a2-19ed5c03f8d3,species,columbiense,Cetrariastrum,,"(Zahlbr.) W.L. Culb. & C.F. Culb.",,1981,,"Bryologist 84(3): 285 (1981)",,,,a1e60f38-9bac-11eb-a8a2-19ed5c03f8d3,,,,,111223," "
67b34c0e-9bac-11eb-a8a2-19ed5c03f8d3,species,dubitans,Cetrariastrum,,Sipman,,1980,,"Proc. K. Ned. Akad. Wet., Ser. C, Biol. Med. Sci. 83(4): 342 (1980)",,,,67b34c0e-9bac-11eb-a8a2-19ed5c03f8d3,,,,,112176," "
0e4b5c38-9bac-11eb-a8a2-19ed5c03f8d3,species,ecuadoriense,Cetrariastrum,,"(R. Sant.) Sipman",,1980,,"Proc. K. Ned. Akad. Wet., Ser. C, Biol. Med. Sci. 83(4): 343 (1980)",,,,f90321d0-9bab-11eb-a8a2-19ed5c03f8d3,,,,,112177," equadoriensis"
d4dec1f0-9bac-11eb-a8a2-19ed5c03f8d3,species,equadoriensis,Cetrariastrum,,"(R. Sant.) Sipman",,,,,,,,f90321d0-9bab-11eb-a8a2-19ed5c03f8d3,,,,,257179," Cetrariastrum ecuadoriense"
2aaa445c-9bac-11eb-a8a2-19ed5c03f8d3,species,halei,Cetrariastrum,,"W.L. Culb. & C.F. Culb.",,1981,,"Bryologist 84(3): 301 (1981)",,,,2aaa445c-9bac-11eb-a8a2-19ed5c03f8d3,,,,,111224," "
2aaa9024-9bac-11eb-a8a2-19ed5c03f8d3,species,limaeforme,Cetrariastrum,,"(Taylor) W.L. Culb. & C.F. Culb.",,1981,,"Bryologist 84(3): 286 (1981)",,,,1387a4ea-9bac-11eb-a8a2-19ed5c03f8d3,,,,,111225," "
b8f5a184-9bac-11eb-a8a2-19ed5c03f8d3,species,limiforme,Cetrariastrum,,"(Taylor) W.L. Culb. & C.F. Culb.",,1981,,"Bryologist 84: 286 (1981)",,,,1387a4ea-9bac-11eb-a8a2-19ed5c03f8d3,,,,,492488," "
0754fbd2-9bac-11eb-a8a2-19ed5c03f8d3,species,lipidiferum,Cetrariastrum,,"(Hale & M. Wirth) W.L. Culb. & C.F. Culb.",,1981,,"Bryologist 84(3): 287 (1981)",,,,2896fc7c-9bad-11eb-a8a2-19ed5c03f8d3,,,,,111226," "
2aaad804-9bac-11eb-a8a2-19ed5c03f8d3,species,mexicanum,Cetrariastrum,,Egan,,1981,,"in Culberson & Culberson, Bryologist 84(3): 287 (1981)",,,,2aaad804-9bac-11eb-a8a2-19ed5c03f8d3,,,,,111227," "
22054bda-9bac-11eb-a8a2-19ed5c03f8d3,species,neocirrhatum,Cetrariastrum,,"(Hale & M. Wirth) W.L. Culb. & C.F. Culb.",,1981,,"Bryologist 84(3): 289 (1981)",,,,410dfcac-9bac-11eb-a8a2-19ed5c03f8d3,,,,,111228," "
2aab0ac2-9bac-11eb-a8a2-19ed5c03f8d3,species,nepalense,Cetrariastrum,,"(Taylor) W.L. Culb. & C.F. Culb.",,1981,,"Bryologist 84(3): 301 (1981)",,,,48c057a0-9bad-11eb-a8a2-19ed5c03f8d3,,,,,111229," "
2aab43d4-9bac-11eb-a8a2-19ed5c03f8d3,species,nigrociliatum,Cetrariastrum,,"(B. de Lesd.) W.L. Culb. & C.F. Culb.",,1981,,"Bryologist 84(3): 290 (1981)",,,,89bc11aa-9bac-11eb-a8a2-19ed5c03f8d3,,,,,111230," "
2aab8358-9bac-11eb-a8a2-19ed5c03f8d3,species,peruvianum,Cetrariastrum,,Hale,,1981,,"in Culberson & Culberson, Bryologist 84(3): 291 (1981)",,,,2aab8358-9bac-11eb-a8a2-19ed5c03f8d3,,,,,111231," "
2aa74f04-9bac-11eb-a8a2-19ed5c03f8d3,species,pseudonepalense,Cetrariastrum,,"(Hale & M. Wirth) W.L. Culb. & C.F. Culb.",,1981,,"Bryologist 84(3): 303 (1981)",,,,289fa570-9bad-11eb-a8a2-19ed5c03f8d3,,,,,111232," "
2880b4d6-9bac-11eb-a8a2-19ed5c03f8d3,species,rhizodendroideum,Cetrariastrum,,"J.C. Wei & Y.M. Jiang",,1982,,"Acta phytotax. sin. 20(4): 496 (1982)",,,,2880b4d6-9bac-11eb-a8a2-19ed5c03f8d3,,,,,107803," "
2aabb1e8-9bac-11eb-a8a2-19ed5c03f8d3,species,sorocheilum,Cetrariastrum,,"(Vain.) W.L. Culb. & C.F. Culb.",,1981,,"Bryologist 84(3): 292 (1981)",,,,48e2ab3e-9bad-11eb-a8a2-19ed5c03f8d3,,,,,111233," "
21df00f6-9bac-11eb-a8a2-19ed5c03f8d3,species,subnepalense,Cetrariastrum,,Hale,,1981,,"in Culberson & Culberson, Bryologist 84(3): 304 (1981)",,,,21df00f6-9bac-11eb-a8a2-19ed5c03f8d3,,,,,111234," "
6cd512c0-9bad-11eb-a8a2-19ed5c03f8d3,species,subplanum,Cetrariastrum,,"(Sipman) Kurok.",,1999,,"J. Jap. Bot. 74(4): 254 (1999)",,,,169e9774-9bac-11eb-a8a2-19ed5c03f8d3,,,,,474811," "
