id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e176d93e-8fd1-11eb-924d-9cd76263cbd0,genus,Chaerophyllum,,,L.,1753,"Sp. Pl. 1: 258. 1753. (1 May 1753)",,,,,30028190-2,wfo-4000007487,3034649,
c62c90ce-8fcc-11eb-924d-9cd76263cbd0,species,acuminatum,Chaerophyllum,,Lindl.,1835,"Ill. Bot. Himal. Mts. 232 1835",,,,,840120-1,wfo-0000598922,3642811,
ba862284-8fcd-11eb-924d-9cd76263cbd0,species,acutarie,Chaerophyllum,,Vill.,,,,,,,,wfo-0001067669,7621134,
c62cab0e-8fcc-11eb-924d-9cd76263cbd0,species,affine,Chaerophyllum,,"Steud. ex A.Rich.",1848,"Tent. Fl. Abyss. 1: 332 1848",,,,,,wfo-0000598923,8125756,
c62ce33a-8fcc-11eb-924d-9cd76263cbd0,species,aksekiense,Chaerophyllum,,"A.Duran & H.Duman",1999,"Edinburgh J. Bot. 56: 47 1999",,,,,1006416-1,wfo-0000598925,3642794,
c62cfd2a-8fcc-11eb-924d-9cd76263cbd0,species,alpestre,Chaerophyllum,,Jord.,1852,"Mém. Acad. Roy. Sci. Lyon, Sect. Sci. reimpr. 1: 75 1852",,,,,840122-1,wfo-0000598926,3642773,
c62d1742-8fcc-11eb-924d-9cd76263cbd0,species,alpinum,Chaerophyllum,,Vill.,1779,"Prosp. Hist. Pl. Dauphiné 26 1779",,,,,840123-1,wfo-0000598927,3642760,
8d5a3a58-8fcc-11eb-924d-9cd76263cbd0,species,andicola,Chaerophyllum,,"(Kunth) K.F.Chung",2007,"Syst. Bot. 32: 677 2007",,,,,77085100-1,wfo-0000506766,3642753,
c62d6c38-8fcc-11eb-924d-9cd76263cbd0,species,angelicifolium,Chaerophyllum,,C.A.Mey.,1831,"Verz. Pfl. Casp. Meer. 130 1831",,,,,840125-1,wfo-0000598930,8287483,
c62d4ed8-8fcc-11eb-924d-9cd76263cbd0,species,angelicifolium,Chaerophyllum,,DC.,1830,"Prodr. 4: 227 1830",,,,,840124-1,wfo-0000598929,7631114,
c62d316e-8fcc-11eb-924d-9cd76263cbd0,species,angelicifolium,Chaerophyllum,,M.Bieb.,1819,"Fl. Taur.-Caucas. 3: 240 1819",,,,,840126-1,wfo-0000598928,3642729,
c62d8c04-8fcc-11eb-924d-9cd76263cbd0,species,angulatum,Chaerophyllum,,"Kit. ex Spreng.",1813,"Commentat. Soc. Regiae Sci. Gott. 2 1813",,,,,,wfo-0000598931,3642714,
c62dff86-8fcc-11eb-924d-9cd76263cbd0,species,anthriscus,Chaerophyllum,,"(L.) Crantz",1767,"Cl. Umbell. Emend. 76 1767",,,,,840129-1,wfo-0000598932,3642698,
c62ea2f6-8fcc-11eb-924d-9cd76263cbd0,species,aquilegifolium,Chaerophyllum,,"Rech.f. & Riedl",1963,"Biol. Skr. 13(4): 44 1963",,,,,840131-1,wfo-0000598935,,
c62e62e6-8fcc-11eb-924d-9cd76263cbd0,species,aquilegifolium,Chaerophyllum,,"(All.) Koso-Pol.",1915,"Bull. Soc. Imp. Naturalistes Moscou n.s., 29: 141 1915 publ. 1916",,,,,840130-1,wfo-0000598933,3642680,
43c16f00-8fcd-11eb-924d-9cd76263cbd0,species,arborescens,Chaerophyllum,,L.,1753,"Sp. Pl. 259 1753",,,,,840132-1,wfo-0000836024,3642669,
8d5a732e-8fcc-11eb-924d-9cd76263cbd0,species,argenteum,Chaerophyllum,,"(Hook.f.) K.F.Chung",2007,"Syst. Bot. 32: 677 2007",,,,b29e4d72-8fd1-11eb-924d-9cd76263cbd0,77085101-1,wfo-0000506767,3642662,
c62ebe3a-8fcc-11eb-924d-9cd76263cbd0,species,aristatum,Chaerophyllum,,Thunb.,1784,"Syst. Veg. ed. 14 288 1784",,,,,927316-1,wfo-0000598936,7404616,
c62edb0e-8fcc-11eb-924d-9cd76263cbd0,species,armenum,Chaerophyllum,,"(Bordz.) M.Hiroe",1979,"Umbell. World 666 1979",,,,15a107d4-8fcd-11eb-924d-9cd76263cbd0,840134-1,wfo-0000598937,3642617,
c62ef878-8fcc-11eb-924d-9cd76263cbd0,species,aromaticum,Chaerophyllum,,L.,1753,"Sp. Pl. 259 1753",,,,,840135-1,wfo-0000598938,3642608,
c62f1268-8fcc-11eb-924d-9cd76263cbd0,species,articulatum,Chaerophyllum,,"Bosc ex DC.",1830,"Prodr. 4: 225 1830",,,,,840136-1,wfo-0000598939,3642599,
c62f2ca8-8fcc-11eb-924d-9cd76263cbd0,species,astrantiae,Chaerophyllum,,"Boiss. & Balansa ex Boiss.",1872,"Fl. Orient. 2: 906 1872",,,,,840137-1,wfo-0000598940,3642590,
c62f499a-8fcc-11eb-924d-9cd76263cbd0,species,ateanum,Chaerophyllum,,"(Pau) Pau",1924,"Bol. Soc. Ibér. Ci. Nat. 23: 102 1924 publ. 1925",,,,74d50802-8fbb-11eb-924d-9cd76263cbd0,840138-1,wfo-0000598941,3642576,
c62f6402-8fcc-11eb-924d-9cd76263cbd0,species,atlanticum,Chaerophyllum,,"Coss. ex Batt.",1919,"Contr. Fl. Atl. 37 1919",,,,,,wfo-0000598942,7813560,
c62f8194-8fcc-11eb-924d-9cd76263cbd0,species,aurantiacum,Chaerophyllum,,Post,1892,"Pl. Postianae 3: 8 1892",,,,,840141-1,wfo-0000598943,3642551,
c62fa070-8fcc-11eb-924d-9cd76263cbd0,species,aureum,Chaerophyllum,,L.,1762,"Sp. Pl. ed. 2 370 1762",,,,,840143-1,wfo-0000598944,3642531,
c62fdd9c-8fcc-11eb-924d-9cd76263cbd0,species,australe,Chaerophyllum,,"(L.) Crantz",1767,"Cl. Umbell. Emend. 76 1767",,,,ccd45528-8fcd-11eb-924d-9cd76263cbd0,840144-1,wfo-0000598946,3642521,
8d5aabaa-8fcc-11eb-924d-9cd76263cbd0,species,australianum,Chaerophyllum,,K.F.Chung,2007,"Syst. Bot. 32: 677 2007",,,,,77085102-1,wfo-0000506768,3642508,
