id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
05da9c62-9bac-11eb-a8a2-19ed5c03f8d3,genus,Chaetopsina,,,Rambelli,,1956,,"Atti Accad. Sci. Ist. Bologna, Cl. Sci. Fis. Rendiconti 3: 5 (1956)",,,,05da9c62-9bac-11eb-a8a2-19ed5c03f8d3,,,,,7584," "
f41cc2ac-9bab-11eb-a8a2-19ed5c03f8d3,species,acutispora,Chaetopsina,,"Zucconi & Rambelli",,1993,,"Mycotaxon 48: 6 (1993)",,,,f41cc2ac-9bab-11eb-a8a2-19ed5c03f8d3,,,,,360460," "
1a1b6f9e-9bac-11eb-a8a2-19ed5c03f8d3,species,alexandrae,Chaetopsina,,"Joanne E. Taylor, K.D. Hyde & E.B.G. Jones",,2003,,"in Taylor & Hyde, Fungal Diversity Res. Ser. (Hong Kong) 12: 306 (2003)",,,,1a1b6f9e-9bac-11eb-a8a2-19ed5c03f8d3,,,,,371329," "
88293c32-9bac-11eb-a8a2-19ed5c03f8d3,species,auburnensis,Chaetopsina,,Morgan-Jones,,1979,,"Mycotaxon 8(2): 411 (1979)",,,,88293c32-9bac-11eb-a8a2-19ed5c03f8d3,,,,,310945," "
26be744e-9bac-11eb-a8a2-19ed5c03f8d3,species,catenulata,Chaetopsina,,Samuels,,1985,,"Mycotaxon 22(1): 28 (1985)",,,,26be744e-9bac-11eb-a8a2-19ed5c03f8d3,,,,,105140," "
0d21dd22-9bad-11eb-a8a2-19ed5c03f8d3,species,fulva,Chaetopsina,,Rambelli,,1956,,"Diagn. IV 3: 5 (1956)",,,,0d21dd22-9bad-11eb-a8a2-19ed5c03f8d3,,,,,294735," "
56b3182a-9bad-11eb-a8a2-19ed5c03f8d3,species,hongkongensis,Chaetopsina,,"Goh & K.D. Hyde",,1997,,"Mycol. Res. 101(12): 1518 (1997)",,,,56b3182a-9bad-11eb-a8a2-19ed5c03f8d3,,,,,442571," "
3aaaa888-9bac-11eb-a8a2-19ed5c03f8d3,species,illini,Chaetopsina,,"(J.L. Crane) M.J. Wingf.",,1987,,"Mycotaxon 30: 153 (1987)",,,,12c3ad50-9bad-11eb-a8a2-19ed5c03f8d3,,,,,133486," "
0ba50a00-9bad-11eb-a8a2-19ed5c03f8d3,species,ivoriensis,Chaetopsina,,"Rambelli & Lunghini",,1976,,"G. bot. ital., n.s. 110(1-2): 257 (1976)",,,,0ba50a00-9bad-11eb-a8a2-19ed5c03f8d3,,,,,310946," "
26bea4aa-9bac-11eb-a8a2-19ed5c03f8d3,species,keniensis,Chaetopsina,,"P.M. Kirk",,1985,,"Mycotaxon 23: 314 (1985)",,,,26bea4aa-9bac-11eb-a8a2-19ed5c03f8d3,,,,,105141," "
2a3d2322-9bac-11eb-a8a2-19ed5c03f8d3,species,ludoviciana,Chaetopsina,,"J.L. Crane & Schokn.",,1982,,"Can. J. Bot. 60(4): 372 (1982)",,,,2a3d2322-9bac-11eb-a8a2-19ed5c03f8d3,,,,,110540," "
01b387ac-9bac-11eb-a8a2-19ed5c03f8d3,species,melitolunae,Chaetopsina,,"Crous & Seifert",,1996,,"in Crous, Seifert & Castañeda Ruíz, S. Afr. J. Bot. 62(2): 89 (1996)",,,,01b387ac-9bac-11eb-a8a2-19ed5c03f8d3,,,,,415986," mellitolunae"
af2d9f30-9bac-11eb-a8a2-19ed5c03f8d3,species,mellitolunae,Chaetopsina,,"Crous & Seifert",,,,,,,,af2d9f30-9bac-11eb-a8a2-19ed5c03f8d3,,,,,257311," Chaetopsina melitolunae"
3bbe2c0e-9bac-11eb-a8a2-19ed5c03f8d3,species,nigra,Chaetopsina,,"B. Sutton & Hodges ined.",,,,,,,,3bbe2c0e-9bac-11eb-a8a2-19ed5c03f8d3,,,,,122935," "
