id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e1aafdcc-8fd1-11eb-924d-9cd76263cbd0,genus,Chorizema,,,Labill.,0,1800,,"Voy. Rech. Pérouse 1: 403 (1800)",,,,,,urn:lsid:ipni.org:names:22004-1,wfo-4000008117,2968187,,
87cf7e48-8fc4-11eb-924d-9cd76263cbd0,species,aciculare,Chorizema,,"(DC.) C.A.Gardner",0,1930,,"Enum. Pl. Austr. Occ. : 56 (1930)",,,,76b13c0c-8fcc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:72553-3,wfo-0000188484,2968198,,
64020c76-1d4d-11ec-82c2-f14daa6f2d93,subspecies,aciculare,Chorizema,aciculare,"(DC.) C.A.Gardner",,1992,,"Australian Systematic Botany 5(3)  1992",,,,,,urn:lsid:ipni.org:names:168448-3,wfo-0001367518,,,
5b47a366-1d4d-11ec-82c2-f14daa6f2d93,species,aciculoides,Chorizema,,C.A.Gardner,,1930,,"Enumeratio Plantarum Australiae Occidentalis 1930",,,,,,urn:lsid:ipni.org:names:72568-3,wfo-0001355476,,,
c8f5d892-8fcc-11eb-924d-9cd76263cbd0,species,angustifolium,Chorizema,,Benth.,0,1837,,"Enumeratio Plantarum 1837",,,,,,urn:lsid:ipni.org:names:72579-3,wfo-0000603579,3907688,,
5b47d2a0-1d4d-11ec-82c2-f14daa6f2d93,species,aurea-floribunda,Chorizema,,Anon.,,1954,,"The Gardeners' Magazine No. 1954 1891 in obs.",,,,,,urn:lsid:ipni.org:names:72586-3,wfo-0001355477,,,
b606231c-8fcd-11eb-924d-9cd76263cbd0,species,baueri,Chorizema,,Benth.,0,1837,,"Comm. Legum. Gen. : 7 (1837)",,,,,,urn:lsid:ipni.org:names:486216-1,wfo-0001057350,3911696,,
c8f5f322-8fcc-11eb-924d-9cd76263cbd0,species,baxteri,Chorizema,,Graham,0,1831,,"Edinburgh New Philos. J. 1831(Apr.-June): 187 (1831)",,,,,,urn:lsid:ipni.org:names:486217-1,wfo-0000603580,3911699,,
c8f6137a-8fcc-11eb-924d-9cd76263cbd0,species,callistachys,Chorizema,,F.Muell.,0,1864,,"Fragm. 4: 18 (1863)",,,,,,urn:lsid:ipni.org:names:486218-1,wfo-0000603581,3911706,,
c8f6330a-8fcc-11eb-924d-9cd76263cbd0,species,capillipes,Chorizema,,Turcz.,0,1853,,"Bull. Soc. Imp. Naturalistes Moscou 26(I): 255 (1853)",,,,,,urn:lsid:ipni.org:names:486219-1,wfo-0000603582,3911710,,
bf7bf418-8fd1-11eb-924d-9cd76263cbd0,species,carinatum,Chorizema,,"(Meisn.) J.M.Taylor & Crisp",0,1992,,"Austral. Syst. Bot. 5: 273 (1992)",,Q55756285,,,,urn:lsid:ipni.org:names:963827-1,wfo-0001253062,3911714,,
c8f68d46-8fcc-11eb-924d-9cd76263cbd0,species,chandleri,Chorizema,,G.Nicholson,0,1884,,"Ill. Dict. Gard. 1: 318 (1884)",,,,,,urn:lsid:ipni.org:names:486220-1,wfo-0000603584,3911717,,
