id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e1b28524-8fd1-11eb-924d-9cd76263cbd0,genus,Chryso-hypnum,,,Hampe,,"Bot. Zeitung (Berlin) 28(3): 35. 1870.",,,,,,wfo-4000008216,2682605,
ee856806-8fcd-11eb-924d-9cd76263cbd0,species,acrrorhizon,Chryso-hypnum,,"(Hornsch.) Hampe",,"Vidensk. Meddel. Dansk Naturhist. Foren. Kjøbenhavn 2: 287 1870",,,,,,wfo-0001180467,,
ee860f40-8fcd-11eb-924d-9cd76263cbd0,species,arcticum,Chryso-hypnum,,R.S.Williams,,"Rep. Canad. Arctic Exped. 4(E): 10. f. 13–18 1921",,,,,,wfo-0001180473,8398845,
ee8585d4-8fcd-11eb-924d-9cd76263cbd0,species,camptorhynchum,Chryso-hypnum,,Hampe,,"Vidensk. Meddel. Dansk Naturhist. Foren. Kjøbenhavn 2: 288 1870",,,,,,wfo-0001180468,2682610,
f605ca08-8fcd-11eb-924d-9cd76263cbd0,species,cavifolium,Chryso-hypnum,,"(Dixon) Ochyra & Sharp",,"J. Hattori Bot. Lab. 65: 370 1988",,,,,,wfo-0001195815,2682612,
f5b29496-8fcd-11eb-924d-9cd76263cbd0,species,demaretii,Chryso-hypnum,,"(P.de la Varde) Higuchi",,"Hikobia 9: 335 1986",,,,,,wfo-0001195141,2682614,
f57fb102-8fcd-11eb-924d-9cd76263cbd0,species,diminutivum,Chryso-hypnum,,"(Hampe) W.R.Buck",,"Brittonia 36: 182 1984",,,,,,wfo-0001194697,2682607,
ee85a258-8fcd-11eb-924d-9cd76263cbd0,species,elegantulum,Chryso-hypnum,,"(Hook.) Hampe",,"Vidensk. Meddel. Dansk Naturhist. Foren. Kjøbenhavn 2: 286 1870",,,,,,wfo-0001180469,2682616,
ee85bf86-8fcd-11eb-924d-9cd76263cbd0,species,expallescens,Chryso-hypnum,,Hampe,,"Vidensk. Meddel. Dansk Naturhist. Foren. Kjøbenhavn 2: 286 1870",,,,,,wfo-0001180470,2682606,
f736c864-8fcd-11eb-924d-9cd76263cbd0,species,frondosum,Chryso-hypnum,,"(Mitt.) W.R.Buck",,"Trop. Bryol. 8: 212 1993",,,,,,wfo-0001198453,2682609,
ee85d8d6-8fcd-11eb-924d-9cd76263cbd0,species,patens,Chryso-hypnum,,Hampe,,"Bot. Zeitung (Berlin) 28: 35 1870",,,,,,wfo-0001180471,2682615,
ee85f29e-8fcd-11eb-924d-9cd76263cbd0,species,pendulinum,Chryso-hypnum,,Hampe,,"Bot. Zeitung (Berlin) 28: 52 1870",,,,,,wfo-0001180472,8159966,
f91b4ca4-8fcd-11eb-924d-9cd76263cbd0,species,salleanum,Chryso-hypnum,,"(Besch.) W.R.Buck",,"Mem. New York Bot. Gard. 82: 335 1998",,,,,,wfo-0001202204,2682608,
fa480f0e-8fcd-11eb-924d-9cd76263cbd0,species,simorrhynchum,Chryso-hypnum,,Hampe,,"Vidensk. Meddel. Dansk Naturhist. Foren. Kjøbenhavn 2: 287 1870",,,,,,wfo-0001204598,2682613,
f5c9f230-8fcd-11eb-924d-9cd76263cbd0,species,squarrosulum,Chryso-hypnum,,"(Cardot) N.Nishim. & Ando",,"Bryologist 89: 68 1986",,,,,,wfo-0001195313,2682611,
