id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e1bad5bc-8fd1-11eb-924d-9cd76263cbd0,genus,Cienfuegosia,,,Cav.,,"Diss. 2[App.]: [vi]. 1786.",,,,,25840-1,wfo-4000008313,3152245,
c9869a1c-8fcc-11eb-924d-9cd76263cbd0,species,affinis,Cienfuegosia,,"(Kunth) Hochr.",,"Annuaire Conserv. Jard. Bot. Genève 6: 54 1902",,,,,58649-2,wfo-0000604600,3936063,
c986b646-8fcc-11eb-924d-9cd76263cbd0,variety,campestris,Cienfuegosia,affinis,"(Benth.) Hochr.",,"Annuaire Conserv. Jard. Bot. Genève 6: 55 1902",,,,,58650-2,wfo-0000604601,3939240,
c986d7e8-8fcc-11eb-924d-9cd76263cbd0,variety,humilis,Cienfuegosia,affinis,"(Gürke) Hochr.",,"Annuaire Conserv. Jard. Bot. Genève 6: 54 1902",,,,,58652-2,wfo-0000604602,3938204,
c986f688-8fcc-11eb-924d-9cd76263cbd0,species,althaeoides,Cienfuegosia,,Chiov.,,"Racc. Bot. Miss. Consol. Kenya 11 1935",,,,,559306-1,wfo-0000604603,3938199,
c9871370-8fcc-11eb-924d-9cd76263cbd0,species,angustifolia,Cienfuegosia,,Krapov.,,"Bonplandia (Corrientes) 12: 30 2003",,,,,,wfo-0000604604,3938196,
bf0466e0-8fcd-11eb-924d-9cd76263cbd0,species,anomala,Cienfuegosia,,Gürke,,,,,,,,wfo-0001077886,7716263,
c987315c-8fcc-11eb-924d-9cd76263cbd0,species,anomala,Cienfuegosia,,"(Wawra ex Wawra & Peyr.) Gilg",,"Bot. Jahrb. Syst. 19(48): 2 1894",,,,,559307-1,wfo-0000604605,3938190,
c9874eee-8fcc-11eb-924d-9cd76263cbd0,species,argentina,Cienfuegosia,,"(Kuntze) Gürke",,"Fl. Bras. 12(3): 579 1892",,,,,58653-2,wfo-0000604606,7279279,
c9877284-8fcc-11eb-924d-9cd76263cbd0,form,escholtzioides,Cienfuegosia,argentina,"(Hochr.) Hassl.",,"Repert. Spec. Nov. Regni Veg. 7: 381 1909",,,,,298364-2,wfo-0000604607,3938171,
c987d2ec-8fcc-11eb-924d-9cd76263cbd0,variety,hassleriana,Cienfuegosia,argentina,"(Hochr.) Hassl.",,"Repert. Spec. Nov. Regni Veg. 7: 381 1909",,,,,58654-2,wfo-0000604609,3938159,
c988083e-8fcc-11eb-924d-9cd76263cbd0,species,australis,Cienfuegosia,,"(F.Muell.) K.Schum.",,"Nat. Pflanzenfam. 3(6): 51 1890",,,,,559309-1,wfo-0000604610,7279275,
c9882d64-8fcc-11eb-924d-9cd76263cbd0,variety,microcarpa,Cienfuegosia,australis,Domin,,"Biblioth. Bot. 89: 409 1928",,,,,,wfo-0000604611,3938141,
c9884e48-8fcc-11eb-924d-9cd76263cbd0,species,benthamii,Cienfuegosia,,Hochr.,,"Annuaire Conserv. Jard. Bot. Genève 6: 55 1902",,,,,559310-1,wfo-0000604612,3938130,
c988696e-8fcc-11eb-924d-9cd76263cbd0,species,bricchettii,Cienfuegosia,,Ulbr.,,"Bot. Jahrb. Syst. 48: 378 1912",,,,,559311-1,wfo-0000604613,3938126,
c98889e4-8fcc-11eb-924d-9cd76263cbd0,species,chiarugii,Cienfuegosia,,Chiov.,,"Fl. Somala 1: 101 1929",,,,,559312-1,wfo-0000604614,3938119,
c988a76c-8fcc-11eb-924d-9cd76263cbd0,species,conciliata,Cienfuegosia,,Krapov.,,"Bonplandia (Corrientes) 12: 14 2003",,,,,,wfo-0000604615,3938115,
c988c2f6-8fcc-11eb-924d-9cd76263cbd0,species,cuneiformis,Cienfuegosia,,"(G.Don) Hochr.",,"Annuaire Conserv. Jard. Bot. Genève 6: 55 1902",,,,,559313-1,wfo-0000604616,3938101,
c988dd86-8fcc-11eb-924d-9cd76263cbd0,species,cuyabensis,Cienfuegosia,,Pilg.,,"Bot. Jahrb. Syst. 30: 171 1901",,,,,58655-2,wfo-0000604617,3938090,
c988f802-8fcc-11eb-924d-9cd76263cbd0,species,digitata,Cienfuegosia,,Cav.,,"Diss. 3: 174 1787",,,,,329511-2,wfo-0000604618,3938079,
c9892eda-8fcc-11eb-924d-9cd76263cbd0,species,drummondii,Cienfuegosia,,"(A.Gray) Lewton",,"Bull. Torrey Bot. Club 37: 473 1910",,,,,58656-2,wfo-0000604620,3152247,
c9894956-8fcc-11eb-924d-9cd76263cbd0,species,ellenbeckii,Cienfuegosia,,Gürke,,"Bot. Jahrb. Syst. 33: 381 1903",,,,,559317-1,wfo-0000604621,3938054,
c98963aa-8fcc-11eb-924d-9cd76263cbd0,species,escholtzioides,Cienfuegosia,,Hochr.,,"Bull. Herb. Boissier II, 5: 302 1905",,,,,58659-2,wfo-0000604622,3938042,
c9897e26-8fcc-11eb-924d-9cd76263cbd0,species,flaviflora,Cienfuegosia,,"(F.Muell.) Hochr.",,"Annuaire Conserv. Jard. Bot. Genève 6: 56 1902",,,,,559319-1,wfo-0000604623,3938034,
c9899afa-8fcc-11eb-924d-9cd76263cbd0,species,gerrardii,Cienfuegosia,,"(Harv.) Hochr.",,"Annuaire Conserv. Jard. Bot. Genève 6: 56 1902",,,,,559320-1,wfo-0000604624,3938029,
c989b760-8fcc-11eb-924d-9cd76263cbd0,species,glabrifolia,Cienfuegosia,,"(A.St.Hil. & Naudin) O.J.Blanch.",,"Ann. Missouri Bot. Gard. 65: 766 1978 publ. 1979",,,,,58660-2,wfo-0000604625,3938019,
c989d7cc-8fcc-11eb-924d-9cd76263cbd0,species,gossypioides,Cienfuegosia,,"(R.Br.) Hochr.",,"Annuaire Conserv. Jard. Bot. Genève 6: 56 1902",,,,,559322-1,wfo-0000604626,3938008,
c98a040e-8fcc-11eb-924d-9cd76263cbd0,species,hakeifolia,Cienfuegosia,,"(Giord.) Hochr.",,"Annuaire Conserv. Jard. Bot. Genève 6: 56 1902",,,,,559323-1,wfo-0000604627,7279256,
c98a68c2-8fcc-11eb-924d-9cd76263cbd0,variety,lilacina,Cienfuegosia,hakeifolia,"(Lindl.) Hochr.",,"Annuaire Conserv. Jard. Bot. Genève 6: 56 1902",,,,,,wfo-0000604629,3937983,
c98a9fb8-8fcc-11eb-924d-9cd76263cbd0,species,hassleriana,Cienfuegosia,,Hochr.,,"Bull. Herb. Boissier II, 5: 302 1905",,,,,58661-2,wfo-0000604630,3937966,
c98ac2e0-8fcc-11eb-924d-9cd76263cbd0,species,hearnii,Cienfuegosia,,Fryxell,,"Brittonia 19: 33 1967",,,,,559325-1,wfo-0000604631,3937963,
c98ae5c2-8fcc-11eb-924d-9cd76263cbd0,species,heteroclada,Cienfuegosia,,Sprague,,"Bull. Misc. Inform. Kew 1907: 48 1907",,,,,559326-1,wfo-0000604632,3937959,
c98b0412-8fcc-11eb-924d-9cd76263cbd0,species,heterophylla,Cienfuegosia,,"(Vent.) Garcke",,"Bonplandia (Hannover) 8: 150 1860",,,,,559327-1,wfo-0000604633,3152246,
c98b232a-8fcc-11eb-924d-9cd76263cbd0,variety,cuneata,Cienfuegosia,heterophylla,"(Benth.) J.F.Macbr.",,"Publ. Field Mus. Nat. Hist., Bot. Ser. 13(3A): 477 1956",,,,,58662-2,wfo-0000604634,3937948,
c98b40d0-8fcc-11eb-924d-9cd76263cbd0,subspecies,subternata,Cienfuegosia,heterophylla,Hassl.,,"Repert. Spec. Nov. Regni Veg. 7: 380 1909",,,,,58663-2,wfo-0000604635,3937944,
c98b5e26-8fcc-11eb-924d-9cd76263cbd0,species,hildebrandtii,Cienfuegosia,,Garcke,,"Jahrb. Königl. Bot. Gart. Berlin 2: 337 1883",,,,,559328-1,wfo-0000604636,3937939,
c98b7d16-8fcc-11eb-924d-9cd76263cbd0,species,hispida,Cienfuegosia,,R.E.Fr.,,"Kongl. Svenska Vetensk. Acad. Handl. III, 24(2): 33 1947",,,,,58665-2,wfo-0000604637,3937931,
c98bb7f4-8fcc-11eb-924d-9cd76263cbd0,species,hitchcockii,Cienfuegosia,,"(Ulbr. ex Kearney) O.J.Blanch.",,"Ann. Missouri Bot. Gard. 65: 764 1978 publ. 1979",,,,,58664-2,wfo-0000604639,3937921,
c98bd702-8fcc-11eb-924d-9cd76263cbd0,species,humbertiana,Cienfuegosia,,"(Hochr.) Fryxell",,"Ann. Missouri Bot. Gard. 61: 492 1974",,,,,559331-1,wfo-0000604640,3937916,
c98bf3c2-8fcc-11eb-924d-9cd76263cbd0,species,incana,Cienfuegosia,,Schwartz,,"Mitt. Inst. Allg. Bot. Hamburg 10: 165 1939",,,,,559332-1,wfo-0000604641,3937910,
c98c106e-8fcc-11eb-924d-9cd76263cbd0,species,integrifolia,Cienfuegosia,,"(Chodat & Hassl.) Fryxell",,"Ann. Missouri Bot. Gard. 56: 227 1969",,,,,58666-2,wfo-0000604642,3937905,
c98c2d06-8fcc-11eb-924d-9cd76263cbd0,species,intermedia,Cienfuegosia,,Fryxell,,"Brittonia 19: 37 1967",,,,,58667-2,wfo-0000604643,3937895,
c98c49da-8fcc-11eb-924d-9cd76263cbd0,species,junciformis,Cienfuegosia,,A.Chev.,,"Rev. Int. Bot. Appl. Agric. Trop. 30: 267 1950",,,,,559335-1,wfo-0000604644,3937885,
c98c6906-8fcc-11eb-924d-9cd76263cbd0,species,lanceolata,Cienfuegosia,,"(A.St.-Hil.) Krapov.",,"Bonplandia (Corrientes) 12: 20 2003",,,,,1154098-2,wfo-0000604645,3937879,
c98c8b2a-8fcc-11eb-924d-9cd76263cbd0,species,latifolia,Cienfuegosia,,"(Benth.) Hochr.",,"Annuaire Conserv. Jard. Bot. Genève 6: 57 1902",,,,,559336-1,wfo-0000604646,3937872,
c98cccc0-8fcc-11eb-924d-9cd76263cbd0,species,palmeri,Cienfuegosia,,Rose,,"Contr. U. S. Natl. Herb. 1: 308 1895",,,,,58668-2,wfo-0000604647,3937857,
c98cf11e-8fcc-11eb-924d-9cd76263cbd0,species,pedata,Cienfuegosia,,"(Bailey) Domin",,"Biblioth. Bot. 89: 410 1928",,,,,559338-1,wfo-0000604648,3937847,
c98d4c68-8fcc-11eb-924d-9cd76263cbd0,species,pentaphylla,Cienfuegosia,,K.Schum.,,"Bot. Jahrb. Syst. 10: 48 1889",,,,,,wfo-0000604650,3937845,
c98d6fc2-8fcc-11eb-924d-9cd76263cbd0,species,phlomidifolia,Cienfuegosia,,"(A.St.-Hil.) Garcke",,"Bonplandia (Hannover) 8: 150 1860",,,,,1094670-2,wfo-0000604651,7279237,
c98d8d72-8fcc-11eb-924d-9cd76263cbd0,variety,humilis,Cienfuegosia,phlomidifolia,Gürke,,"Fl. Bras. 12(3): 575 1892",,,,,58670-2,wfo-0000604652,3937831,
c98dab36-8fcc-11eb-924d-9cd76263cbd0,species,populifolia,Cienfuegosia,,"(Benth.) Hochr.",,"Annuaire Conserv. Jard. Bot. Genève 6: 57 1902",,,,,559341-1,wfo-0000604653,3937821,
c98dcba2-8fcc-11eb-924d-9cd76263cbd0,species,pulchella,Cienfuegosia,,"(C.A.Gardner) C.A.Gardner",,"Enum. Pl. Austr.-Occ. 79 1931",,,,,559342-1,wfo-0000604654,3937812,
c98de8bc-8fcc-11eb-924d-9cd76263cbd0,species,punctata,Cienfuegosia,,Domin,,"Biblioth. Bot. 89: 410 1928",,,,,559343-1,wfo-0000604655,3937806,
c98e04fa-8fcc-11eb-924d-9cd76263cbd0,species,riedelii,Cienfuegosia,,Gürke,,"Fl. Bras. 12(3): 576 1892",,,,,58671-2,wfo-0000604656,3937796,
c98e384e-8fcc-11eb-924d-9cd76263cbd0,species,robinsonii,Cienfuegosia,,"(F.Muell.) Hochr.",,"Annuaire Conserv. Jard. Bot. Genève 6: 57 1902",,,,,559345-1,wfo-0000604657,,
c98eb094-8fcc-11eb-924d-9cd76263cbd0,species,rosei,Cienfuegosia,,Fryxell,,"Ann. Missouri Bot. Gard. 56: 210 1969",,,,,58673-2,wfo-0000604658,3937783,
c98ed0e2-8fcc-11eb-924d-9cd76263cbd0,species,saraviae,Cienfuegosia,,Krapov.,,"Bonplandia (Corrientes) 12: 34 2003",,,,,,wfo-0000604659,3937778,
c98f6b4c-8fcc-11eb-924d-9cd76263cbd0,species,schulzii,Cienfuegosia,,Krapov.,,"Bonplandia (Corrientes) 12: 34 2003",,,,,,wfo-0000604662,3937774,
c98f955e-8fcc-11eb-924d-9cd76263cbd0,species,somalensis,Cienfuegosia,,Gürke,,"Bot. Jahrb. Syst. 33: 380 1903",,,,,559347-1,wfo-0000604663,3937771,
c98fbe26-8fcc-11eb-924d-9cd76263cbd0,species,somaliana,Cienfuegosia,,Fryxell,,"Brittonia 19: 33 1967",,,,,559348-1,wfo-0000604664,3937767,
c98fdcd0-8fcc-11eb-924d-9cd76263cbd0,species,subprostrata,Cienfuegosia,,Hochr.,,"Annuaire Conserv. Jard. Bot. Genève 6: 57 1902",,,,,58672-2,wfo-0000604665,7279226,
c98ff882-8fcc-11eb-924d-9cd76263cbd0,variety,vera,Cienfuegosia,subprostrata,Hassl.,,"Repert. Spec. Nov. Regni Veg. 7: 379 1909",,,,,58674-2,wfo-0000604666,3937746,
c990133a-8fcc-11eb-924d-9cd76263cbd0,species,subternata,Cienfuegosia,,"(Hassl.) Fryxell",,"Taxon 16: 321 1967",,,,,,wfo-0000604667,8382212,
c9902e2e-8fcc-11eb-924d-9cd76263cbd0,species,sulfurea,Cienfuegosia,,"(A.St.Hil.) Garcke",,"Bonplandia (Hannover) 8: 150 1860",,,,,1205290-2,wfo-0000604668,7279224,
c9904af8-8fcc-11eb-924d-9cd76263cbd0,variety,drummondii,Cienfuegosia,sulfurea,"(A.Gray) Hochr.",,"Annuaire Conserv. Jard. Bot. Genève 6: 57 1902",,,,,,wfo-0000604669,7847298,
c9906880-8fcc-11eb-924d-9cd76263cbd0,variety,glabra,Cienfuegosia,sulfurea,Gürke,,"Fl. Bras. 12(3): 577 1892",,,,,,wfo-0000604670,7651685,
c990a8d6-8fcc-11eb-924d-9cd76263cbd0,variety,integrifolia,Cienfuegosia,sulfurea,"Chodat & Hassl.",,"Bull. Herb. Boissier II, 5: 302 1905",,,,,,wfo-0000604672,8368375,
c990fbe2-8fcc-11eb-924d-9cd76263cbd0,form,intermedia,Cienfuegosia,sulfurea,"Chodat & Hassl.",,"Bull. Herb. Boissier II, 5: 302 1905",,,,,,wfo-0000604673,7349583,
c9911820-8fcc-11eb-924d-9cd76263cbd0,variety,major,Cienfuegosia,sulfurea,Hassl.,,"Repert. Spec. Nov. Regni Veg. 7: 379 1909",,,,,,wfo-0000604674,8163971,
b623cf8a-8fd1-11eb-924d-9cd76263cbd0,species,sulphurea,Cienfuegosia,,"(A.St.-Hil.) Garcke",,"Bonplandia 8: 150 1860",,,,,559350-1,wfo-0001235790,7724986,
c99132e2-8fcc-11eb-924d-9cd76263cbd0,species,sulphurea,Cienfuegosia,,"(Kunth) Hassl.",,"Ostenia 343 1933",,,,,58675-2,wfo-0000604675,7279221,
b623ea2e-8fd1-11eb-924d-9cd76263cbd0,variety,drummondii,Cienfuegosia,sulphurea,"(A.Gray) Hochr.",,"Annuaire Conserv. Jard. Bot. Genève 6: 57 1902",,,,,58676-2,wfo-0001235791,3937722,
ca60c6d8-8fd1-11eb-924d-9cd76263cbd0,variety,glabra,Cienfuegosia,sulphurea,Gürke,,"Fl. Bras. 12(3): 577 1892",,,,,58678-2,wfo-0001273349,3937717,
c8276fe8-8fd1-11eb-924d-9cd76263cbd0,variety,integrifolia,Cienfuegosia,sulphurea,"Chodat & Hassl.",,"Bull. Herb. Boissier, sér. 2, 5: 302 1905",,,,,58679-2,wfo-0001269065,3937711,
c9914fa2-8fcc-11eb-924d-9cd76263cbd0,species,thespesioides,Cienfuegosia,,"(Benth.) Hochr.",,"Annuaire Conserv. Jard. Bot. Genève 6: 58 1902",,,,,559352-1,wfo-0000604676,3937687,
c9916e88-8fcc-11eb-924d-9cd76263cbd0,species,tripartita,Cienfuegosia,,"(Kunth) Gürke",,"Fl. Bras. 12(3): 578 1892",,,,,58681-2,wfo-0000604677,3937676,
c9919052-8fcc-11eb-924d-9cd76263cbd0,species,triphylla,Cienfuegosia,,"(Harv.) Hochr.",,"Annuaire Conserv. Jard. Bot. Genève 6: 59 1902",,,,,559354-1,wfo-0000604678,3937672,
1581eda4-8fcd-11eb-924d-9cd76263cbd0,species,tuberculata,Cienfuegosia,,Cav.,,"Diss. 3: 165 1787",,,,,,wfo-0000737437,8290786,
