id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
9c3d7192-9bad-11eb-a8a2-19ed5c03f8d3,genus,Ciferriusia,,,Bat.,Q4079389,1962,,"in Batista & Ciferri, Beih. Sydowia 3: 17 (1962)",,,,9c3d7192-9bad-11eb-a8a2-19ed5c03f8d3,,,,,1050," "
9af48dd0-9bac-11eb-a8a2-19ed5c03f8d3,species,amazonensis,Ciferriusia,,"Bat., M.P. Herrera & Peres",Q4079389,1964,,"Anais XIV Congr. Soc. bot. Brasil 169 (1964)",,,,9af48dd0-9bac-11eb-a8a2-19ed5c03f8d3,,,,,328278," "
0bd445fe-9bad-11eb-a8a2-19ed5c03f8d3,species,falcispora,Ciferriusia,,"J.L. Bezerra & Poroca",,1972,,"Publicações. Instituto de Micologia da Universidade de Pernambuco 640: 7 (1972)",,,,0bd445fe-9bad-11eb-a8a2-19ed5c03f8d3,,,,,311133," "
9bdcfc2c-9bad-11eb-a8a2-19ed5c03f8d3,species,ingicola,Ciferriusia,,"Bat., Cavalc. & Peres","Q4079389,Q21338946",1964,,"Anais XIV Congr. Soc. bot. Brasil 170 (1964)",,,,9bdcfc2c-9bad-11eb-a8a2-19ed5c03f8d3,,,,,328279," "
9bdd2f44-9bad-11eb-a8a2-19ed5c03f8d3,species,orientalis,Ciferriusia,,"Bat. & Costa{?}",Q4079389,,,,,,,9bdd2f44-9bad-11eb-a8a2-19ed5c03f8d3,,,,,328280," "
1a31fbfa-9bad-11eb-a8a2-19ed5c03f8d3,species,piperis,Ciferriusia,,"Bat. & O.M. Fonseca",Q4079389,1966,,"Atas Inst. Micol. Univ. Recife 3: 49 (1966)",,,,1a31fbfa-9bad-11eb-a8a2-19ed5c03f8d3,,,,,328281," "
1a328f2a-9bad-11eb-a8a2-19ed5c03f8d3,species,psychotriae,Ciferriusia,,Bat.,Q4079389,1962,,"in Batista & Ciferri, Beih. Sydowia 3: 18 (1962)",,,,1a328f2a-9bad-11eb-a8a2-19ed5c03f8d3,,,,,328282," "
1a33784a-9bad-11eb-a8a2-19ed5c03f8d3,species,spathodeae,Ciferriusia,,"Bat. & Matta",Q4079389,1962,,"in Batista & Ciferri, Beih. Sydowia 3: 19 (1962)",,,,1a33784a-9bad-11eb-a8a2-19ed5c03f8d3,,,,,328283," "
1a341b1a-9bad-11eb-a8a2-19ed5c03f8d3,species,wormersleyi,Ciferriusia,,"(Hansf.) Bat.",Q4079389,,,,,,,783c981e-9bac-11eb-a8a2-19ed5c03f8d3,,,,,328284," "
4ef1b268-8fcd-11eb-924d-9cd76263cbd0,species,mexicana,Cigarrilla,,"(Zucc. & Mart. ex DC.) Aiello","Q77121,Q77131,Q123057,Q8200247",1979,,"J. Arnold Arbor. 60: 110 1979",,Q100559428,,78cf8db2-8fcd-11eb-924d-9cd76263cbd0,,58684-2,wfo-0000860145,2893952,,
