id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
9e75266c-9bad-11eb-a8a2-19ed5c03f8d3,genus,Cintractia,,,Cornu,Q2623599,1883,,"Annls Sci. Nat., Bot., sér. 6 15: 279 (1883)",,,,9e75266c-9bad-11eb-a8a2-19ed5c03f8d3,,,,,16063," "
d3ff8aee-9bac-11eb-a8a2-19ed5c03f8d3,species,abstrusa,Cintractia,,"(Malençon) Cif.",Q4516707,1931,,"Annls mycol. 29: 56 (1931)",,,,0be0c3c0-9bac-11eb-a8a2-19ed5c03f8d3,,,,,255592," "
510ed676-9bac-11eb-a8a2-19ed5c03f8d3,species,affinis,Cintractia,,Peck,Q1064899,1903,,"Ann. Rep. N.Y. St. Mus. 67: 28 (1903)",,,,510ed676-9bac-11eb-a8a2-19ed5c03f8d3,,,,,232393," "
1202756e-9bac-11eb-a8a2-19ed5c03f8d3,species,albida,Cintractia,,"S. Ito",,1935,,"Trans. Sapporo nat. Hist. Soc. 14(2): 93 (1935)",,,,1202756e-9bac-11eb-a8a2-19ed5c03f8d3,,,,,256197," "
b5be616c-9bad-11eb-a8a2-19ed5c03f8d3,species,algeriensis,Cintractia,,Pat.,,,,,,,,b5be616c-9bad-11eb-a8a2-19ed5c03f8d3,,,,,231559," "
b9e857c0-9bad-11eb-a8a2-19ed5c03f8d3,species,amazonica,Cintractia,,"Syd. & P. Syd.",,1916,,"Annls mycol. 14: 73 (1916)",,,,b9e857c0-9bad-11eb-a8a2-19ed5c03f8d3,,,,,232179," "
1ac00bde-9bad-11eb-a8a2-19ed5c03f8d3,species,americana,Cintractia,,"Nannf. & B. Lindeb.",Q2330447,1957,,"Svensk bot. Tidskr. 51: 515 (1957)",,,,1ac00bde-9bad-11eb-a8a2-19ed5c03f8d3,,,,,294863," "
aa81f2a6-9bac-11eb-a8a2-19ed5c03f8d3,species,amicta,Cintractia,,Cif.,Q4516707,1931,,"Ark. Bot. 23A(14): 10 (1931)",,,,aa81f2a6-9bac-11eb-a8a2-19ed5c03f8d3,,,,,256666," "
72fb6a7e-9bac-11eb-a8a2-19ed5c03f8d3,species,andina,Cintractia,,Kukkonen,Q6447623,1977,,"Karstenia 17(1): 5 (1977)",,,,72fb6a7e-9bac-11eb-a8a2-19ed5c03f8d3,,,,,311140," "
a17ab260-9bac-11eb-a8a2-19ed5c03f8d3,species,andropogonis,Cintractia,,"(Opiz) Kochman",Q55069871,,,,,,,1ab50dc0-9bac-11eb-a8a2-19ed5c03f8d3,,,,,250675," "
08a03664-9bac-11eb-a8a2-19ed5c03f8d3,species,angulata,Cintractia,,Syd.,,1924,,"Annls mycol. 22(3/6): 288 (1924)",,,,08a03664-9bac-11eb-a8a2-19ed5c03f8d3,,,,,256863," "
