id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e1cd2460-8fd1-11eb-924d-9cd76263cbd0,genus,Claytoniella,,,Jurtzev,Q18820017,1972,,"Bot. Žhurn. (Moscow & Leningrad) 57: 644. 1972.",,,,,,,wfo-4000008526,7288803,,
cc460af8-8fcc-11eb-924d-9cd76263cbd0,species,bostockii,Claytoniella,,"(A.E.Porsild) Jurtzev","Q4994357,Q18820017",1972,,"Bot. Zhurn. (Moscow & Leningrad) 57: 645 1972",,,,cc18b2a6-8fcc-11eb-924d-9cd76263cbd0,,60109-2,wfo-0000609225,4021981,,
cc463118-8fcc-11eb-924d-9cd76263cbd0,species,vassilievii,Claytoniella,,"(Kuzen.) Jurtzev","Q19608777,Q18820017",1972,,"Bot. Zhurn. (Moscow & Leningrad) 57: 645 1972",,,,cc432752-8fcc-11eb-924d-9cd76263cbd0,,698860-1,wfo-0000609226,4021975,,
2b0347ea-8fcd-11eb-924d-9cd76263cbd0,species,bicolor,Cleanthe,,Salisb.,Q1358261,1812,,"Trans. Hort. Soc. London 1: 312 1812",,,,,,436412-1,wfo-0000782639,2744977,,
2b03613a-8fcd-11eb-924d-9cd76263cbd0,species,lugens,Cleanthe,,"(L.f.) Asch. & Graebn.","Q178823,Q61290,Q67753",1906,,"Syn. Mitteleur. Fl. 3: 534 1906",,,,2bf48768-8fcd-11eb-924d-9cd76263cbd0,,436413-1,wfo-0000782640,2744979,,
2b037e5e-8fcd-11eb-924d-9cd76263cbd0,species,melaleuca,Cleanthe,,"(Thunb.) Baker","Q39658,Q730330",1877,,"J. Linn. Soc., Bot. 16: 112 1877",,,,,,,wfo-0000782641,2744976,,
ed1900fc-8fbb-11eb-924d-9cd76263cbd0,species,brasiliensis,Cleanthes,,"(L.) D.Don","Q1043,Q1174244",1830,,"195 1830",,Q55758798,,,,196296-1,wfo-0000137675,3137403,,
fbed2328-8fb2-11eb-924d-9cd76263cbd0,species,hieracioides,Cleanthes,,D.Don,Q1174244,1830,,"197 1830",,Q55758798,,,,196297-1,wfo-0000038980,3137387,,
6e69b0f2-8fb7-11eb-924d-9cd76263cbd0,variety,thrincioides,Cleanthes,hieracioides,"(Griseb.) Griseb.",Q76351,1879,,"Abh. Königl. Ges. Wiss. Göttingen 24 217 1879",,,,,,60111-2,wfo-0000099686,4217523,,
d556c672-8fb4-11eb-924d-9cd76263cbd0,species,ochroleuca,Cleanthes,,"(Cass.) Parodi","Q958431,Q359462",1929,,"87 1929",,,,,,60113-2,wfo-0000070470,3137393,,
fb25f94c-8fb2-11eb-924d-9cd76263cbd0,species,othonoides,Cleanthes,,"(Less.) Griseb.","Q76352,Q76351",1879,,"217 1879",,,,82ae1b84-8fb2-11eb-924d-9cd76263cbd0,,196299-1,wfo-0000038910,,,
