id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e1d022e6-8fd1-11eb-924d-9cd76263cbd0,genus,Clematis,,,L.,0,1753,,"Sp. Pl. : 543 (1753)",,,Q849308,,,urn:lsid:ipni.org:names:329401-2,wfo-4000008565,3033512,,
185c4efc-8fcd-11eb-924d-9cd76263cbd0,variety,rubroviolacea,Clematis,×jackmanii,Regel,0,1866,,"Index Seminum (LE, Petropolitanus) 1866(Suppl.): 35 (1867 publ. 1868)",,,,,,urn:lsid:ipni.org:names:60452720-2,wfo-0000743585,8189727,,
cc6169c4-8fcc-11eb-924d-9cd76263cbd0,species,acapulcensis,Clematis,,"Hook. & Arn.",0,1840,,"Bot. Beechey Voy. : 410 (1840)",,,Q6144159,,,urn:lsid:ipni.org:names:709454-1,wfo-0000609420,7277591,,
cc618a80-8fcc-11eb-924d-9cd76263cbd0,variety,puberula,Clematis,acapulcensis,W.T.Wang,0,2001,,"Acta Phytotax. Sin. 39: 321 (2001)",,,Q5656885,,,urn:lsid:ipni.org:names:20000141-1,wfo-0000609421,3927121,,
cc61a754-8fcc-11eb-924d-9cd76263cbd0,species,acerifolia,Clematis,,Maxim.,0,1879,,"Bull. Soc. Imp. Naturalistes Moscou 54(I): 2 (1879)",,,,,,urn:lsid:ipni.org:names:709455-1,wfo-0000609422,7277587,,
cc61cd88-8fcc-11eb-924d-9cd76263cbd0,variety,elobata,Clematis,acerifolia,S.X.Yan,0,2005,,"Acta Phytotax. Sin. 43: 76 (2005)",,,Q5656885,,,urn:lsid:ipni.org:names:77067066-1,wfo-0000609423,3927107,,
cc61f1b4-8fcc-11eb-924d-9cd76263cbd0,species,actinostemmatifolia,Clematis,,W.T.Wang,0,2000,,"Acta Phytotax. Sin. 38: 421 (2000)",,,Q5656885,,,urn:lsid:ipni.org:names:1016991-1,wfo-0000609424,3927098,,
cc622b66-8fcc-11eb-924d-9cd76263cbd0,species,acuminata,Clematis,,DC.,0,1817,,"Syst. Nat. 1: 148 (1817)",,,,,,urn:lsid:ipni.org:names:709456-1,wfo-0000609425,7277571,,
17acbabe-8fcd-11eb-924d-9cd76263cbd0,subspecies,andersonii,Clematis,acuminata,"(Brühl) B.M.Kapoor",0,1966,,"Bull. Natl. Bot. Gard. 124: 10 1966",,,,cc625320-8fcc-11eb-924d-9cd76263cbd0,,,wfo-0000742094,7841320,,
cc625320-8fcc-11eb-924d-9cd76263cbd0,variety,andersonii,Clematis,acuminata,Brühl,0,1896,,"Ann. Roy. Bot. Gard. (Calcutta) 5(2): 75 1896",,,Q10856093,,,urn:lsid:ipni.org:names:51033412-1,wfo-0000609426,7841320,,
