id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
9c465ba4-9bad-11eb-a8a2-19ed5c03f8d3,genus,Clisosporium,,,Fr.,0,1819,,"Novit. fl. svec. 80 (1819)",,,,9c465ba4-9bad-11eb-a8a2-19ed5c03f8d3,,,,,7699,"Nom. rejic., Art. 56.1 "
67677fb8-9bac-11eb-a8a2-19ed5c03f8d3,species,abnorme,Clisosporium,,"(Sacc.) Kuntze",0,1898,,"Revis. gen. pl. (Leipzig) 3: 458 (1898)",,,Q7318442,c9dd7fb2-9bac-11eb-a8a2-19ed5c03f8d3,,,,,524470," "
6767ae7a-9bac-11eb-a8a2-19ed5c03f8d3,species,aequivocum,Clisosporium,,"(Ces.) Kuntze",0,1898,,"Revis. gen. pl. (Leipzig) 3: 458 (1898)",,,Q7318442,7cf9a2ee-9bab-11eb-a8a2-19ed5c03f8d3,,,,,524471," "
67680f46-9bac-11eb-a8a2-19ed5c03f8d3,species,agaves,Clisosporium,,"(Mont.) Kuntze",0,1898,,"Revis. gen. pl. (Leipzig) 3: 458 (1898)",,,Q7318442,85a7b09c-9bac-11eb-a8a2-19ed5c03f8d3,,,,,524472," "
47d4fe32-9bac-11eb-a8a2-19ed5c03f8d3,species,albistratum,Clisosporium,,"(Peck) Kuntze",0,1898,,"Revis. gen. pl. (Leipzig) 3: 458 (1898)",,,Q7318442,43daef9e-9bac-11eb-a8a2-19ed5c03f8d3,,,,,524473," "
47d528e4-9bac-11eb-a8a2-19ed5c03f8d3,species,anserinum,Clisosporium,,"(Sacc.) Kuntze",0,1898,,"Revis. gen. pl. (Leipzig) 3: 458 (1898)",,,Q7318442,7b03fc96-9bab-11eb-a8a2-19ed5c03f8d3,,,,,524474," "
0092af42-9bac-11eb-a8a2-19ed5c03f8d3,species,arodeum,Clisosporium,,"(Cooke & Massee) Kuntze",0,,,,,,,75a64c94-9bac-11eb-a8a2-19ed5c03f8d3,,,,,527619," Clisosporium aroideum"
47d55c74-9bac-11eb-a8a2-19ed5c03f8d3,species,aroideum,Clisosporium,,"(Cooke & Massee) Kuntze",0,1898,,"Revis. gen. pl. (Leipzig) 3: 458 (1898)",,,Q7318442,75a64c94-9bac-11eb-a8a2-19ed5c03f8d3,,,,,524475," arodeum"
47d5b8fe-9bac-11eb-a8a2-19ed5c03f8d3,species,arthurianum,Clisosporium,,"(Sacc. & Berl.) Kuntze",0,1898,,"Revis. gen. pl. (Leipzig) 3: 458 (1898)",,,Q7318442,68375e22-9bac-11eb-a8a2-19ed5c03f8d3,,,,,524476," "
47d5e3ec-9bac-11eb-a8a2-19ed5c03f8d3,species,arundinaceum,Clisosporium,,"(Sacc.) Kuntze",0,1898,,"Revis. gen. pl. (Leipzig) 3: 458 (1898)",,,Q7318442,689cb196-9bac-11eb-a8a2-19ed5c03f8d3,,,,,524477," "
