id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
a3b1f7e0-9bad-11eb-a8a2-19ed5c03f8d3,genus,Coelomomyces,,,Keilin,,1921,,"Parasitology 13: 226 (1921)",,,,a3b1f7e0-9bad-11eb-a8a2-19ed5c03f8d3,,,,,20136," "
2d164308-9bac-11eb-a8a2-19ed5c03f8d3,species,africanus,Coelomomyces,,"A.J. Walker ex Couch & Bland",,1985,,"The Genus Coelomomyces (Orlando) 114 (1985)",,,,2d164308-9bac-11eb-a8a2-19ed5c03f8d3,,,,,114725," "
33c8cca6-9bad-11eb-a8a2-19ed5c03f8d3,species,angolensis,Coelomomyces,,"H. Ribeiro",,1992,,"Journal of Medical Entomology 29(1): 30 (1992)",,,,33c8cca6-9bad-11eb-a8a2-19ed5c03f8d3,,,,,359500," "
58bdf29e-9bac-11eb-a8a2-19ed5c03f8d3,species,anophelesica,Coelomomyces,,"A.V.V. Iyengar",,,,,,,,58bdf29e-9bac-11eb-a8a2-19ed5c03f8d3,,,,,256969," Coelomomyces anophelesicus"
5ee4d098-9bac-11eb-a8a2-19ed5c03f8d3,species,anophelesicus,Coelomomyces,,"A.V.V. Iyengar",,1962,invalid,"J. Elisha Mitchell scient. Soc. 78: 134 (1962)",,,,5ee4d098-9bac-11eb-a8a2-19ed5c03f8d3,,,,,328563," "
2d1672d8-9bac-11eb-a8a2-19ed5c03f8d3,species,arcellaneus,Coelomomyces,,"Couch & Lum",,1985,,"The Genus Coelomomyces (Orlando) 123 (1985)",,,,2d1672d8-9bac-11eb-a8a2-19ed5c03f8d3,,,,,114726," "
2cbb16ae-9bac-11eb-a8a2-19ed5c03f8d3,species,arsenjevii,Coelomomyces,,"Koval & E.S. Kuprian.",,1981,,"Mikrobiol. Zh. 43(5): 661 (1981)",,,,2cbb16ae-9bac-11eb-a8a2-19ed5c03f8d3,,,,,114332," "
3e23a604-9bac-11eb-a8a2-19ed5c03f8d3,species,ascariformis,Coelomomyces,,"Van Thiel",,1962,invalid,"J. Elisha Mitchell scient. Soc. 78(2): 135 (1962)",,,,3e23a604-9bac-11eb-a8a2-19ed5c03f8d3,,,,,440850,"Nom. inval., Art. 36.1 "
64c047da-9bad-11eb-a8a2-19ed5c03f8d3,species,azerbaijanicus,Coelomomyces,,"E.S. Kuprian. & Koval",,1986,,"in Koval' & Kupriyanova, Mikol. Fitopatol. 20(2): 99 (1986)",,,,64c047da-9bad-11eb-a8a2-19ed5c03f8d3,,,,,104880," azerbajdzanicus"
b1048d14-9bac-11eb-a8a2-19ed5c03f8d3,species,azerbajdzanicus,Coelomomyces,,"E.S. Kuprian. & Koval",,,,,,,,b1048d14-9bac-11eb-a8a2-19ed5c03f8d3,,,,,258198," Coelomomyces azerbaijanicus"
3f6ba322-9bac-11eb-a8a2-19ed5c03f8d3,species,beirnei,Coelomomyces,,"Weiser & McCauley",,1972,,"Can. J. Zool. 50 (3) : 365 (1972)",,,,3f6ba322-9bac-11eb-a8a2-19ed5c03f8d3,,,,,283398," "
3e23d476-9bac-11eb-a8a2-19ed5c03f8d3,species,bisymmetricus,Coelomomyces,,"Couch & H.R. Dodge ex Couch",,1962,invalid,"J. Elisha Mitchell scient. Soc. 78(2): 137 (1962)",,,,3e23d476-9bac-11eb-a8a2-19ed5c03f8d3,,,,,440851," "
2d16af64-9bac-11eb-a8a2-19ed5c03f8d3,species,borealis,Coelomomyces,,"Couch & Service",,1985,,"The Genus Coelomomyces (Orlando) 126 (1985)",,,,2d16af64-9bac-11eb-a8a2-19ed5c03f8d3,,,,,114727," "
b2a3592a-9bac-11eb-a8a2-19ed5c03f8d3,variety,borealis,Coelomomyces,borealis,"Couch & Service",,1985,,"The Genus Coelomomyces (Orlando) 126 (1985)",,,,b2a3592a-9bac-11eb-a8a2-19ed5c03f8d3,,,,,417342," "
2f042d24-9bac-11eb-a8a2-19ed5c03f8d3,variety,giganteus,Coelomomyces,borealis,"Couch & Bellamy",,1985,,"The Genus Coelomomyces (Orlando) 129 (1985)",,,,2f042d24-9bac-11eb-a8a2-19ed5c03f8d3,,,,,117291," "
5ee59b22-9bac-11eb-a8a2-19ed5c03f8d3,species,cairnsensis,Coelomomyces,,Laird,,1962,invalid,"J. Elisha Mitchell scient. Soc. 78: 132 (1962)",,,,5ee59b22-9bac-11eb-a8a2-19ed5c03f8d3,,,,,328565," "
8203c8f4-9bac-11eb-a8a2-19ed5c03f8d3,species,canadense,Coelomomyces,,"(Weiser & McCauley) Nolan",,,,,,,,3d58781c-9bac-11eb-a8a2-19ed5c03f8d3,,,,,258200," Coelomomyces canadensis"
7f8e607e-9bad-11eb-a8a2-19ed5c03f8d3,species,canadensis,Coelomomyces,,"(Weiser & McCauley) Nolan",,1978,,"Can. J. Bot. 56(18): 2303 (1978)",,,,3d58781c-9bac-11eb-a8a2-19ed5c03f8d3,,,,,311438," canadense"
2d16ecea-9bac-11eb-a8a2-19ed5c03f8d3,species,carolinianus,Coelomomyces,,"Couch, Umphlett & H.A. Bond",,1985,,"The Genus Coelomomyces (Orlando) 136 (1985)",,,,2d16ecea-9bac-11eb-a8a2-19ed5c03f8d3,,,,,114728," "
