id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e1e6294c-8fd1-11eb-924d-9cd76263cbd0,genus,Coelospermum,,,Blume,Q76816,,,,,,,,,327850-2,wfo-4000008840,2897071,,
6cfe94c4-8fcd-11eb-924d-9cd76263cbd0,species,acuminatum,Coelospermum,,Geddes,Q381848,1928,,"Bull. Misc. Inform. Kew 1928: 244 1928",,Q55778842,,,,747004-1,wfo-0000909798,2897076,,
6cffc074-8fcd-11eb-924d-9cd76263cbd0,species,ahernianum,Coelospermum,,Elmer,Q1105726,1906,,"Leafl. Philipp. Bot. 1: 3 1906",,,,,,747005-1,wfo-0000909807,3849014,,
6d008ee6-8fcd-11eb-924d-9cd76263cbd0,species,balansanum,Coelospermum,,Baill.,Q461931,1879,,"Adansonia 12: 236 1879",,,,,,,wfo-0000909814,2897090,,
6d00e65c-8fcd-11eb-924d-9cd76263cbd0,species,barbatum,Coelospermum,,Span.,Q5932839,1841,,"Linnaea 15: 318 1841",,,,,,747007-1,wfo-0000909817,2900352,,
6d01c31a-8fcd-11eb-924d-9cd76263cbd0,species,billardierei,Coelospermum,,Däniker,Q14971649,1933,,"Vierteljahrsschr. Naturf. Ges. Zürich 78: 461 1933",,,,,,,wfo-0000909824,2897092,,
6d02b0fe-8fcd-11eb-924d-9cd76263cbd0,species,biovulatum,Coelospermum,,"C.B.Clarke ex Ridl.","Q2659116,Q733709",1918,,"J. Straits Branch Roy. Asiat. Soc. 79: 87 1918",,Q99658109,,,,747008-1,wfo-0000909832,2897084,,
6d0361ac-8fcd-11eb-924d-9cd76263cbd0,species,chonanthum,Coelospermum,,Gilli,Q8194912,1979,,"Ann. Naturhist. Mus. Wien 83: 458 1979 publ. 1980",,,,,,896377-1,wfo-0000909838,2923445,,
6d03f932-8fcd-11eb-924d-9cd76263cbd0,species,corymbosum,Coelospermum,,"(Labill.) Baill. ex K.Schum.","Q528925,Q461931,Q63545",1891,,"Nat. Pflanzenfam. 4(4): 136 1891",,,,,,,wfo-0000909842,7397062,,
6d04ea5e-8fcd-11eb-924d-9cd76263cbd0,species,corymbosum,Coelospermum,,"Blume ex DC.","Q76816,Q123057",1830,,"Prodr. 4: 468 1830",,,,,,747009-1,wfo-0000909850,2897085,,
6d05b33a-8fcd-11eb-924d-9cd76263cbd0,species,crassifolium,Coelospermum,,J.T.Johanss.,Q5399182,1987,,"Blumea 32: 321 1987",,Q96032978,,,,933053-1,wfo-0000909856,2897089,,
2fae2cba-8fcd-11eb-924d-9cd76263cbd0,species,dasylobum,Coelospermum,,"Halford & A.J.Ford","Q15711547,Q18984660",2004,,"Austrobaileya 6: 911 2004",,,,,,,wfo-0000793051,2897103,,
6d061f14-8fcd-11eb-924d-9cd76263cbd0,species,decipiens,Coelospermum,,Baill.,Q461931,1879,,"Bull. Mens. Soc. Linn. Paris 1: 218 1879",,,,,,747010-1,wfo-0000909859,2915494,,
6d0762a2-8fcd-11eb-924d-9cd76263cbd0,species,fragrans,Coelospermum,,"(Montrouz.) Baill. ex Guillaumin","Q743935,Q461931,Q2847911",1930,,"Arch. Bot. Mém. 3(5): 41 1930",,,,,,747011-1,wfo-0000909864,2897096,,
6d097786-8fcd-11eb-924d-9cd76263cbd0,species,gmelinii,Coelospermum,,Miq.,Q76742,1867,,"Ann. Mus. Bot. Lugduno-Batavi 3: 62 1867",,,,,,747012-1,wfo-0000909874,7445938,,
6d0a2668-8fcd-11eb-924d-9cd76263cbd0,species,kanehirae,Coelospermum,,Merr.,Q729926,1928,,"Lingnan Sci. J. 6: 288 1928 publ. 1930",,,,,,747013-1,wfo-0000909878,2897079,,
6d0b336e-8fcd-11eb-924d-9cd76263cbd0,species,luteum,Coelospermum,,Geddes,Q381848,1928,,"Bull. Misc. Inform. Kew 1928: 245 1928",,Q55778842,,,,747014-1,wfo-0000909885,2897081,,
6d0b741e-8fcd-11eb-924d-9cd76263cbd0,species,monticola,Coelospermum,,"Baill. ex Guillaumin","Q461931,Q2847911",1930,,"Arch. Bot. Mém. 3(5): 41 1930",,,,,,747015-1,wfo-0000909887,3849001,,
6d0bf1d2-8fcd-11eb-924d-9cd76263cbd0,species,morindiforme,Coelospermum,,"Pierre ex Pit.","Q2593213,Q2958169",1924,,"Fl. Indo-Chine 3: 432 1924",,,,,,747016-1,wfo-0000909891,2897073,,
6d0c2fe4-8fcd-11eb-924d-9cd76263cbd0,species,nigrescens,Coelospermum,,"(K.Krause) Guillaumin","Q5961003,Q2847911",1930,,"Arch. Bot. Mém. 3(5): 41 1930",,,,e9f422c0-8fcb-11eb-924d-9cd76263cbd0,,747017-1,wfo-0000909893,2897093,,
6d0d401e-8fcd-11eb-924d-9cd76263cbd0,species,paniculatum,Coelospermum,,F.Muell.,Q708002,1865,,"Fragm. 5: 19 1865",,,,,,747018-1,wfo-0000909899,2897086,,
6e909198-8fcd-11eb-924d-9cd76263cbd0,species,purpureum,Coelospermum,,"Halford & A.J.Ford","Q15711547,Q18984660",2009,,"Austrobaileya 8: 70 2009",,,,,,,wfo-0000912000,5937995,,
6d0fced8-8fcd-11eb-924d-9cd76263cbd0,species,reticulatum,Coelospermum,,"(F.Muell.) Benth.","Q708002,Q731808",1867,,"Fl. Austral. 3: 425 1867",,,,,,747019-1,wfo-0000909919,2893031,,
6d108620-8fcd-11eb-924d-9cd76263cbd0,species,salomoniense,Coelospermum,,"(Engl.) J.T.Johanss.","Q60718,Q5399182",1988,,"Blumea 33: 281 1988",,Q96032920,,,,945810-1,wfo-0000909925,2897101,,
6d111c2a-8fcd-11eb-924d-9cd76263cbd0,species,scandens,Coelospermum,,Blume,Q76816,1826,,"Bijdr. 994 1826",,,,,,747020-1,wfo-0000909929,2897075,,
6d1254a0-8fcd-11eb-924d-9cd76263cbd0,species,truncatum,Coelospermum,,"(Wall.) Baill. ex K.Schum.","Q730310,Q461931,Q63545",1891,,"Nat. Pflanzenfam. 4(4): 136 1891",,,,,,,wfo-0000909934,2897072,,
6d12b85a-8fcd-11eb-924d-9cd76263cbd0,species,volubile,Coelospermum,,"(Merr.) J.T.Johanss.","Q729926,Q5399182",1988,,"Blumea 33: 281 1988",,Q96032920,,,,945811-1,wfo-0000909936,2897099,,
