id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e1f1a25e-8fd1-11eb-924d-9cd76263cbd0,genus,Colubrina,,,"Rich. ex Brongn.",,"Mém. Fam. Rhamnées 61–62, pl. 4, f. 3. 1826. (Jul 1826)",,,,,331506-2,wfo-4000008985,3039524,
cfb04b22-8fcc-11eb-924d-9cd76263cbd0,species,acuminata,Colubrina,,Griseb.,,"Cat. Pl. Cub. 34 1866",,,,,717053-1,wfo-0000615201,5603191,
cfb0833a-8fcc-11eb-924d-9cd76263cbd0,species,acunai,Colubrina,,Kitan.,,"God. Sofiisk. Univ. Biol. Fak., 2, Bot. Mikrobiol. Fiziol. Biohim. Rast. 64: 61 1969-1970 publ. 1972",,,,,63421-2,wfo-0000615203,5603190,
cfb09fa0-8fcc-11eb-924d-9cd76263cbd0,species,alamanii,Colubrina,,"(DC.) G.Don",,"Gen. Hist. 2: 37 1832",,,,,717055-1,wfo-0000615204,8389127,
cfb0b92c-8fcc-11eb-924d-9cd76263cbd0,species,alluaudii,Colubrina,,"(Pittier) Capuron",,"Adansonia n.s., 6: 133 1966",,,,,717056-1,wfo-0000615205,5603188,
cfb0d2c2-8fcc-11eb-924d-9cd76263cbd0,variety,rufovestita,Colubrina,alluaudii,Capuron,,"Adansonia n.s., 6: 135 1966",,,,,,wfo-0000615206,8051877,
cfb0eece-8fcc-11eb-924d-9cd76263cbd0,species,americana,Colubrina,,Nutt.,,"N. Amer. Sylv. 2: 58 1846",,,,,717057-1,wfo-0000615207,5603187,
cfb1094a-8fcc-11eb-924d-9cd76263cbd0,species,anomala,Colubrina,,King,,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist. 65: 377 1896",,,,,717058-1,wfo-0000615208,5603186,
cfb1240c-8fcc-11eb-924d-9cd76263cbd0,species,arborea,Colubrina,,Brandegee,,"Zoe 4: 401 1894",,,,,63422-2,wfo-0000615209,5603183,
cfb14338-8fcc-11eb-924d-9cd76263cbd0,species,arborescens,Colubrina,,"(Mill.) Sarg.",,"Trees & Shrubs 2: 167 1911",,,,,63423-2,wfo-0000615210,5372463,
cfb16872-8fcc-11eb-924d-9cd76263cbd0,species,articulata,Colubrina,,"(Capuron) Figueiredo",,"Kew Bull. 50: 525 1995",,,,,984176-1,wfo-0000615211,5603180,
cfb1ab48-8fcc-11eb-924d-9cd76263cbd0,species,asiatica,Colubrina,,"(L.) Brongn.",,"Ann. Sci. Nat. (Paris) 10: 369 1827",,,,,717061-1,wfo-0000615212,5372467,
cfb1fee0-8fcc-11eb-924d-9cd76263cbd0,variety,pubescens,Colubrina,asiatica,M.C.Johnst.,,"Taxon 33: 124 1984",,,,,923137-1,wfo-0000615214,5603175,
cfb21fce-8fcc-11eb-924d-9cd76263cbd0,variety,subpubescens,Colubrina,asiatica,"(Pit.) M.C.Johnst.",,"Brittonia 23: 48 1971",,,,,889442-1,wfo-0000615215,5603173,
cfb23d56-8fcc-11eb-924d-9cd76263cbd0,species,beccariana,Colubrina,,Warb.,,"Bot. Jahrb. Syst. 13: 367 1891",,,,,717062-1,wfo-0000615216,5603172,
cfb25c46-8fcc-11eb-924d-9cd76263cbd0,species,berteroana,Colubrina,,Urb.,,"Symb. Antill. 5: 409 1908",,,,,63424-2,wfo-0000615217,5603170,
cfb27a14-8fcc-11eb-924d-9cd76263cbd0,species,buxifolia,Colubrina,,"(Humb. & Bonpl. ex Roem. & Schult.) Schltdl.",,"Linnaea 15: 469 1841",,,,,717064-1,wfo-0000615218,5603168,
cfb29b0c-8fcc-11eb-924d-9cd76263cbd0,species,californica,Colubrina,,I.M.Johnst.,,"Proc. Calif. Acad. Sci. IV, 12: 1085 1924",,,,,63425-2,wfo-0000615219,5372472,
