id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e1f1d878-8fd1-11eb-924d-9cd76263cbd0,genus,Columbia,,,Pers.,Q346451,1806,,"Syn. Pl. 2: 66. 1806.",,,,,,,wfo-4000008988,3152058,,
cfc530aa-8fcc-11eb-924d-9cd76263cbd0,species,aequilateralis,Columbia,,"C.T.White & W.D.Francis","Q685291,Q3568565",1926,,"Proc. Roy. Soc. Queensland 38: 240 1926 publ. 1927",,,,,,833478-1,wfo-0000615353,5706191,,
cfc54f40-8fcc-11eb-924d-9cd76263cbd0,species,americana,Columbia,,Pers.,Q346451,1806,,"Syn. Pl. 2: 66 1806",,,,,,833479-1,wfo-0000615354,5706190,,
cfc5a80a-8fcc-11eb-924d-9cd76263cbd0,species,angusta,Columbia,,Pierre,Q2593213,1888,,"Fl. Forest. Cochinch. t. 137 1888",,,,,,833480-1,wfo-0000615357,5706189,,
cfc5d7b2-8fcc-11eb-924d-9cd76263cbd0,species,anilao,Columbia,,Blanco,Q721827,1837,,"Fl. Filip. 654 1837",,,,,,833481-1,wfo-0000615358,5706188,,
cfc61132-8fcc-11eb-924d-9cd76263cbd0,species,blancoi,Columbia,,Rolfe,Q2635543,1884,,"J. Linn. Soc., Bot. 21: 308 1884",,Q55760262,,,,833482-1,wfo-0000615359,5706187,,
cfc6369e-8fcc-11eb-924d-9cd76263cbd0,species,borneensis,Columbia,,Merr.,Q729926,1917,,"J. Straits Branch Roy. Asiat. Soc. 76: 98 1917",,Q99658072,,,,833483-1,wfo-0000615360,5706186,,
cfc67028-8fcc-11eb-924d-9cd76263cbd0,species,burretii,Columbia,,Kaneh.,Q5935389,1932,,"Bot. Mag. (Tokyo) 46: 669 1932",,Q55762686,,,,833484-1,wfo-0000615361,,,
cfc69594-8fcc-11eb-924d-9cd76263cbd0,species,celebica,Columbia,,Blume,Q76816,1825,,"Bijdr. 117 1825",,,,,,833485-1,wfo-0000615362,5706185,,
cfc6b164-8fcc-11eb-924d-9cd76263cbd0,species,curtisii,Columbia,,Ridl.,Q733709,1911,,"J. Straits Branch Roy. Asiat. Soc. 59: 80 1911",,Q99658326,,,,833486-1,wfo-0000615363,5706184,,
cfc6cef6-8fcc-11eb-924d-9cd76263cbd0,species,diptera,Columbia,,Ridl.,Q733709,1911,,"J. Straits Branch Roy. Asiat. Soc. 59: 79 1911",,Q99658326,,,,833487-1,wfo-0000615364,5706183,,
cfc6f1ec-8fcc-11eb-924d-9cd76263cbd0,species,evecta,Columbia,,Pierre,Q2593213,1888,,"Fl. Forest. Cochinch. t. 136 1888",,,,,,833488-1,wfo-0000615365,5706182,,
cfc71302-8fcc-11eb-924d-9cd76263cbd0,species,flagrocarpa,Columbia,,C.B.Clarke,Q2659116,1906,,"Indian Trees 101 1906",,,,,,833489-1,wfo-0000615366,5706181,,
