id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e1f34d20-8fd1-11eb-924d-9cd76263cbd0,genus,Coluteastrum,,,,,,,,,,,wfo-4000009000,8238362,
b6bb9b52-8fcd-11eb-924d-9cd76263cbd0,species,abbreviatum,Coluteastrum,,"(E.Mey.) Kuntze",,"Revis. Gen. Pl. 1: 172 1891",,,,,486890-1,wfo-0001058971,3974691,
b6bbb8c6-8fcd-11eb-924d-9cd76263cbd0,species,annulare,Coluteastrum,,"(Burch.) Kuntze",,"Revis. Gen. Pl. 1: 172 1891",,,,,486891-1,wfo-0001058972,3974687,
b6bbd2f2-8fcd-11eb-924d-9cd76263cbd0,species,argenteum,Coluteastrum,,"(Harv.) Kuntze",,"Revis. Gen. Pl. 1: 172 1891",,,,,486892-1,wfo-0001058973,3974685,
d00c3dce-8fcc-11eb-924d-9cd76263cbd0,species,benguellense,Coluteastrum,,"(Baker) Hiern",,"Cat. Afr. Pl. 1: 232 1896",,,,,486893-1,wfo-0000615882,3974680,
b6bbedc8-8fcd-11eb-924d-9cd76263cbd0,species,brachystachyum,Coluteastrum,,"(DC.) Kuntze",,"Revis. Gen. Pl. 1: 172 1891",,,,,486894-1,wfo-0001058974,3974675,
b6bc0aa6-8fcd-11eb-924d-9cd76263cbd0,species,candidum,Coluteastrum,,"(E.Mey.) Kuntze",,"Revis. Gen. Pl. 1: 172 1891",,,,,486895-1,wfo-0001058975,3974670,
b6be5004-8fcd-11eb-924d-9cd76263cbd0,species,capense,Coluteastrum,,"(Bergius) Kuntze",,"Revis. Gen. Pl. 1: 171 1891",,,,,486896-1,wfo-0001058994,3974668,
b6bc27ca-8fcd-11eb-924d-9cd76263cbd0,species,capitatum,Coluteastrum,,"(E.Mey.) Kuntze",,"Revis. Gen. Pl. 1: 172 1891",,,,,486897-1,wfo-0001058976,3974664,
b6bc44da-8fcd-11eb-924d-9cd76263cbd0,species,carnosum,Coluteastrum,,"(Eckl. & Zeyh.) Kuntze",,"Revis. Gen. Pl. 1: 172 1891",,,,,486898-1,wfo-0001058977,3974660,
d00c59b2-8fcc-11eb-924d-9cd76263cbd0,species,depressum,Coluteastrum,,Kuntze,,"Revis. Gen. Pl. 1: 172 1891",,,,,486899-1,wfo-0000615883,3974657,
b6be6cf6-8fcd-11eb-924d-9cd76263cbd0,species,dubium,Coluteastrum,,"(Jacq.) Kuntze",,"Revis. Gen. Pl. 1: 171 1891",,,,,486900-1,wfo-0001058995,3974651,
b6bc61cc-8fcd-11eb-924d-9cd76263cbd0,species,excisum,Coluteastrum,,"(DC.) Kuntze",,"Revis. Gen. Pl. 1: 172 1891",,,,,486901-1,wfo-0001058978,3974645,
b6bc7f22-8fcd-11eb-924d-9cd76263cbd0,species,flexuosum,Coluteastrum,,"(E.Mey.) Kuntze",,"Revis. Gen. Pl. 1: 172 1891",,,,,486902-1,wfo-0001058979,3974643,
b6bc9c5a-8fcd-11eb-924d-9cd76263cbd0,species,fruticosum,Coluteastrum,,"(Lindl.) Kuntze",,"Revis. Gen. Pl. 1: 172 1891",,,,,486903-1,wfo-0001058980,3974640,
b6be8826-8fcd-11eb-924d-9cd76263cbd0,species,glabratum,Coluteastrum,,"(E.Mey.) Kuntze",,"Revis. Gen. Pl. 1: 171 1891",,,,,486904-1,wfo-0001058996,3974636,
b6bea5ea-8fcd-11eb-924d-9cd76263cbd0,species,herbaceum,Coluteastrum,,"(L.) Kuntze",,"Revis. Gen. Pl. 1: 171 1891",,,,,486905-1,wfo-0001058997,3974632,
b6bebfe4-8fcd-11eb-924d-9cd76263cbd0,species,humile,Coluteastrum,,"(Thunb.) Kuntze",,"Revis. Gen. Pl. 1: 171 1891",,,,,486906-1,wfo-0001058998,3974629,
