id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e1f48500-8fd1-11eb-924d-9cd76263cbd0,genus,Comandra,,,Nutt.,1818,"Gen. N. Amer. Pl. 1: 157–158. 1818.",,,,,30020305-2,wfo-4000009012,2889776,
d00f16f2-8fcc-11eb-924d-9cd76263cbd0,species,californica,Comandra,,"Eastw. ex Rydb.",,"Fl. Rocky Mts. ed. 2: 1138 1923",,,,,63729-2,wfo-0000615902,3789781,
d00f31a0-8fcc-11eb-924d-9cd76263cbd0,species,cuneifolia,Comandra,,Raf.,1837,"New Fl. 2: 33 1837",,,,,780099-1,wfo-0000615903,3789775,
d00f4f0a-8fcc-11eb-924d-9cd76263cbd0,species,darbya,Comandra,,A.DC.,1857,"Prodr. 14: 637 1857",,,,,780100-1,wfo-0000615904,3789769,
d00f70b6-8fcc-11eb-924d-9cd76263cbd0,species,elegans,Comandra,,"(Rochel ex Rchb.) Rchb.f.",1849,"Icon. Fl. Germ. Helv. 11: 11 1849",,,,6e91b1dc-8fcc-11eb-924d-9cd76263cbd0,,wfo-0000615905,3789764,
d0104338-8fcc-11eb-924d-9cd76263cbd0,species,elliptica,Comandra,,Raf.,1837,"New Fl. 2: 33 1837",,,,,780102-1,wfo-0000615907,3789759,
d0106e8a-8fcc-11eb-924d-9cd76263cbd0,species,linearis,Comandra,,Rydb.,1917,"Fl. Rocky Mts. 818 1917",,,,,63730-2,wfo-0000615908,3789464,
d0108f14-8fcc-11eb-924d-9cd76263cbd0,species,livida,Comandra,,Richardson,1823,"Bot. App. 734 1823",,,,,,wfo-0000615909,3789739,
d010ad96-8fcc-11eb-924d-9cd76263cbd0,species,media,Comandra,,Raf.,1837,"New Fl. 2: 33 1837",,,,,780105-1,wfo-0000615910,3789731,
d010ca10-8fcc-11eb-924d-9cd76263cbd0,species,nudiflora,Comandra,,Davidson,1925,"Bull. S. Calif. Acad. Sci. 24: 68 1925",,,,,63732-2,wfo-0000615911,3789719,
d010eafe-8fcc-11eb-924d-9cd76263cbd0,species,obovata,Comandra,,Raf.,1837,"New Fl. 2: 33 1837",,,,,780107-1,wfo-0000615912,3789712,
d0110a20-8fcc-11eb-924d-9cd76263cbd0,species,obtusifolia,Comandra,,Raf.,1837,"New Fl. 2: 33 1837",,,,,780108-1,wfo-0000615913,3789708,
d0114972-8fcc-11eb-924d-9cd76263cbd0,species,pallida,Comandra,,A.DC.,1857,"Prodr. 14: 636 1857",,,,,780109-1,wfo-0000615914,6361575,
d011a764-8fcc-11eb-924d-9cd76263cbd0,variety,angustifolia,Comandra,pallida,A.DC.,1856,"Prodr. 14(1): 637 1856",,,,,,wfo-0000615915,3789687,
d011c56e-8fcc-11eb-924d-9cd76263cbd0,species,richardsiana,Comandra,,Fernald,1905,"Rhodora 7: 48 1905",,,,,63735-2,wfo-0000615916,3789675,
d0125470-8fcc-11eb-924d-9cd76263cbd0,species,umbellata,Comandra,,"(L.) Nutt.",1818,"Gen. N. Amer. Pl. 1: 157 1818",,,,,780112-1,wfo-0000615918,2889777,
d0129fb6-8fcc-11eb-924d-9cd76263cbd0,variety,angustifolia,Comandra,umbellata,"(A.DC.) Torr.",1858,"Rep. U.S. Mex. Bound. 2(1): 185 1858",,,,,63736-2,wfo-0000615919,3789648,
d012c3ce-8fcc-11eb-924d-9cd76263cbd0,variety,californica,Comandra,umbellata,"(Eastw. ex Rydb.) C.L.Hitchc.",1964,"Vasc. Pl. Pacific Northw. 2: 101 1964",,,,d00f16f2-8fcc-11eb-924d-9cd76263cbd0,63738-2,wfo-0000615920,3789638,
d012e552-8fcc-11eb-924d-9cd76263cbd0,subspecies,californica,Comandra,umbellata,"(Eastw. ex Rydb.) Piehl",1965,"Mem. Torrey Bot. Club 22: 65 1965",,,,d00f16f2-8fcc-11eb-924d-9cd76263cbd0,63737-2,wfo-0000615921,6361572,
d01308ac-8fcc-11eb-924d-9cd76263cbd0,variety,decumbens,Comandra,umbellata,E.J.Hill,1884,"Bot. Gaz. 9: 176 1884",,,,,63739-2,wfo-0000615922,3789632,
d013265c-8fcc-11eb-924d-9cd76263cbd0,subspecies,elegans,Comandra,umbellata,"(Rochel ex Rchb.) Piehl",1965,"Mem. Torrey Bot. Club 22: 57 1965",,,,6e91b1dc-8fcc-11eb-924d-9cd76263cbd0,,wfo-0000615923,8411354,
d013439e-8fcc-11eb-924d-9cd76263cbd0,variety,lanceolata,Comandra,umbellata,Nutt.,1834,"J. Acad. Nat. Sci. Philadelphia 7: 51 1834",,,,,63740-2,wfo-0000615924,3789625,
d0136130-8fcc-11eb-924d-9cd76263cbd0,variety,pallida,Comandra,umbellata,"(A.DC.) M.E.Jones",1895,"Proc. Calif. Acad. Sci. II, 5: 722 1895",,,,d0114972-8fcc-11eb-924d-9cd76263cbd0,63742-2,wfo-0000615925,3789609,
d01382dc-8fcc-11eb-924d-9cd76263cbd0,subspecies,pallida,Comandra,umbellata,"(A.DC.) Piehl",1965,"Mem. Torrey Bot. Club 22: 70 1965",,,,d0114972-8fcc-11eb-924d-9cd76263cbd0,63741-2,wfo-0000615926,6361571,
d0139f42-8fcc-11eb-924d-9cd76263cbd0,subspecies,richardsiana,Comandra,umbellata,"(Fernald) Á.Löve & D.Löve",1982,"Taxon 31: 121 1982",,,,,920773-1,wfo-0000615927,3789597,
d013d75a-8fcc-11eb-924d-9cd76263cbd0,species,umbellulata,Comandra,,Raf.,1837,"New Fl. 2: 33 1837",,,,,780113-1,wfo-0000615929,3789590,
