id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
a119d3ea-9bad-11eb-a8a2-19ed5c03f8d3,genus,Comatricha,,,Preuss,Q21392609,1851,,"Linnaea 24: 140 (1851)",,,,a119d3ea-9bad-11eb-a8a2-19ed5c03f8d3,,,,,12049," "
f125fbbc-9bac-11eb-a8a2-19ed5c03f8d3,species,acanthodes,Comatricha,,Alexop.,,1958,,"Mycologia 50(1): 53 (1958)",,,,f125fbbc-9bac-11eb-a8a2-19ed5c03f8d3,,,,,295461," "
7ca43758-9bad-11eb-a8a2-19ed5c03f8d3,species,aequalis,Comatricha,,Peck,Q1064899,1878,,"Ann. Rep. N.Y. St. Mus. nat. Hist. 31: 42 (1878)",,,,7ca43758-9bad-11eb-a8a2-19ed5c03f8d3,,,,,224727," "
e22e50f0-9bac-11eb-a8a2-19ed5c03f8d3,variety,aequalis,Comatricha,aequalis,Peck,Q1064899,1878,,"Ann. Rep. N.Y. St. Mus. nat. Hist. 31: 421 (1878)",,,,e22e50f0-9bac-11eb-a8a2-19ed5c03f8d3,,,,,420599," "
4437e1c2-9bac-11eb-a8a2-19ed5c03f8d3,variety,pacifica,Comatricha,aequalis,"T. Macbr.",,,,,,,,4437e1c2-9bac-11eb-a8a2-19ed5c03f8d3,,,,,138184," "
8495077c-9bac-11eb-a8a2-19ed5c03f8d3,species,affinis,Comatricha,,Rostaf.,Q506075,,,,,,,8495077c-9bac-11eb-a8a2-19ed5c03f8d3,,,,,183336," "
28877974-9bac-11eb-a8a2-19ed5c03f8d3,species,afroalpina,Comatricha,,Rammeloo,,1983,,"Bull. Jard. Bot. Nat. Belg. 53(1/2): 297 (1983)",,,,28877974-9bac-11eb-a8a2-19ed5c03f8d3,,,,,107831," "
f126518e-9bac-11eb-a8a2-19ed5c03f8d3,species,aggregata,Comatricha,,"M.L. Farr",,,,,,,,f126518e-9bac-11eb-a8a2-19ed5c03f8d3,,,,,295462," "
8485e080-9bac-11eb-a8a2-19ed5c03f8d3,species,alba,Comatricha,,Schulzer,,,,,,,,8485e080-9bac-11eb-a8a2-19ed5c03f8d3,,,,,183235," "
0f046264-9bac-11eb-a8a2-19ed5c03f8d3,species,alpina,Comatricha,,Kowalski,,1973,,"Madroño 22(3): 152 (1973)",,,,0f046264-9bac-11eb-a8a2-19ed5c03f8d3,,,,,311562," "
a846714c-9bac-11eb-a8a2-19ed5c03f8d3,species,alta,Comatricha,,Preuss,Q21392609,1851,,"Linnaea 24: 141 (1851)",,,,a846714c-9bac-11eb-a8a2-19ed5c03f8d3,,,,,434153," "
5bdd365a-9bad-11eb-a8a2-19ed5c03f8d3,variety,alta,Comatricha,alta,Preuss,Q21392609,1851,,"Linnaea 24: 141 (1851)",,,,5bdd365a-9bad-11eb-a8a2-19ed5c03f8d3,,,,,451125," "
439ce8e2-9bad-11eb-a8a2-19ed5c03f8d3,variety,macrospora,Comatricha,alta,"Y. Yamam.",,1998,,"The Myxomycete Biota of Japan (Tokyo) 528 (1998)",,,,439ce8e2-9bad-11eb-a8a2-19ed5c03f8d3,,,,,450091," "
1a992c76-9bad-11eb-a8a2-19ed5c03f8d3,species,amoena,Comatricha,,Nann.-Bremek.,Q1332621,1968,,"Proc. K. Ned. Akad. Wet., Ser. C, Biol. Med. Sci. 71: 45 (1968)",,,,1a992c76-9bad-11eb-a8a2-19ed5c03f8d3,,,,,328736," "
0c1e8222-9bad-11eb-a8a2-19ed5c03f8d3,species,anastomosans,Comatricha,,Kowalski,,1972,,"Mycologia 64(2): 362 (1972)",,,,0c1e8222-9bad-11eb-a8a2-19ed5c03f8d3,,,,,311563," "
