id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e1fe7178-8fd1-11eb-924d-9cd76263cbd0,genus,Conocephalus,,,Blume,1825,"Bijdr. Fl. Ned. Ind. 483. 1825.",,,,,,wfo-4000009151,3234520,
d1722df4-8fcc-11eb-924d-9cd76263cbd0,species,acuminatus,Conocephalus,,Trécul,1847,"Ann. Sci. Nat., Bot. III, 8: 91 1847",,,,,851232-1,wfo-0000618362,8206507,
d1724c80-8fcc-11eb-924d-9cd76263cbd0,species,amboinensis,Conocephalus,,Warb.,1894,"Bot. Jahrb. Syst. 18: 189 1894",,,,,,wfo-0000618363,7955192,
d17269b8-8fcc-11eb-924d-9cd76263cbd0,species,amethystinus,Conocephalus,,H.J.P.Winkl.,1913,"Bot. Jahrb. Syst. 49: 359 1913",,,,,582888-1,wfo-0000618364,7524350,
d172914a-8fcc-11eb-924d-9cd76263cbd0,species,amoenus,Conocephalus,,"King ex Hook.f.",1888,"Fl. Brit. India 5: 545 1888",,,,,851234-1,wfo-0000618365,7448236,
d172b256-8fcc-11eb-924d-9cd76263cbd0,species,annamensis,Conocephalus,,Gagnep.,1926,"Bull. Soc. Bot. France 73: 107 1926",,,,,582889-1,wfo-0000618366,7697425,
d172d240-8fcc-11eb-924d-9cd76263cbd0,species,azureus,Conocephalus,,"Teijsm. & Binn.",1864,"Natuurk. Tijdschr. Ned.-Indië 26: 26 1864",,,,,851235-1,wfo-0000618367,7710444,
d172f072-8fcc-11eb-924d-9cd76263cbd0,species,blumei,Conocephalus,,Gaudich.,1850,"Voy. Bonite, Bot. 3: t. 96 1850",,,,,,wfo-0000618368,7637301,
d1730e54-8fcc-11eb-924d-9cd76263cbd0,species,borneensis,Conocephalus,,Miq.,1867,"Ann. Mus. Bot. Lugduno-Batavi 3: 210 1867",,,,,851237-1,wfo-0000618369,7596751,
d1734266-8fcc-11eb-924d-9cd76263cbd0,species,canescens,Conocephalus,,Warb.,1904,"Fragm. Fl. Philipp. 1: 167 1904",,,,,,wfo-0000618370,7420354,
d173b2dc-8fcc-11eb-924d-9cd76263cbd0,species,concolor,Conocephalus,,Dalzell,1861,"Bombay Fl. 239 1861",,,,,851239-1,wfo-0000618371,7536563,
d1742654-8fcc-11eb-924d-9cd76263cbd0,species,cordifolius,Conocephalus,,Barg.-Petr.,1902,"Nuovo Giorn. Bot. Ital. n.s., 9: 220 1902",,,,,851240-1,wfo-0000618373,9188501,
d17450d4-8fcc-11eb-924d-9cd76263cbd0,species,diffusus,Conocephalus,,Merr.,1914,"Philipp. J. Sci., C 9: 355 1914",,,,,582890-1,wfo-0000618374,7692487,
1654726a-8fcd-11eb-924d-9cd76263cbd0,variety,obtusus,Conocephalus,diffusus,Merr.,1914,"Philipp. J. Sci., C 9: 356 1914",,,,,,wfo-0000739173,8414209,
d1748766-8fcc-11eb-924d-9cd76263cbd0,species,dubius,Conocephalus,,Barg.-Petr.,1902,"Nuovo Giorn. Bot. Ital. n.s., 9: 225 1902",,,,,851241-1,wfo-0000618375,8811262,
d174a660-8fcc-11eb-924d-9cd76263cbd0,species,ellipticus,Conocephalus,,Trécul,1847,"Ann. Sci. Nat., Bot. III, 8: 91 1847",,,,,851242-1,wfo-0000618376,7574722,
d174c0dc-8fcc-11eb-924d-9cd76263cbd0,species,erectus,Conocephalus,,Fern.-Vill.,1880,"Fl. Filip., ed. 3 4(13A): 203 1880",,,,,851243-1,wfo-0000618377,7452529,
d174db94-8fcc-11eb-924d-9cd76263cbd0,species,forbesii,Conocephalus,,S.Moore,1925,"J. Bot. 63(Suppl.): 112 1925",,,,,582891-1,wfo-0000618378,7376077,
d174f71e-8fcc-11eb-924d-9cd76263cbd0,species,gjellerupii,Conocephalus,,H.J.P.Winkl.,1922,"Bot. Jahrb. Syst. 57: 602 1922",,,,,582892-1,wfo-0000618379,8119068,
d175138e-8fcc-11eb-924d-9cd76263cbd0,species,grandifolius,Conocephalus,,Warb.,1904,"Fragm. Fl. Philipp. 1: 167 1904",,,,,,wfo-0000618380,7806070,
d1752e14-8fcc-11eb-924d-9cd76263cbd0,species,grandis,Conocephalus,,Merr.,1923,"Enum. Philipp. Fl. Pl. 2: 70 1923",,,,,582893-1,wfo-0000618381,8088199,
d1754aac-8fcc-11eb-924d-9cd76263cbd0,species,gratus,Conocephalus,,Miq.,1851,"Pl. Jungh. 43 1851",,,,,,wfo-0000618382,7386478,
d1758e86-8fcc-11eb-924d-9cd76263cbd0,species,hirsutus,Conocephalus,,H.J.P.Winkl.,1922,"Bot. Jahrb. Syst. 57: 598 1922",,,,,582894-1,wfo-0000618384,7475201,
d175b67c-8fcc-11eb-924d-9cd76263cbd0,species,intermedius,Conocephalus,,Barg.-Petr.,1902,"Nuovo Giorn. Bot. Ital. n.s., 9: 218 1902",,,,,851246-1,wfo-0000618385,8865940,
d1762166-8fcc-11eb-924d-9cd76263cbd0,species,lanceolatus,Conocephalus,,Trécul,1847,"Ann. Sci. Nat., Bot. III, 8: 88 1847",,,,,851247-1,wfo-0000618386,8043054,
d17646d2-8fcc-11eb-924d-9cd76263cbd0,species,micranthus,Conocephalus,,Miq.,1867,"Ann. Mus. Bot. Lugduno-Batavi 3: 210 1867",,,,,851248-1,wfo-0000618387,7714827,
d1766b30-8fcc-11eb-924d-9cd76263cbd0,species,microphyllus,Conocephalus,,Trécul,1847,"Ann. Sci. Nat., Bot. III, 8: 92 1847",,,,,851249-1,wfo-0000618388,7861947,
d176c47c-8fcc-11eb-924d-9cd76263cbd0,species,microstachys,Conocephalus,,Barg.-Petr.,1902,"Nuovo Giorn. Bot. Ital. n.s., 9: 223 1902",,,,,851250-1,wfo-0000618389,8939618,
d176f960-8fcc-11eb-924d-9cd76263cbd0,species,mollis,Conocephalus,,Merr.,1921,"Philipp. J. Sci. 18: 51 1921",,,,,582895-1,wfo-0000618390,7886119,
d1771f44-8fcc-11eb-924d-9cd76263cbd0,species,mollis,Conocephalus,,Gagnep.,1926,"Bull. Soc. Bot. France 73: 108 1926",,,,,582896-1,wfo-0000618391,7742200,
d1773fc4-8fcc-11eb-924d-9cd76263cbd0,species,naucleiflorus,Conocephalus,,Lindl.,,"Bot. Reg. 14: t. 1203 1828",,,,,582897-1,wfo-0000618392,7908917,
d1775dba-8fcc-11eb-924d-9cd76263cbd0,species,naucleiformis,Conocephalus,,Lindl.,,"Bot. Reg. 14: t. 1203 1829",,,,,851251-1,wfo-0000618393,8402926,
d1779974-8fcc-11eb-924d-9cd76263cbd0,species,niveus,Conocephalus,,Wight,1959,"Icon. Pl. Ind. Orient. 6: t. 1959 1853",,,,,851252-1,wfo-0000618395,7905454,
d177b620-8fcc-11eb-924d-9cd76263cbd0,species,nobilis,Conocephalus,,Ridl.,1916,"Trans. Linn. Soc. London, Bot. 9: 150 1916",,,,,582898-1,wfo-0000618396,8288543,
d177d344-8fcc-11eb-924d-9cd76263cbd0,species,oblanceolatus,Conocephalus,,Ridl.,1926,"Bull. Misc. Inform. Kew 1926: 81 1926",,,,,582899-1,wfo-0000618397,7926564,
d177ed8e-8fcc-11eb-924d-9cd76263cbd0,species,oblongifolius,Conocephalus,,Barg.-Petr.,1902,"Nuovo Giorn. Bot. Ital. n.s., 9: 222 1902",,,,,851253-1,wfo-0000618398,9109713,
d17809c2-8fcc-11eb-924d-9cd76263cbd0,species,ovatus,Conocephalus,,Trécul,1847,"Ann. Sci. Nat., Bot. III, 8: 88 1847",,,,,851254-1,wfo-0000618399,7760196,
d1782772-8fcc-11eb-924d-9cd76263cbd0,species,papuanus,Conocephalus,,Barg.-Petr.,1902,"Nuovo Giorn. Bot. Ital. n.s., 9: 228 1902",,,,,851255-1,wfo-0000618400,9036632,
d178441e-8fcc-11eb-924d-9cd76263cbd0,species,paxianus,Conocephalus,,H.J.P.Winkl.,1922,"Bot. Jahrb. Syst. 57: 602 1922",,,,,582900-1,wfo-0000618401,8211587,
d1785db4-8fcc-11eb-924d-9cd76263cbd0,species,peltatus,Conocephalus,,W.Winkl.,1913,"Bot. Jahrb. Syst. 49: 360 1913",,,,,,wfo-0000618402,7787863,
d17877d6-8fcc-11eb-924d-9cd76263cbd0,species,piperi,Conocephalus,,Elmer,,"Leafl. Philipp. Bot. 8: 2770 1915",,,,,582902-1,wfo-0000618403,8253900,
d178923e-8fcc-11eb-924d-9cd76263cbd0,species,pubescens,Conocephalus,,Trécul,1847,"Ann. Sci. Nat., Bot. III, 8: 90 1847",,,,,851256-1,wfo-0000618404,7811923,
d178d67c-8fcc-11eb-924d-9cd76263cbd0,species,roxburghii,Conocephalus,,Trécul,1847,"Ann. Sci. Nat., Bot. III, 8: 88 1847",,,,,851257-1,wfo-0000618406,7591846,
d1792bd6-8fcc-11eb-924d-9cd76263cbd0,species,scabrinervius,Conocephalus,,Barg.-Petr.,1902,"Nuovo Giorn. Bot. Ital. n.s., 9: 223 1902",,,,,851258-1,wfo-0000618407,8996738,
d179505c-8fcc-11eb-924d-9cd76263cbd0,species,scortechinii,Conocephalus,,King,1888,"Fl. Brit. India 5: 545 1888",,,,,851259-1,wfo-0000618408,7652185,
