id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
9b363c02-9bad-11eb-a8a2-19ed5c03f8d3,genus,Cora,,,Fr.,0,1825,,"Syst. orb. veg. (Lundae) 1: 300 (1825)",,,,9b363c02-9bad-11eb-a8a2-19ed5c03f8d3,,,,,17369," "
fee266e2-9bab-11eb-a8a2-19ed5c03f8d3,species,aeruginosa,Cora,,"(Blume & T. Nees) Sacc.",0,1888,,"Syll. fung. (Abellini) 6: 686 (1888)",,,,,,,,,383682," "
42a5daac-9bad-11eb-a8a2-19ed5c03f8d3,species,bovei,Cora,,Speg.,0,1888,,"Fungi Fuegiani 11(2): 169 (1888)",,,,42a5daac-9bad-11eb-a8a2-19ed5c03f8d3,,,,,383683," "
42a61698-9bad-11eb-a8a2-19ed5c03f8d3,species,glabrata,Cora,,"(Spreng.) Fr.",0,1838,,"Epicr. syst. mycol. (Upsaliae) 556 (1838)",,,,,,,,,383684," "
42a64d5c-9bad-11eb-a8a2-19ed5c03f8d3,species,gyrolophia,Cora,,Fr.,0,1838,,"Epicr. syst. mycol. (Upsaliae) 556 (1838)",,,,42a64d5c-9bad-11eb-a8a2-19ed5c03f8d3,,,,,383685," "
42a69082-9bad-11eb-a8a2-19ed5c03f8d3,species,ligulata,Cora,,Kremp.,,1875,,"Nuovo Giorn. Bot. Ital. 7: 15 (1875)",,,,42a69082-9bad-11eb-a8a2-19ed5c03f8d3,,,,,383686," "
56218d38-9bad-11eb-a8a2-19ed5c03f8d3,species,montana,Cora,,"(Sw.) Sant.",0,1952,,"Symb. bot. upsal. 12(no. 1): 12 (1952)",,,,a4aff7ec-9bac-11eb-a8a2-19ed5c03f8d3,,,,,439738," "
42a77b8c-9bad-11eb-a8a2-19ed5c03f8d3,species,neesiana,Cora,,Lév.,0,1846,,"Annls Sci. Nat., Bot., sér. 3 5: 154 (1846)",,,,42a77b8c-9bad-11eb-a8a2-19ed5c03f8d3,,,,,383687," "
42a7f670-9bad-11eb-a8a2-19ed5c03f8d3,species,nitida,Cora,,"Müll. Arg.",,,,,,,,42a7f670-9bad-11eb-a8a2-19ed5c03f8d3,,,,,383688," "
75a68f06-9bac-11eb-a8a2-19ed5c03f8d3,species,pavonia,Cora,,"(Webber & D. Mohr) Fr.",0,1838,,"Epicr. syst. mycol. (Upsaliae) 556 (1838)",,,,7bc763c0-9bab-11eb-a8a2-19ed5c03f8d3,,,,,163226," "
76241bd2-9bad-11eb-a8a2-19ed5c03f8d3,variety,pavonia,Cora,pavonia,"(Sw.) Fr.",0,,,,,,,76241bd2-9bad-11eb-a8a2-19ed5c03f8d3,,,,,422630," "
feb9cd4a-9bab-11eb-a8a2-19ed5c03f8d3,form,pavonia,Cora,pavonia,"(Sw.) Fr.",0,,,,,,,feb9cd4a-9bab-11eb-a8a2-19ed5c03f8d3,,,,,300303," "
0691630c-9bac-11eb-a8a2-19ed5c03f8d3,form,umbilicalis,Cora,pavonia,Fr.,0,1851,,"Nova Acta R. Soc. Scient. upsal., Ser. 3 1: 113 (1851)",,,,0691630c-9bac-11eb-a8a2-19ed5c03f8d3,,,,,494305," "
782ea7ae-9bac-11eb-a8a2-19ed5c03f8d3,variety,umbilicalis,Cora,pavonia,Fr.,0,,,,,,,782ea7ae-9bac-11eb-a8a2-19ed5c03f8d3,,,,,163590," "
73a1d1e2-9bad-11eb-a8a2-19ed5c03f8d3,form,villoia,Cora,pavonia,Tomas.,,,,,,,,73a1d1e2-9bad-11eb-a8a2-19ed5c03f8d3,,,,,486208," "
73a202b6-9bad-11eb-a8a2-19ed5c03f8d3,form,viridis,Cora,pavonia,Tomas.,,,,,,,,73a202b6-9bad-11eb-a8a2-19ed5c03f8d3,,,,,486209," "
42a86a4c-9bad-11eb-a8a2-19ed5c03f8d3,species,reticulifera,Cora,,Vain.,0,1890,,"Acta Soc. Fauna Flora fenn. 7: 241 (1890)",,,,42a86a4c-9bad-11eb-a8a2-19ed5c03f8d3,,,,,383690," "
739fe2e4-9bab-11eb-a8a2-19ed5c03f8d3,species,sericea,Cora,,"(Sw.) Fr.",0,1849,,"K. svenska Vetensk-Akad. Handl. 144 (1849)",,,,,,,,,172517," "
7ede99f6-9bac-11eb-a8a2-19ed5c03f8d3,species,textilis,Cora,,"(Spreng.) Fr.",0,,,,,,,887a2eb2-9bac-11eb-a8a2-19ed5c03f8d3,,,,,172442," "
b2800010-9bac-11eb-a8a2-19ed5c03f8d3,species,tomentosa,Cora,,Vain.,0,,,,,,,b2800010-9bac-11eb-a8a2-19ed5c03f8d3,,,,,454657," "
