id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e20a2bd0-8fd1-11eb-924d-9cd76263cbd0,genus,Coreocarpus,,,Benth.,0,,,"Bot. Voy. Sulphur 28, t. 16 (1844)",,,,,,urn:lsid:ipni.org:names:8396-1,wfo-4000009295,3122457,,
964b74f8-8fbb-11eb-924d-9cd76263cbd0,species,alexandrae,Coreocarpus,,Sherff,0,1950,,"Bot. Leafl. n.° 2: 5 (1950)",,,,,,urn:lsid:ipni.org:names:65733-2,wfo-0000135281,3122469,,
bdbb5d96-8fb6-11eb-924d-9cd76263cbd0,species,arizonicus,Coreocarpus,,S.F.Blake,0,1913,,"Proc. Amer. Acad. Arts 49: 344 (1913)",,,,,,urn:lsid:ipni.org:names:65734-2,wfo-0000092671,3122472,,
e3404d46-1d47-11ec-82c2-f14daa6f2d93,variety,arizonicus,Coreocarpus,arizonicus,"(A.Gray) S.F.Blake",,,,1913,,,,,,,wfo-0000109417,,,
58928ba8-8fb4-11eb-924d-9cd76263cbd0,variety,filiformis,Coreocarpus,arizonicus,S.F.Blake,0,1913,,"Proc. Amer. Acad. Arts 49: 344 (1913)",,,,8aff62f2-8fb7-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:65735-2,wfo-0000063663,4208413,,
d2bdd07c-8fb4-11eb-924d-9cd76263cbd0,variety,macrophyllus,Coreocarpus,arizonicus,Sherff,0,1935,,"Bot. Gaz. 97: 185 (1935)",,Q55758736,,,,urn:lsid:ipni.org:names:65736-2,wfo-0000070333,4208407,,
d0c600f6-8fb8-11eb-924d-9cd76263cbd0,variety,pubescens,Coreocarpus,arizonicus,S.F.Blake,0,1913,,"Proc. Amer. Acad. Arts 49: 344 (1913)",,,,be9d04a4-8fb5-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:65737-2,wfo-0000112855,4208397,,
73d0fc6e-8fb5-11eb-924d-9cd76263cbd0,variety,sanpedroensis,Coreocarpus,arizonicus,"(E.B.Sm.) B.L.Turner",0,1996,,"Phytologia 80: 136. 1996 [31 Oct 1996]",,,,9e905c28-8fb6-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:1061732-2,wfo-0000078259,4208387,,
6e8cec56-1d4d-11ec-82c2-f14daa6f2d93,variety,typicus,Coreocarpus,arizonicus,Sherff,,,,"Brittonia 6: 342 (1948)",,,,,,urn:lsid:ipni.org:names:65738-2,wfo-0001382182,,,
59e42b5e-8fbb-11eb-924d-9cd76263cbd0,species,congregatus,Coreocarpus,,"(S.F.Blake) E.B.Sm.",0,1983,,"Brittonia 35: 148 (1983)",,Q55768948,,,,urn:lsid:ipni.org:names:65739-2,wfo-0000133575,3122465,,
fda87e98-8fb1-11eb-924d-9cd76263cbd0,species,cronquistii,Coreocarpus,,Sherff,0,1964,,"Brittonia 16: 433 (1964)",,Q55768487,,,,urn:lsid:ipni.org:names:275108-2,wfo-0000000715,3105884,,
577b4424-8fbb-11eb-924d-9cd76263cbd0,species,dissectus,Coreocarpus,,S.F.Blake,0,1913,,"Proc. Amer. Acad. Arts 49: 344 (1913)",,,,dc7ad6d4-8fcb-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:65741-2,wfo-0000133502,3122462,,
b9f44050-1d47-11ec-82c2-f14daa6f2d93,variety,dissectus,Coreocarpus,dissectus,,,,,,,,,,,,wfo-0000058050,,,
d6c0474c-8fb7-11eb-924d-9cd76263cbd0,variety,longilobus,Coreocarpus,dissectus,S.F.Blake,0,1913,,"Proc. Amer. Acad. Arts 49: 345 (1913)",,,,,,urn:lsid:ipni.org:names:65742-2,wfo-0000103660,4208358,,
2763a91e-8fb3-11eb-924d-9cd76263cbd0,species,ferulaefolia,Coreocarpus,,Jacq.,0,1798,,1798,,,,,,,wfo-0000042727,3106262,,
093c82d6-8fbc-11eb-924d-9cd76263cbd0,species,heterocarpus,Coreocarpus,,A.Gray,0,1861,,"Proc. Amer. Acad. Arts v. (1861) 162.",,,,,,urn:lsid:ipni.org:names:197887-1,wfo-0000138402,3122471,,
0302ee32-8fb2-11eb-924d-9cd76263cbd0,species,hintonii,Coreocarpus,,Sherff,0,1964,,"Brittonia 16: 58 (1964)",,Q55768433,,,,urn:lsid:ipni.org:names:275109-2,wfo-0000004478,3106514,,
4d88d0e4-8fb6-11eb-924d-9cd76263cbd0,species,insularis,Coreocarpus,,"(Brandegee) E.B.Sm.",0,1984,,"Brittonia 36: 274 (1984)",,Q55770305,,,,urn:lsid:ipni.org:names:275110-2,wfo-0000087970,3122460,,
a026fe54-8fcd-11eb-924d-9cd76263cbd0,species,involutus,Coreocarpus,,Greene,0,1889,,"; 1889 290 1889",,,,,,275111-2,wfo-0001010627,4208338,,
69bc27b2-8fb5-11eb-924d-9cd76263cbd0,species,ixtapanus,Coreocarpus,,B.L.Turner,0,1991,,"Phytologia 70: 42 (1991)",,,,,,urn:lsid:ipni.org:names:275112-2,wfo-0000077781,3122461,,
deecc71a-8fb2-11eb-924d-9cd76263cbd0,species,johnstonii,Coreocarpus,,Sherff,0,1936,,"Bot. Gaz. 97: 604 (1936)",,Q55758737,,,,urn:lsid:ipni.org:names:65746-2,wfo-0000036397,3122459,,
7149081a-8fb5-11eb-924d-9cd76263cbd0,species,parthenioides,Coreocarpus,,Benth.,0,1844,,"Bot. Voy. Sulphur 28, t. 16 (1844)",,,,,,urn:lsid:ipni.org:names:197890-1,wfo-0000078138,3122467,,
44117d44-8fb7-11eb-924d-9cd76263cbd0,variety,heterocarpus,Coreocarpus,parthenioides,S.F.Blake,0,1913,,"Proc. Amer. Acad. Arts 49: 343 (1913)",,,,093c82d6-8fbc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:65747-2,wfo-0000098043,4208316,,
dda4cf06-1d47-11ec-82c2-f14daa6f2d93,variety,parthenioides,Coreocarpus,parthenioides,Benth.,,,,1844,,,,,,,wfo-0000102172,,,
fd58acf6-8fb1-11eb-924d-9cd76263cbd0,species,robustior,Coreocarpus,,Sherff,0,1935,,"Bot. Gaz. 97: 187 (1935)",,Q55758736,,,,urn:lsid:ipni.org:names:65748-2,wfo-0000000209,3122470,,
9e905c28-8fb6-11eb-924d-9cd76263cbd0,species,sanpedroensis,Coreocarpus,,E.B.Sm.,0,1985,,"Amer. J. Bot. 72: 626, fig (1985)",,Q55766267,,,,urn:lsid:ipni.org:names:275114-2,wfo-0000091374,4208301,,
b9932d34-8fb6-11eb-924d-9cd76263cbd0,species,shrevei,Coreocarpus,,Sherff,0,1935,,"Bot. Gaz. 97: 185 (1935)",,Q55758736,,,,urn:lsid:ipni.org:names:65749-2,wfo-0000092499,3122468,,
b945e21c-8fb7-11eb-924d-9cd76263cbd0,variety,latilobus,Coreocarpus,shrevei,Sherff,0,1935,,"Bot. Gaz. 97: 187 (1935)",,Q55758736,,,,urn:lsid:ipni.org:names:65750-2,wfo-0000102505,4208285,,
b4039f2e-1d47-11ec-82c2-f14daa6f2d93,variety,shrevei,Coreocarpus,shrevei,,,,,,,,,,,,wfo-0000050581,,,
6e8d158c-1d4d-11ec-82c2-f14daa6f2d93,variety,typicus,Coreocarpus,shrevei,Sherff,,,,"Brittonia 6: 342 (1948)",,,,,,urn:lsid:ipni.org:names:65751-2,wfo-0001382183,,,
3ed2e214-8fb2-11eb-924d-9cd76263cbd0,species,sonoranus,Coreocarpus,,Sherff,0,1936,,"Bot. Gaz. 97: 604 (1936)",,Q55758737,,,,urn:lsid:ipni.org:names:65752-2,wfo-0000017245,3122458,,
b14d0026-8fb8-11eb-924d-9cd76263cbd0,variety,libranus,Coreocarpus,sonoranus,B.L.Turner,0,1996,,"Phytologia 80(2): 137 (1996)",,,,,,urn:lsid:ipni.org:names:301820-2,wfo-0000111730,4208266,,
e34740c4-1d47-11ec-82c2-f14daa6f2d93,variety,sonoranus,Coreocarpus,sonoranus,Sherff,,,,1936,,,,,,,wfo-0000109459,,,
