id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e20af2ae-8fd1-11eb-924d-9cd76263cbd0,genus,Coriaria,,,"Niss. ex L.",0,1753,,"Sp. Pl. : 1037 (1753)",,,Q849308,,,urn:lsid:ipni.org:names:12042-1,wfo-4000009308,7323108,,
77dc129a-8fcd-11eb-924d-9cd76263cbd0,species,angustissima,Coriaria,,Hook.f.,0,1864,,"Handb. N. Zeal. Fl. 1: 47 (1864)",,,,,,urn:lsid:ipni.org:names:271350-1,wfo-0000924509,3701780,,
77dc5a34-8fcd-11eb-924d-9cd76263cbd0,species,arborea,Coriaria,,Linds.,0,1868,,"Contr. New Zealand Bot. : 84 (1868)",,,,,,urn:lsid:ipni.org:names:271351-1,wfo-0000924510,3701769,,
6c7a1220-1d4a-11ec-82c2-f14daa6f2d93,variety,arborea,Coriaria,arborea,,,,,Unknown,,,,,,urn:lsid:ipni.org:names:77167980-1,wfo-0000924511,,,
77dcc4ec-8fcd-11eb-924d-9cd76263cbd0,species,atropurpurea,Coriaria,,"Moc. & Sessé ex DC.",0,1824,,"Prodr. 1: 740 (1824)",,,Q2712448,,,urn:lsid:ipni.org:names:271352-1,wfo-0000924512,3701790,,
77dcea08-8fcd-11eb-924d-9cd76263cbd0,species,cuneifolia,Coriaria,,"Sessé & Moc.",0,1890,,"Pl. Nov. Hisp. : 173 (1890)",,,,,,urn:lsid:ipni.org:names:66002-2,wfo-0000924513,3701771,,
6ea18c96-8fcd-11eb-924d-9cd76263cbd0,species,duthiei,Coriaria,,"D.K.Singh & Pusalkar",0,2009,,"Nordic J. Bot. 27: 203 (2009)",,Q55762037,,,,urn:lsid:ipni.org:names:77099889-1,wfo-0000912101,8339084,,
77dd0fec-8fcd-11eb-924d-9cd76263cbd0,species,hermaphrodita,Coriaria,,Turra,0,1765,,"Farsetia : 13 (1765)",,,,,,urn:lsid:ipni.org:names:271354-1,wfo-0000924514,3701757,,
77dd34d6-8fcd-11eb-924d-9cd76263cbd0,species,intermedia,Coriaria,,Matsum.,0,1898,,"Bot. Mag. (Tokyo) 12: 62 (1898)",,,Q2269599,,,urn:lsid:ipni.org:names:271355-1,wfo-0000924515,3701783,,
77dd836e-8fcd-11eb-924d-9cd76263cbd0,species,japonica,Coriaria,,A.Gray,0,1859,,"Mem. Amer. Acad. Arts , n.s., 6: 383 (1859)",,,,,,urn:lsid:ipni.org:names:271356-1,wfo-0000924517,7323109,,
77dda4de-8fcd-11eb-924d-9cd76263cbd0,subspecies,intermedia,Coriaria,japonica,"(Matsum.) T.C.Huang",0,1992,,"Taiwania 37: 134 (1992)",,Q93280344,,77dd34d6-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:972261-1,wfo-0000924518,3701759,,
6c7ba450-1d4a-11ec-82c2-f14daa6f2d93,subspecies,japonica,Coriaria,japonica,,,,,Unknown,,,,,,urn:lsid:ipni.org:names:77167983-1,wfo-0000924519,,,
77dde64c-8fcd-11eb-924d-9cd76263cbd0,species,kingiana,Coriaria,,Colenso,0,1844,,"J. Bot. 3: 20 (1844)",,,,,,urn:lsid:ipni.org:names:77176775-1,wfo-0000924520,7679473,,
77de03de-8fcd-11eb-924d-9cd76263cbd0,species,kweichovensis,Coriaria,,Hu,0,1936,,"Bull. Fan Mem. Inst. Biol. , Bot. 7: 213 (1936)",,,,,,urn:lsid:ipni.org:names:271357-1,wfo-0000924521,3701785,,
77de236e-8fcd-11eb-924d-9cd76263cbd0,species,luracparva,Coriaria,,Allan,0,1927,,"Genetica 9: 154 (1927)",,Q55755273,,,,urn:lsid:ipni.org:names:271358-1,wfo-0000924522,3701774,,
77de442a-8fcd-11eb-924d-9cd76263cbd0,species,lurida,Coriaria,,Kirk,0,1899,,"Stud. Fl. New Zealand : 98 (1899)",,,,,,urn:lsid:ipni.org:names:271359-1,wfo-0000924523,3701762,,
77dece4a-8fcd-11eb-924d-9cd76263cbd0,variety,acuminata,Coriaria,lurida,"Cockayne & Allan",0,1926,,"Trans. & Proc. New Zealand Inst. 57: 51 1926",,,Q7833731,,,,wfo-0000924524,7829484,,
77def4d8-8fcd-11eb-924d-9cd76263cbd0,variety,parviflora,Coriaria,lurida,"Cockayne & Allan",0,1926,,"Trans. & Proc. New Zealand Inst. 57: 51 1926",,,Q7833731,,,,wfo-0000924525,7489756,,
2cf0ae2c-8fcc-11eb-924d-9cd76263cbd0,variety,undulata,Coriaria,lurida,"(Petrie) Allan",0,1931,,"Rep. Meetings Australas. Assoc. Advancem. Sci. 20: 446 1931",,,,1c6f356e-8fcc-11eb-924d-9cd76263cbd0,,,wfo-0000362447,8192853,,
77df2548-8fcd-11eb-924d-9cd76263cbd0,species,microphylla,Coriaria,,Poir.,0,1804,,"Encycl. 6: 87 (1804)",,,,,,urn:lsid:ipni.org:names:66024-2,wfo-0000924526,3701765,,
77df6f62-8fcd-11eb-924d-9cd76263cbd0,species,myrtifolia,Coriaria,,L.,0,1753,,"Sp. Pl. : 1037 (1753)",,,Q849308,,,urn:lsid:ipni.org:names:271361-1,wfo-0000924528,3701787,,
77df8baa-8fcd-11eb-924d-9cd76263cbd0,species,nepalensis,Coriaria,,Wall.,0,1832,,"Pl. Asiat. Rar. 3: 67 (1832)",,,,,,urn:lsid:ipni.org:names:271362-1,wfo-0000924529,3701777,,
77dfa874-8fcd-11eb-924d-9cd76263cbd0,species,papuana,Coriaria,,Warb.,0,1893,,"Bot. Jahrb. Syst. 16: 22 (1892)",,,Q5732642,,,urn:lsid:ipni.org:names:271363-1,wfo-0000924530,3701766,,
77dfc2d2-8fcd-11eb-924d-9cd76263cbd0,species,phylicifolia,Coriaria,,"Humb. & Bonpl. ex Willd.",0,1806,,"Sp. Pl., ed. 4 , 4: 819 (1806)",,,Q849308,,,urn:lsid:ipni.org:names:271364-1,wfo-0000924531,3701788,,
77dfe028-8fcd-11eb-924d-9cd76263cbd0,species,plumosa,Coriaria,,W.R.B.Oliv.,0,1942,,"Rec. Domin. Mus. 1: 27 (1942)",,,,,,urn:lsid:ipni.org:names:271365-1,wfo-0000924532,3701778,,
77dffc2a-8fcd-11eb-924d-9cd76263cbd0,species,pottsiana,Coriaria,,W.R.B.Oliv.,0,1942,,"Rec. Domin. Mus. 1: 24 (1942)",,,,,,urn:lsid:ipni.org:names:271366-1,wfo-0000924533,3701767,,
585671dc-1d4d-11ec-82c2-f14daa6f2d93,species,procumbens,Coriaria,,"Whitl. ex Hoffmanns.",,1826,,"Verz. Pfl.-Kult. Nachtr. 3: 9, nomen. 1826",,,,,,urn:lsid:ipni.org:names:271367-1,wfo-0001351517,,,
77e01c46-8fcd-11eb-924d-9cd76263cbd0,species,pteridoides,Coriaria,,W.R.B.Oliv.,0,1942,,"Rec. Domin. Mus. 1: 30 (1942)",,,,,,urn:lsid:ipni.org:names:271368-1,wfo-0000924534,3701779,,
77e039c4-8fcd-11eb-924d-9cd76263cbd0,species,ruscifolia,Coriaria,,L.,0,1753,,"Sp. Pl. : 1037 (1753)",,,Q849308,,,urn:lsid:ipni.org:names:271369-1,wfo-0000924535,3701768,,
77e055da-8fcd-11eb-924d-9cd76263cbd0,subspecies,microphylla,Coriaria,ruscifolia,"(Poir.) L.E.Skog",0,1972,,"Rhodora 74: 249 (1972)",,Q100413334,,,,urn:lsid:ipni.org:names:66026-2,wfo-0000924536,3701781,,
6c7f25f8-1d4a-11ec-82c2-f14daa6f2d93,subspecies,ruscifolia,Coriaria,ruscifolia,,,,,Unknown,,,,,,urn:lsid:ipni.org:names:77167985-1,wfo-0000924537,,,
77e08d7a-8fcd-11eb-924d-9cd76263cbd0,species,sarlurida,Coriaria,,"Cockayne & Allan",0,1927,,"Trans. & Proc. New Zealand Inst. 57: 51 (1927)",,,Q7833731,,,urn:lsid:ipni.org:names:271370-1,wfo-0000924538,3701770,,
77e0b7e6-8fcd-11eb-924d-9cd76263cbd0,species,sarmangusta,Coriaria,,Allan,0,1927,,"Genetica 9: 154 (1927)",,Q55755273,,,,urn:lsid:ipni.org:names:271371-1,wfo-0000924539,3701755,,
77e1417a-8fcd-11eb-924d-9cd76263cbd0,species,sarmentosa,Coriaria,,G.Forst.,0,1786,,"Fl. Ins. Austr. 71, n. 377. 1786 [Oct-Nov 1786]",,,,,,urn:lsid:ipni.org:names:271372-1,wfo-0000924540,3701782,,
77e17ea6-8fcd-11eb-924d-9cd76263cbd0,species,sinica,Coriaria,,Maxim.,0,1881,,"Mém. Acad. Imp. Sci. Saint Pétersbourg, Sér. 7 , 29(3): 9 (1881)",,,,,,urn:lsid:ipni.org:names:271373-1,wfo-0000924541,3701772,,
77e1ae30-8fcd-11eb-924d-9cd76263cbd0,species,summicola,Coriaria,,Hayata,0,1915,,"Icon. Pl. Formosan. 5: 33 (1915)",,,,,,urn:lsid:ipni.org:names:271374-1,wfo-0000924542,3701758,,
77e1d1f8-8fcd-11eb-924d-9cd76263cbd0,species,terminalis,Coriaria,,Hemsl.,0,1892,,"Hooker's Icon. Pl. 24: t. 2220 (1892)",,,,,,urn:lsid:ipni.org:names:271375-1,wfo-0000924543,3701784,,
